"metric","term","P_TP2","P_TP1","R_TP2","R_TP1","L_TP2","L_TP1"
"Shannon","direct.shoot_root_ratio","F = 0.48, p = ns, df = 1","F = 0.58, p = ns, df = 1","F = 0.23, p = ns, df = 1","F = 0.64, p = ns, df = 1","F = 0.21, p = ns, df = 1","F = 0.33, p = ns, df = 1"
"Shannon","direct.dry_total_weight","F = 0.39, p = ns, df = 1","F = 2, p = ns, df = 1","F = 0.14, p = ns, df = 1","F = 0.14, p = ns, df = 1","F = 0.0049, p = ns, df = 1","F = 0.058, p = ns, df = 1"
"Shannon","direct.per_plant_weight","F = 0.39, p = ns, df = 1","F = 0.024, p = ns, df = 1","F = 0.14, p = ns, df = 1","F = 0.14, p = ns, df = 1","F = 3.9e-06, p = ns, df = 1","F = 0.00025, p = ns, df = 1"
"Shannon","direct.shoot_moisture","F = 2.1, p = ns, df = 1","F = 0.28, p = ns, df = 1","F = 0.85, p = ns, df = 1","F = 0.087, p = ns, df = 1","F = 0.84, p = ns, df = 1","F = 1.7, p = ns, df = 1"
"Shannon","direct.germination_perc","F = 1.4, p = ns, df = 1","F = 0.21, p = ns, df = 1","F = 1.6, p = ns, df = 1","F = 25, p = <0.001*, df = 1","F = 1.1, p = ns, df = 1","F = 1.3, p = ns, df = 1"
"Shannon","direct.survival_perc.corr","F = 1.6, p = ns, df = 1","F = 0.99, p = ns, df = 1","F = 1.5, p = ns, df = 1","F = 17, p = <0.001*, df = 1","F = 0.78, p = ns, df = 1","F = 1.3, p = ns, df = 1"
"InvSimpson","direct.shoot_root_ratio","F = 0.62, p = ns, df = 1","F = 0.78, p = ns, df = 1","F = 0.16, p = ns, df = 1","F = 1.3, p = ns, df = 1","F = 0.47, p = ns, df = 1","F = 0.15, p = ns, df = 1"
"InvSimpson","direct.dry_total_weight","F = 1.7, p = ns, df = 1","F = 1.5, p = ns, df = 1","F = 0.049, p = ns, df = 1","F = 0.48, p = ns, df = 1","F = 0.17, p = ns, df = 1","F = 0.28, p = ns, df = 1"
"InvSimpson","direct.per_plant_weight","F = 0.19, p = ns, df = 1","F = 0.31, p = ns, df = 1","F = 0.049, p = ns, df = 1","F = 0.48, p = ns, df = 1","F = 0.21, p = ns, df = 1","F = 0.11, p = ns, df = 1"
"InvSimpson","direct.shoot_moisture","F = 3, p = ns, df = 1","F = 0.66, p = ns, df = 1","F = 1.6, p = ns, df = 1","F = 0.87, p = ns, df = 1","F = 2.7, p = ns, df = 1","F = 1.8, p = ns, df = 1"
"InvSimpson","direct.germination_perc","F = 3.5, p = <0.1, df = 1","F = 0.063, p = ns, df = 1","F = 1.3, p = ns, df = 1","F = 8.7, p = <0.01, df = 1","F = 0.72, p = ns, df = 1","F = 0.87, p = ns, df = 1"
"InvSimpson","direct.survival_perc.corr","F = 4.9, p = <0.05, df = 1","F = 0.42, p = ns, df = 1","F = 0.8, p = ns, df = 1","F = 7.7, p = <0.05, df = 1","F = 0.74, p = ns, df = 1","F = 0.7, p = ns, df = 1"
