"metric","term","P_TP2","P_TP1"
"Shannon","indirect.plant_height1","F = 0.49, p = ns, df = 1","F = 0.24, p = ns, df = 1"
"Shannon","indirect.plant_height2","F = 0.58, p = ns, df = 1","F = 0.0077, p = ns, df = 1"
"Shannon","indirect.plant_height3","F = 0.9, p = ns, df = 1","F = 0.024, p = ns, df = 1"
"Shannon","indirect.chlorophyll_content1_mean","F = 0.15, p = ns, df = 1","F = 2, p = ns, df = 1"
"Shannon","indirect.chlorophyll_content2_mean","F = 1.4, p = ns, df = 1","F = 0.18, p = ns, df = 1"
"Shannon","indirect.chlorophyll_content3_mean","F = 0.54, p = ns, df = 1","F = 0.13, p = ns, df = 1"
"Shannon","indirect.leaf_num","F = 0.16, p = ns, df = 1","F = 2.1, p = ns, df = 1"
"Shannon","indirect.plant_height4","F = 1.4, p = ns, df = 1","F = 0.025, p = ns, df = 1"
"Shannon","indirect.chlorophyll_content4_mean","F = 0.00012, p = ns, df = 1","F = 0.56, p = ns, df = 1"
"Shannon","indirect.leaf_num2","F = 0.35, p = ns, df = 1","F = 1.2, p = ns, df = 1"
"Shannon","indirect.wet_shoot_weight","F = 1.4, p = ns, df = 1","F = 0.0018, p = ns, df = 1"
"Shannon","indirect.dry_shoot_weight","F = 0.57, p = ns, df = 1","F = 0.073, p = ns, df = 1"
"Shannon","indirect.wet_root_weight","F = 0.0042, p = ns, df = 1","F = 0.055, p = ns, df = 1"
"Shannon","indirect.dry_root_weight","F = 0.13, p = ns, df = 1","F = 0.0021, p = ns, df = 1"
"Shannon","indirect.dry_total_weight","F = 0.24, p = ns, df = 1","F = 0.036, p = ns, df = 1"
"Shannon","indirect.shoot_root_ratio","F = 1.1, p = ns, df = 1","F = 0.018, p = ns, df = 1"
"Shannon","indirect.shoot_moisture","F = 0.13, p = ns, df = 1","F = 0.16, p = ns, df = 1"
"InvSimpson","indirect.plant_height1","F = 0.013, p = ns, df = 1","F = 0.02, p = ns, df = 1"
"InvSimpson","indirect.plant_height2","F = 0.0046, p = ns, df = 1","F = 0.26, p = ns, df = 1"
"InvSimpson","indirect.plant_height3","F = 0.0055, p = ns, df = 1","F = 0.38, p = ns, df = 1"
"InvSimpson","indirect.chlorophyll_content1_mean","F = 0.24, p = ns, df = 1","F = 1.7, p = ns, df = 1"
"InvSimpson","indirect.chlorophyll_content2_mean","F = 0.8, p = ns, df = 1","F = 0.15, p = ns, df = 1"
"InvSimpson","indirect.chlorophyll_content3_mean","F = 0.057, p = ns, df = 1","F = 0.001, p = ns, df = 1"
"InvSimpson","indirect.leaf_num","F = 0.97, p = ns, df = 1","F = 1.1, p = ns, df = 1"
"InvSimpson","indirect.plant_height4","F = 0.13, p = ns, df = 1","F = 0.081, p = ns, df = 1"
"InvSimpson","indirect.chlorophyll_content4_mean","F = 0.026, p = ns, df = 1","F = 2.2, p = ns, df = 1"
"InvSimpson","indirect.leaf_num2","F = 0.0033, p = ns, df = 1","F = 0.74, p = ns, df = 1"
"InvSimpson","indirect.wet_shoot_weight","F = 0.35, p = ns, df = 1","F = 0.14, p = ns, df = 1"
"InvSimpson","indirect.dry_shoot_weight","F = 0.014, p = ns, df = 1","F = 0.0005, p = ns, df = 1"
"InvSimpson","indirect.wet_root_weight","F = 0.1, p = ns, df = 1","F = 0.053, p = ns, df = 1"
"InvSimpson","indirect.dry_root_weight","F = 0.013, p = ns, df = 1","F = 0.044, p = ns, df = 1"
"InvSimpson","indirect.dry_total_weight","F = 0.0067, p = ns, df = 1","F = 2e-08, p = ns, df = 1"
"InvSimpson","indirect.shoot_root_ratio","F = 0.0066, p = ns, df = 1","F = 0.46, p = ns, df = 1"
"InvSimpson","indirect.shoot_moisture","F = 0.47, p = ns, df = 1","F = 0.32, p = ns, df = 1"
