"metric","term","P_TP2","P_TP1"
"Shannon","direct.dry_pod_weight.corr","F = 2, p = ns, df = 1","F = 3.2, p = <0.1, df = 1"
"Shannon","direct.per_pod_weight","F = 1.2, p = ns, df = 1","F = 0.0018, p = ns, df = 1"
"Shannon","direct.infected_peas_perc.corr","F = 0.28, p = ns, df = 1","F = 0.00022, p = ns, df = 1"
"Shannon","direct.pods","F = 1, p = ns, df = 1","F = 2.5, p = ns, df = 1"
"Shannon","direct.flowers","F = 0.71, p = ns, df = 1","F = 0.16, p = ns, df = 1"
"InvSimpson","direct.dry_pod_weight.corr","F = 3.7, p = <0.1, df = 1","F = 3, p = <0.1, df = 1"
"InvSimpson","direct.per_pod_weight","F = 2.3, p = ns, df = 1","F = 0.2, p = ns, df = 1"
"InvSimpson","direct.infected_peas_perc.corr","F = 0.7, p = ns, df = 1","F = 0.0066, p = ns, df = 1"
"InvSimpson","direct.pods","F = 2.1, p = ns, df = 1","F = 2.5, p = ns, df = 1"
"InvSimpson","direct.flowers","F = 0.0016, p = ns, df = 1","F = 0.07, p = ns, df = 1"
