"contrast","species","timepoint","SE","df","lower.CL","upper.CL","null","t.ratio","p.value","treat","eff","LCL","UCL","Amendment","metric","amendment","pval","sig","stat","df.r","stat.f","eff_fmt"
"RW / control","L","TP1",0.06216360652088145,35.407030326977136,0.6318575701728922,0.9215251287451661,1,-3.3193032246408953,0.004099756559831524,"SL-0",-0.39011664614914027,-0.6623287041478004,-0.11790458815048001,NA,"Shannon",NA,0.0041,", p = 0.0041**",-3.32,40,"t = -3.32, df = 40, p = 0.0041**","-0.39 [-0.662 to -0.118]"
"BS / control","L","TP1",0.07720976823319493,35.407030326977136,0.7847932139048444,1.1445722922716695,1,-0.6585865814806221,0.7288474763472572,"SL-0",-0.07740347024000602,-0.34961552823866643,0.19480858775865426,NA,"Shannon",NA,0.729,", p > 0.1",-0.659,40,"t = -0.659, df = 40, p > 0.1","-0.0774 [-0.35 to 0.195]"
"RW / control","R","TP1",0.08004082597560595,35.407030326977136,0.8135692995641939,1.1865404308107994,1,-0.21654783241125375,0.9559711478307392,"SL-0",-0.025450797469786398,-0.29766285546844673,0.24676126052887384,NA,"Shannon",NA,0.956,", p > 0.1",-0.217,40,"t = -0.217, df = 40, p > 0.1","-0.0255 [-0.298 to 0.247]"
"BS / control","R","TP1",0.07749171842131597,35.407030326977136,0.7876590765976098,1.1487519754971058,1,-0.6138425241387231,0.7565687784940036,"SL-0",-0.07214471549420703,-0.34435677349286736,0.20006734250445327,NA,"Shannon",NA,0.757,", p > 0.1",-0.614,40,"t = -0.614, df = 40, p > 0.1","-0.0721 [-0.344 to 0.2]"
"RW / control","P","TP1",0.10124230398036252,35.407030326977136,1.029070219248761,1.5008351740116814,1,2.6678664190820607,0.021962164630748404,"SL-0",0.3135534867860133,0.041341428787353064,0.5857655447846736,NA,"Shannon",NA,0.022,", p = 0.022*",2.67,40,"t = 2.67, df = 40, p = 0.022*","0.314 [0.0413 to 0.586]"
"BS / control","P","TP1",0.09470495465764343,35.407030326977136,0.9626217956516334,1.4039242640205245,1,1.8484952230992275,0.133001174430057,"SL-0",0.217253052238454,-0.05495900576020625,0.4894651102371145,NA,"Shannon",NA,0.133,", p > 0.1",1.85,40,"t = 1.85, df = 40, p > 0.1","0.217 [-0.055 to 0.489]"
"RW / control","L","TP2",0.08213991040801286,35.407030326977065,0.834905294421618,1.2176576577556497,1,0.10122142037845937,0.9877054229215249,"SL-0",0.011896521156414841,-0.26031553684224307,0.28410857915507304,NA,"Shannon",NA,0.988,", p > 0.1",0.101,40,"t = 0.101, df = 40, p > 0.1","0.0119 [-0.26 to 0.284]"
"BS / control","L","TP2",0.08260893090627891,35.407030326977136,0.8396726200158308,1.2246105068459556,1,0.17111344298139822,0.9703606549745557,"SL-0",0.020110908214526525,-0.2521011497841337,0.292322966213187,NA,"Shannon",NA,0.97,", p > 0.1",0.171,40,"t = 0.171, df = 40, p > 0.1","0.0201 [-0.252 to 0.292]"
"RW / control","R","TP2",0.08692186891388426,35.407030326977136,0.8835111725437705,1.2885463203414833,1,0.7958189088250084,0.6414720042450266,"SL-0",0.09353234177226115,-0.17867971622639908,0.36574439977092144,NA,"Shannon",NA,0.641,", p > 0.1",0.796,40,"t = 0.796, df = 40, p > 0.1","0.0935 [-0.179 to 0.366]"
"BS / control","R","TP2",0.08647910701426222,35.407030326977136,0.8790107506133548,1.2819827337127765,1,0.7331320325751,0.6816706340942672,"SL-0",0.08616477326009954,-0.18604728473856066,0.35837683125875985,NA,"Shannon",NA,0.682,", p > 0.1",0.733,40,"t = 0.733, df = 40, p > 0.1","0.0862 [-0.186 to 0.358]"
