"contrast","species","timepoint","SE","df","lower.CL","upper.CL","null","t.ratio","p.value","amend","eff","LCL","UCL","treat","metric","amendment","pval","sig","stat","df.r","stat.f","eff_fmt"
"linear","L","TP1",0.0525780154471882,35.69140243631574,0.8950145411503657,1.1087527803162462,1,-0.07275018096673098,0.9424110893961495,"BS",-0.005539625426934413,-0.16001697309694438,0.14893772224307547,NA,"Shannon","BS",0.942,", p > 0.1",-0.0728,40,"t = -0.0728, df = 40, p > 0.1","-0.00554 [-0.16 to 0.149]"
"quadratic","L","TP1",0.09312788510051502,35.69140243631574,0.84625833110406945,1.2262858096593914,1,0.20269128998790636,0.8405273841008478,"BS",0.026732651458677217,-0.2408299633242616,0.29429526624161634,NA,"Shannon","BS",0.841,", p > 0.1",0.203,40,"t = 0.203, df = 40, p > 0.1","0.0267 [-0.241 to 0.294]"
"linear","R","TP1",0.055265227820953576,35.69140243631574,0.9407578832910555,1.1654200806198358,1,0.8716524120093198,0.38922387598919506,"BS",0.06637272651216805,-0.08810462115784183,0.2208500741821782,NA,"Shannon","BS",0.389,", p > 0.1",0.872,40,"t = 0.872, df = 40, p > 0.1","0.0664 [-0.0881 to 0.221]"
"quadratic","R","TP1",0.08722520328168543,35.69140243631574,0.7926203293428392,1.1485607013789587,1,-0.5135815973108845,0.6107094777568678,"BS",-0.06773550968727778,-0.3352981244702168,0.1998271050956612,NA,"Shannon","BS",0.611,", p > 0.1",-0.514,40,"t = -0.514, df = 40, p > 0.1","-0.0677 [-0.335 to 0.2]"
"linear","P","TP1",0.0576853087805926,35.69140243631574,0.9819539541434005,1.216454176710537,1,1.6836715779728577,0.10097321109057582,"BS",0.12820462794739354,-0.02627271972261649,0.28268197561740355,NA,"Shannon","BS",0.101,", p > 0.1",1.68,40,"t = 1.68, df = 40, p > 0.1","0.128 [-0.0263 to 0.283]"
"quadratic","P","TP1",0.09803000951565474,35.69140243631574,0.8908042114485345,1.2908358163623508,1,0.7638489626553742,0.4499775752640186,"BS",0.10074289865616202,-0.1668197161267772,0.368305513439101,NA,"Shannon","BS",0.45,", p > 0.1",0.764,40,"t = 0.764, df = 40, p > 0.1","0.101 [-0.167 to 0.368]"
"linear","L","TP2",0.052662618049345106,35.69140243631574,0.8964546974306205,1.110536860022672,1,-0.04228816976518587,0.966504667843409,"BS",-0.003220069247619792,-0.15769741691762973,0.15125727842239003,NA,"Shannon","BS",0.967,", p > 0.1",-0.0423,40,"t = -0.0423, df = 40, p > 0.1","-0.00322 [-0.158 to 0.151]"
"quadratic","L","TP2",0.09544442397598815,35.69140243631567,0.8673088501895149,1.2567894418147971,1,0.4714614854297659,0.6401805584639519,"BS",0.06218035104979702,-0.20538226373314206,0.3297429658327361,NA,"Shannon","BS",0.64,", p > 0.1",0.471,40,"t = 0.471, df = 40, p > 0.1","0.0622 [-0.205 to 0.33]"
"linear","R","TP2",0.05037635811547646,35.69140243631574,0.8575366084107479,1.0623247501390523,1,-0.8832060159754778,0.38303543738631607,"BS",-0.06725248567500683,-0.22172983334501667,0.08722486199500314,NA,"Shannon","BS",0.383,", p > 0.1",-0.883,40,"t = -0.883, df = 40, p > 0.1","-0.0673 [-0.222 to 0.0872]"
"quadratic","R","TP2",0.09094373597714088,35.69140243631574,0.8264108451439399,1.1975254542268283,1,-0.05691392856145855,0.954931194967415,"BS",-0.007506293020624195,-0.2750689078035632,0.26005632176231497,NA,"Shannon","BS",0.955,", p > 0.1",-0.0569,40,"t = -0.0569, df = 40, p > 0.1","-0.00751 [-0.275 to 0.26]"
"linear","P","TP2",0.05196959905306627,35.69140243631574,0.8846577120615927,1.0959226389951031,1,-0.293271151607138,0.771013401425329,"BS",-0.022331385390947648,-0.17680873306095757,0.13214596227906225,NA,"Shannon","BS",0.771,", p > 0.1",-0.293,40,"t = -0.293, df = 40, p > 0.1","-0.0223 [-0.177 to 0.132]"
"quadratic","P","TP2",0.09440464519747613,35.69140243631574,0.8578603219332221,1.243097882515474,1,0.35164008120613355,0.72717580065436,"BS",0.04637728503452429,-0.22118532974841468,0.31393989981746334,NA,"Shannon","BS",0.727,", p > 0.1",0.352,40,"t = 0.352, df = 40, p > 0.1","0.0464 [-0.221 to 0.314]"
"L / R",NA,"TP1",0.05680196624319878,35.69140243631574,0.9458936272898965,1.224449485583048,1,1.3912975731286104,0.35610929309577566,"BS",0.10594155657234743,-0.0802501438914794,0.2921332570361741,"SL-0","Shannon","BS",0.356,", p > 0.1",1.39,40,"t = 1.39, df = 40, p > 0.1","0.106 [-0.0803 to 0.292]"
"L / P",NA,"TP1",0.06188702913762225,35.69140243631574,1.0305725372700485,1.3340654558925225,1,3.0157613274132897,0.01274039687510009,"BS",0.22963775359602295,0.043446053132196134,0.4158294540598498,"SL-0","Shannon","BS",0.0127,", p = 0.0127*",3.02,40,"t = 3.02, df = 40, p = 0.0127*","0.23 [0.0434 to 0.416]"
"R / P",NA,"TP1",0.057505323208440894,35.69140243631574,0.9576062653398535,1.239611374004033,1,1.6244637542846794,0.2486907618886759,"BS",0.12369619702367568,-0.06249550344015132,0.3098878974875023,"SL-0","Shannon","BS",0.249,", p > 0.1",1.62,40,"t = 1.62, df = 40, p > 0.1","0.124 [-0.0625 to 0.31]"
"L / R",NA,"TP1",0.053619234178105914,35.69140243631574,0.8928932440839185,1.155841039474578,1,0.29878576019780373,0.9520466366332174,"BS",0.022751300029818688,-0.16344040043400831,0.2089430004936454,"SL-1","Shannon","BS",0.952,", p > 0.1",0.299,40,"t = 0.299, df = 40, p > 0.1","0.0228 [-0.163 to 0.209]"
"L / P",NA,"TP1",0.06061900048667303,35.69140243631574,1.00945671506385,1.3067312431522151,1,2.6235272480020746,0.033236471402785406,"BS",0.19977075050760137,0.013579050043774606,0.385962450971428,"SL-1","Shannon","BS",0.0332,", p = 0.0332*",2.62,40,"t = 2.62, df = 40, p = 0.0332*","0.2 [0.0136 to 0.386]"
"R / P",NA,"TP1",0.05967053717039751,35.69140243631574,0.9936624483171304,1.286285728735767,1,2.3247414878042716,0.0651683649008502,"BS",0.17701945047778267,-0.009172249986044174,0.3632111509416096,"SL-1","Shannon","BS",0.0652,", p = 0.0652.",2.32,40,"t = 2.32, df = 40, p = 0.0652.","0.177 [-0.00917 to 0.363]"
"L / R",NA,"TP1",0.05404003161339067,35.69140243631574,0.8999005651106521,1.1649119438331181,1,0.4468949801525593,0.8960831430741227,"BS",0.03402920463324475,-0.152162495830582,0.2202209050970718,"SL-2","Shannon","BS",0.896,", p > 0.1",0.447,40,"t = 0.447, df = 40, p > 0.1","0.034 [-0.152 to 0.22]"
"L / P",NA,"TP1",0.056407727422501316,35.69140243631574,0.9393285730709736,1.2159510910180942,1,1.2593395684737008,0.42704198137453064,"BS",0.09589350022169503,-0.09029820024213175,0.2820852006855219,"SL-2","Shannon","BS",0.427,", p > 0.1",1.26,40,"t = 1.26, df = 40, p > 0.1","0.0959 [-0.0903 to 0.282]"
"R / P",NA,"TP1",0.05509279321221668,35.69140243631574,0.9174316569591544,1.1876057603218815,1,0.8124445883211415,0.6978560252566854,"BS",0.06186429558845027,-0.12432740487537661,0.2480559960522769,"SL-2","Shannon","BS",0.698,", p > 0.1",0.812,40,"t = 0.812, df = 40, p > 0.1","0.0619 [-0.124 to 0.248]"
"L / R",NA,"TP2",0.05446671502422999,35.69140243631574,0.9070059022297094,1.17410972900612,1,0.5959029394627923,0.8231968734107962,"BS",0.0453755445219122,-0.14081615594191477,0.23156724498573905,"SL-0","Shannon","BS",0.823,", p > 0.1",0.596,40,"t = 0.596, df = 40, p > 0.1","0.0454 [-0.141 to 0.232]"
