"metric","species","timepoint","trait","r","p_value","p_adj","p_cat","tp_species","trait_abbrev"
"Shannon","P","TP2","direct.shoot_root_ratio",-0.157520600851693,0.495286052248278,0.870564357099563,"ns","TP2_P","Shoot:root"
"Shannon","P","TP2","direct.dry_total_weight",0.143403659152538,0.53516768058802,0.870564357099563,"ns","TP2_P","Total weight"
"Shannon","P","TP2","direct.per_plant_weight",-0.145557400273126,0.52898860931215,0.870564357099563,"ns","TP2_P","Per plant weight"
"Shannon","P","TP2","direct.shoot_moisture",0.316105164530397,0.16272191695549,0.808562851165759,"ns","TP2_P","Shoot moisture"
"Shannon","P","TP2","direct.germination_perc",0.263255790099404,0.248910349145655,0.808562851165759,"ns","TP2_P","Germination"
"Shannon","P","TP2","direct.survival_perc.corr",0.280211387104373,0.218587398689088,0.808562851165759,"ns","TP2_P","Survival (%)"
"Shannon","P","TP1","direct.shoot_root_ratio",-0.167209800038394,0.46878564766285,0.865450426454492,"ns","TP1_P","Shoot:root"
"Shannon","P","TP1","direct.dry_total_weight",0.322636183294335,0.153738223602311,0.808562851165759,"ns","TP1_P","Total weight"
"Shannon","P","TP1","direct.per_plant_weight",-0.037235301772688,0.872691942894946,0.931972465267248,"ns","TP1_P","Per plant weight"
"Shannon","P","TP1","direct.shoot_moisture",-0.115972300438651,0.616649752945524,0.870564357099563,"ns","TP1_P","Shoot moisture"
"Shannon","P","TP1","direct.germination_perc",0.117443434582136,0.612155781549626,0.870564357099563,"ns","TP1_P","Germination"
"Shannon","P","TP1","direct.survival_perc.corr",0.227458554510882,0.321393771942969,0.808562851165759,"ns","TP1_P","Survival (%)"
"Shannon","R","TP2","direct.shoot_root_ratio",-0.122138685664236,0.597902919267866,0.870564357099563,"ns","TP2_R","Shoot:root"
"Shannon","R","TP2","direct.dry_total_weight",0.0872327174050327,0.706923884114218,0.882738844732058,"ns","TP2_R","Total weight"
"Shannon","R","TP2","direct.per_plant_weight",0.0872327174050328,0.706923884114217,0.882738844732058,"ns","TP2_R","Per plant weight"
"Shannon","R","TP2","direct.shoot_moisture",0.194540225339938,0.39809786477909,0.808562851165759,"ns","TP2_R","Shoot moisture"
"Shannon","R","TP2","direct.germination_perc",-0.285447173922896,0.209739974421609,0.808562851165759,"ns","TP2_R","Germination"
"Shannon","R","TP2","direct.survival_perc.corr",-0.282698339469178,0.214354764018517,0.808562851165759,"ns","TP2_R","Survival (%)"
"Shannon","R","TP1","direct.shoot_root_ratio",0.196352166847218,0.393631312529789,0.808562851165759,"ns","TP1_R","Shoot:root"
"Shannon","R","TP1","direct.dry_total_weight",0.0809503554016516,0.727225020470234,0.882738844732058,"ns","TP1_R","Total weight"
"Shannon","R","TP1","direct.per_plant_weight",0.0809503554016516,0.727225020470234,0.882738844732058,"ns","TP1_R","Per plant weight"
"Shannon","R","TP1","direct.shoot_moisture",0.0708786482670942,0.760136227408161,0.882738844732058,"ns","TP1_R","Shoot moisture"
"Shannon","R","TP1","direct.germination_perc",0.732260723020981,0.000160624412230938,0.0115649576806275,"<0.05","TP1_R","Germination"
"Shannon","R","TP1","direct.survival_perc.corr",0.658476379391027,0.00117239845942766,0.0422063445393959,"<0.05","TP1_R","Survival (%)"
"Shannon","L","TP2","direct.shoot_root_ratio",0.0971108100196995,0.675391546771569,0.882738844732058,"ns","TP2_L","Shoot:root"
"Shannon","L","TP2","direct.dry_total_weight",-0.021195431151264,0.927340106889725,0.959461759849238,"ns","TP2_L","Total weight"
"Shannon","L","TP2","direct.per_plant_weight",-0.000769073722465327,0.997360192032393,0.997360192032393,"ns","TP2_L","Per plant weight"
"Shannon","L","TP2","direct.shoot_moisture",-0.192705092971471,0.402650026533272,0.808562851165759,"ns","TP2_L","Shoot moisture"
"Shannon","L","TP2","direct.germination_perc",-0.237897155780036,0.299069636017618,0.808562851165759,"ns","TP2_L","Germination"
