"metric","species","timepoint","trait","r","p_value","p_adj","p_cat","tp_species","trait_abbrev"
"Shannon","P","TP2","indirect.plant_height1",0.158461946316651,0.492679659100084,0.993312764557125,"ns","TP2_P","Plant height (wk1)"
"Shannon","P","TP2","indirect.plant_height2",0.175198960550098,0.447490712619463,0.993312764557125,"ns","TP2_P","Plant height (wk2)"
"Shannon","P","TP2","indirect.plant_height3",0.217731606190157,0.343069785521589,0.993312764557125,"ns","TP2_P","Plant height (wk3)"
"Shannon","P","TP2","indirect.chlorophyll_content1_mean",-0.0908302491113093,0.711526173799727,0.993312764557125,"ns","TP2_P","Leaf Chloro (wk1)"
"Shannon","P","TP2","indirect.chlorophyll_content2_mean",-0.276283972895496,0.225383194836356,0.993312764557125,"ns","TP2_P","Leaf Chloro (wk2)"
"Shannon","P","TP2","indirect.chlorophyll_content3_mean",-0.176143178286511,0.45757097947019,0.993312764557125,"ns","TP2_P","Leaf Chloro (wk3)"
"Shannon","P","TP2","indirect.leaf_num",-0.0873638984515654,0.706501958876529,0.993312764557125,"ns","TP2_P","Leaves (wk2)"
"Shannon","P","TP2","indirect.plant_height4",0.268218565712042,0.239769447988856,0.993312764557125,"ns","TP2_P","Plant height (wk4)"
"Shannon","P","TP2","indirect.chlorophyll_content4_mean",-0.00194825677075835,0.993312764557125,0.993312764557125,"ns","TP2_P","Leaf Chloro (wk4)"
"Shannon","P","TP2","indirect.leaf_num2",0.137008590934107,0.553709480485836,0.993312764557125,"ns","TP2_P","Leaves (wk4)"
"Shannon","P","TP2","indirect.wet_shoot_weight",0.267600225636652,0.240896343004805,0.993312764557125,"ns","TP2_P","Wet shoot weight"
"Shannon","P","TP2","indirect.dry_shoot_weight",0.177656049814986,0.441044649353536,0.993312764557125,"ns","TP2_P","Dry shoot weight"
"Shannon","P","TP2","indirect.wet_root_weight",0.0162858292362391,0.944141576336212,0.993312764557125,"ns","TP2_P","Wet root weight"
"Shannon","P","TP2","indirect.dry_root_weight",-0.0783679268134411,0.735622175728744,0.993312764557125,"ns","TP2_P","Dry root weight"
"Shannon","P","TP2","indirect.dry_total_weight",0.118659817471606,0.60845010327626,0.993312764557125,"ns","TP2_P","Dry total weight"
