"metric","species","timepoint","trait","r","p_value","p_adj","p_cat","tp_species","trait_abbrev"
"Shannon","P","TP2","direct.dry_pod_weight.corr",0.30561161748947,0.177906266836619,0.560348013800368,"ns","TP2_P","Dry pod weight"
"Shannon","P","TP2","direct.per_pod_weight",0.234869835033706,0.305443539597189,0.592762955393084,"ns","TP2_P","Per pod weight"
"Shannon","P","TP2","direct.infected_peas_perc.corr",-0.126491817990489,0.58481388880377,0.77975185173836,"ns","TP2_P","Infection"
"Shannon","P","TP2","direct.pods",0.223380641790482,0.330378981852676,0.592762955393084,"ns","TP2_P","Pods"
"Shannon","P","TP2","direct.flowers",-0.180880061771338,0.432661291886236,0.665632756748055,"ns","TP2_P","Flowers"
"Shannon","P","TP1","direct.dry_pod_weight.corr",0.404292668798557,0.0691004090901789,0.560348013800368,"ns","TP1_P","Dry pod weight"
"Shannon","P","TP1","direct.per_pod_weight",-0.00195023401586333,0.993305977967742,0.993305977967742,"ns","TP1_P","Per pod weight"
"Shannon","P","TP1","direct.infected_peas_perc.corr",-0.0114887705641014,0.9605800337022,0.993305977967742,"ns","TP1_P","Infection"
"Shannon","P","TP1","direct.pods",0.371515346529644,0.0972740691507872,0.560348013800368,"ns","TP1_P","Pods"
"Shannon","P","TP1","direct.flowers",0.0815532023869636,0.725269057965873,0.906586322457341,"ns","TP1_P","Flowers"
"InvSimpson","P","TP2","direct.dry_pod_weight.corr",0.406922547494148,0.0671415049610854,0.560348013800368,"ns","TP2_P","Dry pod weight"
"InvSimpson","P","TP2","direct.per_pod_weight",0.278534017445118,0.221473093090609,0.560348013800368,"ns","TP2_P","Per pod weight"
"InvSimpson","P","TP2","direct.infected_peas_perc.corr",-0.212248247455174,0.35565777323585,0.592762955393084,"ns","TP2_P","Infection"
"InvSimpson","P","TP2","direct.pods",0.296673529544485,0.191581276049699,0.560348013800368,"ns","TP2_P","Pods"
"InvSimpson","P","TP2","direct.flowers",0.0330736748392564,0.886827016661575,0.993305977967742,"ns","TP2_P","Flowers"
"InvSimpson","P","TP1","direct.dry_pod_weight.corr",0.30636521124442,0.176784651684527,0.560348013800368,"ns","TP1_P","Dry pod weight"
"InvSimpson","P","TP1","direct.per_pod_weight",-0.22724563784393,0.321859247136775,0.592762955393084,"ns","TP1_P","Per pod weight"
"InvSimpson","P","TP1","direct.infected_peas_perc.corr",0.0265625463061987,0.909007184691317,0.993305977967742,"ns","TP1_P","Infection"
"InvSimpson","P","TP1","direct.pods",0.276997019059457,0.224139205520147,0.560348013800368,"ns","TP1_P","Pods"
"InvSimpson","P","TP1","direct.flowers",-0.155483764455392,0.500948692746982,0.715640989638546,"ns","TP1_P","Flowers"
