"Amendment","species","timepoint","response","SE","df","lower.CL","upper.CL","null","t.ratio","p.value","metric"
"control","L","TP1",6.824260809871387,0.39366887531461475,35.34210010153938,6.070338524926444,7.671818533664197,1,33.291643603620855,2.803476338649565e-28,"Shannon"
"RW","L","TP1",5.189435118750389,0.2993612266051613,35.34210010153938,4.616123094004436,5.833951197423156,1,28.544287200315857,5.326152646802849e-26,"Shannon"
"BS","L","TP1",6.471560680265477,0.37332277964013044,35.34210010153938,5.756603566057888,7.275313847439085,1,32.37173034850595,7.319702855549706e-28,"Shannon"
"control","R","TP1",6.3235862406050485,0.36478662710150417,35.34210010153938,5.624976864382629,7.108961317791724,1,31.97075717063853,1.1211186277197556e-27,"Shannon"
"RW","R","TP1",6.219236014408895,0.3587670101305286,35.34210010153938,5.532154914018859,6.991651030036355,1,31.682312393532655,1.5282523901557054e-27,"Shannon"
"BS","R","TP1",6.013363280924849,0.3468908978735972,35.34210010153945,5.349026334951015,6.760209369712592,1,31.09876568674107,2.8835010196623936e-27,"Shannon"
"control","P","TP1",4.748299794084297,0.2739135990948463,35.34210010153945,4.223722974689978,5.33802786537057,1,27.004273945769185,3.4781559685829683e-25,"Shannon"
"RW","P","TP1",5.88806778774652,0.3396630182166308,35.34210010153945,5.237573083026665,6.619352460293238,1,30.733753938807656,4.313689072783513e-27,"Shannon"
"BS","P","TP1",5.51926409864676,0.3183879618340012,35.34210010153945,4.9095136338862,6.204744188987648,1,29.612466139138004,1.5294947335427194e-26,"Shannon"
"control","L","TP2",6.480777489212031,0.3738544666481549,35.34210010153938,5.764802131731729,7.285675363164733,1,32.39640136344393,7.131342591930669e-28,"Shannon"
"RW","L","TP2",6.55322910827156,0.37803395922391203,35.34210010153945,5.8292495300102605,7.36712530908281,1,32.58912241832597,5.8210822308204465e-28,"Shannon"
"BS","L","TP2",6.599636271379655,0.3807110338868381,35.34210010153945,5.870529779680689,7.419296136656172,1,32.71144903953037,5.120282996340287e-28,"Shannon"
"control","R","TP2",6.035611921937316,0.34817434786601065,35.34210010153945,5.36881701799025,6.785221241507027,1,31.1627846157133,2.688046470738146e-27,"Shannon"
"RW","R","TP2",6.434723879168953,0.37119778728390623,35.34210010153945,5.723836375726031,7.233901999145651,1,32.272775658033666,8.1280732035795e-28,"Shannon"
