"spikeFac","species","timepoint","response","SE","df","lower.CL","upper.CL","null","t.ratio","p.value","metric","amend"
"SL-0","L","TP1",6.45009439246454,0.24082163534030146,35.823304477855075,5.979641345726104,6.957560707455873,1,49.92735463735253,1.0264551342721534e-34,"Shannon_BS","BS"
"SL-1","L","TP1",6.39672739220254,0.23882911748020383,35.823304477855075,5.930166795146371,6.8999950159318155,1,49.70482894786584,1.2019139781323617e-34,"Shannon_BS","BS"
"SL-2","L","TP1",6.446322374617185,0.24068080274913903,35.823304477855,5.97614444901352,6.953491923099285,1,49.91168693701903,1.0379001563262027e-34,"Shannon_BS","BS"
"SL-0","R","TP1",6.015578078910766,0.22459847288018178,35.823304477855075,5.576817517759476,6.4888584767626,1,48.059397429670504,3.945338609845643e-34,"Shannon_BS","BS"
"SL-1","R","TP1",6.293194362343255,0.23496359365289707,35.823304477855146,5.834185194207611,6.788316442465608,1,49.26777989788284,1.641905653229418e-34,"Shannon_BS","BS"
"SL-2","R","TP1",6.272413085249935,0.2341877009558972,35.823304477855075,5.814919649215063,6.765900181840935,1,49.17918887712415,1.7496517862160478e-34,"Shannon_BS","BS"
"SL-0","P","TP1",5.5083734018060815,0.20566140741098507,35.823304477855075,5.106607025723254,5.941749067606647,1,45.70020665979714,2.3278048974446917e-33,"Shannon_BS","BS"
"SL-1","P","TP1",5.567594173036585,0.2078724824908327,35.823304477855075,5.161508388498568,6.005629080193741,1,45.9866225353618,1.8678047611689555e-33,"Shannon_BS","BS"
"SL-2","P","TP1",6.021735875378234,0.2248283812389061,35.823304477855,5.5825261806277995,6.4955007427729425,1,48.08680031825262,3.866764290161585e-34,"Shannon_BS","BS"
"SL-0","L","TP2",6.588088058908401,0.24597378636284128,35.823304477855075,6.10757011437793,7.106411135544065,1,50.49432307290601,6.887457070097671e-35,"Shannon_BS","BS"
"SL-1","L","TP2",6.454080094733102,0.24097044608319784,35.823304477855075,5.983336341276043,6.961859988025746,1,49.94389995866014,1.014509728182656e-34,"Shannon_BS","BS"
"SL-2","L","TP2",6.6002506729739485,0.2464278914396135,35.823304477855,6.118845619124564,7.119530652960935,1,50.54372427546863,6.653502275020539e-35,"Shannon_BS","BS"
