"contrast","ratio","SE","df","lower.CL","upper.CL","null","t.ratio","p.value","metric"
"(L-BS-0) / (no_plant-Garden Soil)",0.971031972919252,0.0677419482712754,107,0.787049187977985,1.19802308017606,1,-0.421368788299596,0.99957351299073,"Shannon"
"(L-BS-1) / (no_plant-Garden Soil)",0.956772205039701,0.0667471463646472,107,0.77549123824682,1.18042990969961,1,-0.633431007867742,0.995756088333179,"Shannon"
"(L-BS-2) / (no_plant-Garden Soil)",0.969357381681321,0.0676251240304892,107,0.785691883882172,1.19595703188018,1,-0.446110280084882,0.99940795254727,"Shannon"
"(L-control-0) / (no_plant-Garden Soil)",0.989096580291514,0.0690021865870888,107,0.801691068945855,1.22031051989983,1,-0.157150964878421,0.999998727902798,"Shannon"
"(L-RW-0) / (no_plant-Garden Soil)",0.86815505634331,0.0605649623888802,107,0.703664504557775,1.07109737235946,1,-2.02665120437097,0.414600283345011,"Shannon"
"(L-RW-1) / (no_plant-Garden Soil)",0.96075330756098,0.0670248793833123,107,0.778718035709739,1.1853416457063,1,-0.573910219135233,0.997538621129414,"Shannon"
"(L-RW-2) / (no_plant-Garden Soil)",0.926892111579047,0.0646626261819934,107,0.751272567852051,1.1435649633312,1,-1.08823127836033,0.933579778915296,"Shannon"
"(P-BS-0) / (no_plant-Garden Soil)",0.883579783479606,0.0616410351618747,107,0.716166687087261,1.09012782617567,1,-1.77420654344628,0.580300771054085,"Shannon"
"(P-BS-1) / (no_plant-Garden Soil)",0.8783282868177,0.0612746758398968,107,0.711910198836935,1.08364872519662,1,-1.85965554211868,0.523229676328699,"Shannon"
"(P-BS-2) / (no_plant-Garden Soil)",0.917793572484753,0.0640278862538971,107,0.743897941675302,1.13233952468979,1,-1.22963428787372,0.886480524158886,"Shannon"
"(P-control-0) / (no_plant-Garden Soil)",0.829180416613844,0.0578459808289758,107,0.672074444285515,1.023011913549,1,-2.68506149693725,0.114541202661468,"Shannon"
"(P-RW-0) / (no_plant-Garden Soil)",0.90155015106038,0.0628946990421822,107,0.730732184008638,1.11229899635485,1,-1.48559902429086,0.762517331859511,"Shannon"
"(P-RW-1) / (no_plant-Garden Soil)",0.838906333879333,0.0585244884401194,107,0.679957578414592,1.03501138801009,1,-2.51790521507436,0.167266925147531,"Shannon"
"(P-RW-2) / (no_plant-Garden Soil)",0.923161261349938,0.0644023514739748,107,0.748248607029771,1.13896197928144,1,-1.14604487511376,0.91622321720881,"Shannon"
"(R-BS-0) / (no_plant-Garden Soil)",0.921957038405175,0.0643183414612191,107,0.747272549889273,1.13747625386586,1,-1.16475551266993,0.910045936212857,"Shannon"
"(R-BS-1) / (no_plant-Garden Soil)",0.934359052473445,0.0651835411857416,107,0.757324737020021,1.15277739688568,1,-0.973218550532273,0.96065526997731,"Shannon"
"(R-BS-2) / (no_plant-Garden Soil)",0.922590018308492,0.0643624999370088,107,0.74778559820571,1.13825720089398,1,-1.15491753024325,0.913328349181477,"Shannon"
"(R-control-0) / (no_plant-Garden Soil)",0.919219217796159,0.0641273433198145,107,0.745053467977194,1.13409843277402,1,-1.20738555713739,0.89493741213888,"Shannon"
"(R-RW-0) / (no_plant-Garden Soil)",0.940170606678828,0.0655889717125792,107,0.762035167928373,1.15994747600142,1,-0.884337902813331,0.975424177221901,"Shannon"
"(R-RW-1) / (no_plant-Garden Soil)",0.893967577387933,0.062365717167427,107,0.724586291166674,1.10294389938578,1,-1.60666869623965,0.689649895917039,"Shannon"
"(R-RW-2) / (no_plant-Garden Soil)",0.909161867759706,0.063425714017262,107,0.736901698107451,1.12169004890499,1,-1.36508387790166,0.826712665509845,"Shannon"
"(L-BS-0) / (no_plant-Garden Soil)",0.601438506669275,0.408506055978077,107,0.0777955258449249,4.64973111725763,1,-0.748556762233027,0.989579711540687,"InvSimpson.c"
"(L-BS-1) / (no_plant-Garden Soil)",0.567555822848048,0.385492428848657,107,0.0734128313954007,4.38778352402447,1,-0.83392764777307,0.981738268069593,"InvSimpson.c"
"(L-BS-2) / (no_plant-Garden Soil)",0.640158569552637,0.434805303532578,107,0.0828039308927516,4.94907656862883,1,-0.656698346854466,0.994833203132029,"InvSimpson.c"
"(L-control-0) / (no_plant-Garden Soil)",0.529444264078331,0.359606486416383,107,0.0684831358032787,4.09314242809579,1,-0.93626816229991,0.967397794043203,"InvSimpson.c"
"(L-RW-0) / (no_plant-Garden Soil)",0.228583604753269,0.155257413357401,107,0.0295670821440897,1.76718365739865,1,-2.17288082272879,0.327346806542249,"InvSimpson.c"
"(L-RW-1) / (no_plant-Garden Soil)",0.559849650725421,0.380258281141793,107,0.0724160450142769,4.32820697893101,1,-0.854055065326039,0.979381280026693,"InvSimpson.c"
"(L-RW-2) / (no_plant-Garden Soil)",0.511198663939577,0.347213801097792,107,0.0661230839585584,3.95208538938367,1,-0.987900721269818,0.957723739925855,"InvSimpson.c"
"(P-BS-0) / (no_plant-Garden Soil)",0.323364177313585,0.219633800054652,107,0.04182686331947,2.49993384325852,1,-1.66217781570718,0.654184179074837,"InvSimpson.c"
"(P-BS-1) / (no_plant-Garden Soil)",0.287757221892224,0.195449021788425,107,0.0372211359009148,2.22465587755197,1,-1.83393790162024,0.54038806030384,"InvSimpson.c"
"(P-BS-2) / (no_plant-Garden Soil)",0.447119678476838,0.303690392915259,107,0.0578345252540452,3.45668968497754,1,-1.18508716944933,0.903019793118586,"InvSimpson.c"
"(P-control-0) / (no_plant-Garden Soil)",0.264634967806771,0.179744039953988,107,0.0342302932871629,2.04589734591477,1,-1.95726519641845,0.458915853470216,"InvSimpson.c"
"(P-RW-0) / (no_plant-Garden Soil)",0.313773961485532,0.213119981600306,107,0.0405863775922733,2.42579172488326,1,-1.70650297517077,0.625225763830716,"InvSimpson.c"
"(P-RW-1) / (no_plant-Garden Soil)",0.206495814395543,0.140255054804946,107,0.0267100464761412,1.59642258207851,1,-2.3224974911736,0.249359910359209,"InvSimpson.c"
"(P-RW-2) / (no_plant-Garden Soil)",0.419712849685263,0.285075263667027,107,0.0542894767845184,3.2448070348904,1,-1.27821748831855,0.866659556291663,"InvSimpson.c"
"(R-BS-0) / (no_plant-Garden Soil)",0.492453051478491,0.334481499909131,107,0.06369835597303,3.80716274707555,1,-1.04290415950488,0.94539950811053,"InvSimpson.c"
"(R-BS-1) / (no_plant-Garden Soil)",0.481229743978072,0.326858461092718,107,0.062246631317837,3.72039516976785,1,-1.07684677679421,0.936693891545966,"InvSimpson.c"
"(R-BS-2) / (no_plant-Garden Soil)",0.449851560172917,0.305545927944508,107,0.0581878916759419,3.47780990789322,1,-1.17611892494491,0.906159349837207,"InvSimpson.c"
"(R-control-0) / (no_plant-Garden Soil)",0.315803418852296,0.214498419487936,107,0.040848886063674,2.44148149360401,1,-1.69701103379932,0.631465368393124,"InvSimpson.c"
"(R-RW-0) / (no_plant-Garden Soil)",0.452001046386239,0.307005891225286,107,0.0584659257698808,3.49442762162682,1,-1.16910077491669,0.908571805351457,"InvSimpson.c"
