"species_treat","response","SE","df","lower.CL","upper.CL","null","t.ratio","p.value","metric"
"no_plant-Garden Soil",6.73205827862717,0.383465582337109,107,6.01323068298713,7.5368152422716,1,33.4768859692248,1.6263569233145e-58,"Shannon"
"L-BS-0",6.53704383210273,0.263296400819835,107,6.03538360721015,7.08040198336052,1,46.6136340136365,6.61785409447359e-73,"Shannon"
"L-BS-1",6.44104624369789,0.2594298488793,107,5.94675298360243,6.97642508909503,1,46.2463314749787,1.48289187709678e-72,"Shannon"
"L-BS-2",6.5257703862961,0.262842333540807,107,6.02497529853644,7.06819149034584,1,46.5707804928094,7.26889746172236e-73,"Shannon"
"L-control-0",6.65865582171331,0.268194639225972,107,6.14766295356109,7.21212234420782,1,47.0712727080672,2.44137991902929e-73,"Shannon"
"L-RW-0",5.84447043418802,0.235401210324248,107,5.39595908445615,6.33026198335983,1,43.833203308504,3.44881994013896e-70,"Shannon"
"L-RW-1",6.46784725788433,0.260509329261389,107,5.97149725728821,7.0054537997593,1,46.34942450517,1.1817045115225e-72,"Shannon"
"L-RW-2",6.23989171314995,0.251327828262308,107,5.76103528193688,6.75855062264901,1,45.4585942991894,8.53402607616285e-72,"Shannon"
"P-BS-0",5.94831059620148,0.239583642264574,107,5.49183043359846,6.44273332483409,1,44.2704502873251,1.25981271074443e-70,"Shannon"
"P-BS-1",5.91295721462352,0.238159693096515,107,5.45919011098241,6.40444137522013,1,44.1224482801685,1.76975218471275e-70,"Shannon"
"P-BS-2",6.17863981771679,0.248860749254555,107,5.70448392705803,6.69220747840088,1,45.2136771023691,1.478720392336e-71,"Shannon"
"P-control-0",5.58209088814076,0.224833193358579,107,5.1537148450487,6.04607348685579,1,42.6928032295529,4.97749638509016e-69,"Shannon"
"P-RW-0",6.06928815804361,0.244456327446301,107,5.60352403889395,6.57376652436727,1,44.7703331739486,4.02729691227864e-71,"Shannon"
"P-RW-1",5.64756632998514,0.227470386656114,107,5.2141656265536,6.11699123809064,1,42.9823264025437,2.51238082579111e-69,"Shannon"
"P-RW-2",6.21477541197875,0.250316204067927,107,5.73784643446151,6.7313466581056,1,45.3584582122442,1.06812158541628e-71,"Shannon"
"R-BS-0",6.20666851293415,0.249989677675406,107,5.73036166812741,6.72256591476832,1,45.3260504373549,1.14869873554668e-71,"Shannon"
"R-BS-1",6.2901595944141,0.253352497601175,107,5.80744554846453,6.81299676303653,1,45.6578021873048,5.46803520519381e-72,"Shannon"
"R-BS-2",6.21092977053248,0.25016131088109,107,5.73429591194091,6.72718136749064,1,45.3430903227619,1.10559507046246e-71,"Shannon"
"R-control-0",6.18823734503783,0.249247314568373,107,5.71334492914871,6.70260275082441,1,45.2522130344083,1.3559576073279e-71,"Shannon"
"R-RW-0",6.32928331601414,0.254928306995841,107,5.84356687089445,6.85537244279761,1,45.8117479849636,3.88109897371578e-72,"Shannon"
"R-RW-1",6.01824183017871,0.242400304150895,107,5.55639506464857,6.51847723300855,1,44.5606343508776,6.48901270959196e-71,"Shannon"
"R-RW-2",6.12053067846387,0.2465202529059,107,5.65083414965347,6.6292683157786,1,44.9790715305763,2.50993613108759e-71,"Shannon"
"no_plant-Garden Soil",4.41755131868565,2.44987114780744,107,1.47138165823631,13.2628808738943,1,2.67877368864119,0.00855593419420629,"InvSimpson.c"
"L-BS-0",2.65688546824518,1.04188425558369,107,1.22112541566138,5.78076608744492,1,2.49181973646771,0.0142437242268514,"InvSimpson.c"
"L-BS-1",2.50720697365011,0.983188587749323,107,1.15233200468733,5.45510042518117,1,2.34395302522521,0.0209272586306627,"InvSimpson.c"
"L-BS-2",2.82793333309517,1.10895981434163,107,1.2997403569373,6.15292653932458,1,2.65092317900615,0.00924592625442031,"InvSimpson.c"
"L-control-0",2.33884720694978,0.917167153142784,107,1.07495253442045,5.0887886509389,1,2.16669405439198,0.0324767643065383,"InvSimpson.c"
"L-RW-0",1.00977980460772,0.395980064854671,107,0.464102724172937,2.19704647416303,1,0.0248180972462436,0.980246281813619,"InvSimpson.c"
"L-RW-1",2.47316456282778,0.969839027792067,107,1.13668584546731,5.38103204083844,1,2.30909131539832,0.0228594815103659,"InvSimpson.c"
"L-RW-2",2.25824633199662,0.88555992595755,107,1.03790773963866,4.91341985536361,1,2.07726383893131,0.0401713493260843,"InvSimpson.c"
"P-BS-0",1.42847784790733,0.560170393858833,107,0.65653963132292,3.10803623210112,1,0.909381652985884,0.365192557416916,"InvSimpson.c"
"P-BS-1",1.27118229503131,0.498487734981147,107,0.584245360575046,2.76579761901851,1,0.611884457472072,0.54191220207898,"InvSimpson.c"
"P-BS-2",1.97517412526566,0.774554585715649,107,0.907805531531503,4.29752043759559,1,1.73572689212035,0.0854908889448607,"InvSimpson.c"
"P-control-0",1.16903855100513,0.458432580184604,107,0.537299294072767,2.54355654067004,1,0.398275316921536,0.691220839189861,"InvSimpson.c"
"P-RW-0",1.38611257732963,0.543557066364668,107,0.637068220431443,3.01585923675524,1,0.832608224741345,0.406920251775111,"InvSimpson.c"
"P-RW-1",0.912205857186095,0.35771693278188,107,0.41925697205941,1.98474821252753,1,-0.234325574159358,0.815180022092351,"InvSimpson.c"
"P-RW-2",1.85410305259644,0.727077174314849,107,0.852160316220279,4.03409788535474,1,1.57442044811376,0.118342528211317,"InvSimpson.c"
"R-BS-0",2.17543662694958,0.853086517175264,107,0.999847749208157,4.73324515819708,1,1.9819950893172,0.0500440904356394,"InvSimpson.c"
"R-BS-1",2.12585709010109,0.833644151495989,107,0.977060604912323,4.6253715939541,1,1.92320475163022,0.0571121689404844,"InvSimpson.c"
"R-BS-2",1.98724235285467,0.779287080385844,107,0.913352183657481,4.32377809966493,1,1.7512603472567,0.0827666589334508,"InvSimpson.c"
"R-control-0",1.39507780939639,0.547072736968335,107,0.64118871145933,3.03536550080653,1,0.84904874945916,0.39774974986401,"InvSimpson.c"
"R-RW-0",1.99673781851082,0.783010679421189,107,0.917716374204967,4.34443802893385,1,1.76341613968072,0.0806849095044336,"InvSimpson.c"
"R-RW-1",1.43217364976652,0.561619683944864,107,0.658238250866534,3.11607743911168,1,0.915970771553723,0.361741992192754,"InvSimpson.c"
"R-RW-2",1.37578682463603,0.539507874449138,107,0.632322423444449,2.99339279561131,1,0.813540483899421,0.417714915451563,"InvSimpson.c"
