"contrast","species","ratio","SE","df","lower.CL","upper.CL","null","t.ratio","p.value","metric","time"
"(RW-0) / (control-0)","L",0.764136674430994,0.0833878079835931,18,0.587139013167214,0.994491669120555,1,-2.46510073332599,0.0451484010260019,"Shannon","TP1"
"(BS-0) / (control-0)","L",0.952013971573244,0.103890260624334,18,0.731498123954255,1.23900605126821,1,-0.450627689040388,0.852571164725841,"Shannon","TP1"
"(RW-0) / (control-0)","R",0.981496520305105,0.107107597515473,18,0.754151603557192,1.27737634558775,1,-0.171147752305994,0.970576505384965,"Shannon","TP1"
"(BS-0) / (control-0)","R",0.949921864342934,0.103661955607915,18,0.729890613392667,1.23628326190202,1,-0.470787513031558,0.841758879795981,"Shannon","TP1"
"(RW-0) / (control-0)","P",1.23921995237671,0.13523213699326,18,0.952178326576694,1.61279252793919,1,1.9654389651371,0.118619136722245,"Shannon","TP1"
"(BS-0) / (control-0)","P",1.16351060243066,0.126970216126074,18,0.894005601065308,1.5142600005586,1,1.38775977733036,0.310284081753808,"Shannon","TP1"
"(RW-0) / (control-0)","L",1.00506340727054,0.0309930290341907,18,0.932949161682596,1.08275187343803,1,0.163785370256269,0.972670088113209,"Shannon","TP2"
"(BS-0) / (control-0)","L",1.01191109071526,0.0312041902905691,18,0.939305517394091,1.09012886281487,1,0.383978807471735,0.886502626346397,"Shannon","TP2"
"(RW-0) / (control-0)","R",1.06400591299248,0.0328106325584788,18,0.987662487133466,1.14625046271498,1,2.01190683063956,0.10890644327066,"Shannon","TP2"
"(BS-0) / (control-0)","R",1.0570057741871,0.0325947700530198,18,0.981164614876948,1.13870923362333,1,1.79785221305864,0.159975342305727,"Shannon","TP2"
"(RW-0) / (control-0)","P",0.953277287133552,0.0293961061800072,18,0.88487874441429,1.02696283745205,1,-1.55169527029154,0.24120701772237,"Shannon","TP2"
"(BS-0) / (control-0)","P",0.979863934010777,0.030215955666743,18,0.909557774350739,1.05560455448851,1,-0.659650187223506,0.731424429389714,"Shannon","TP2"
"(RW-0) / (control-0)","L",0.109926081064412,0.0944862311321116,18,0.0137970365660652,0.875821647664577,1,-2.56874437919948,0.036544092654007,"InvSimpson.c","TP1"
"(BS-0) / (control-0)","L",0.725270109546586,0.623401094083179,18,0.0910300642467637,5.77849456829772,1,-0.373699745883384,0.891463899895409,"InvSimpson.c","TP1"
"(RW-0) / (control-0)","R",0.932709199195738,0.801703982539102,18,0.117066148471795,7.431238335085,1,-0.0810451397735536,0.991571256125885,"InvSimpson.c","TP1"
"(BS-0) / (control-0)","R",1.22448902020924,1.05250138513015,18,0.153688002182784,9.75595582815728,1,0.235617706090627,0.949678076048074,"InvSimpson.c","TP1"
"(RW-0) / (control-0)","P",1.59639777134282,1.37217307613742,18,0.20036699400114,12.7190900729579,1,0.544183958016658,0.800581234187293,"InvSimpson.c","TP1"
"(BS-0) / (control-0)","P",1.83074873111944,1.57360788339223,18,0.229780839469132,14.586250638821,1,0.703542213701208,0.704210900966406,"InvSimpson.c","TP1"
"(RW-0) / (control-0)","L",1.61570950567335,0.854396379540032,18,0.450670362903009,5.79252025783874,1,0.907278782968887,0.576162606681259,"InvSimpson.c","TP2"
"(BS-0) / (control-0)","L",1.81370126295368,0.959095547308178,18,0.505896266316967,6.50234542189472,1,1.12587603642005,0.445217968892907,"InvSimpson.c","TP2"
"(RW-0) / (control-0)","R",2.1862246722251,1.15608804568602,18,0.609804338564307,7.83788834415078,1,1.47913719056521,0.270264511343138,"InvSimpson.c","TP2"
"(BS-0) / (control-0)","R",1.95314915107965,1.03283638396908,18,0.544792509810687,7.00228350732789,1,1.2659527539677,0.36947561051874,"InvSimpson.c","TP2"
"(RW-0) / (control-0)","P",0.872476797989271,0.461370694928263,18,0.243360228923339,3.12793822720065,1,-0.257976077929444,0.941421419519219,"InvSimpson.c","TP2"
"(BS-0) / (control-0)","P",0.830362526030175,0.43910042829774,18,0.231613281739728,2.97695330533777,1,-0.351533462696029,0.901893053999876,"InvSimpson.c","TP2"
