"treat.rn","species","response","SE","df","lower.CL","upper.CL","null","t.ratio","p.value","metric","time"
"control-0","L",6.80767617297624,0.525309681499752,18,5.78885553907832,8.00580608088335,1,24.8567071124201,2.19333253008182e-15,"Shannon","TP1"
"RW-0","L",5.20199503142118,0.401408393067625,18,4.42347682039275,6.11753003478563,1,21.3705282227347,3.05844589778228e-14,"Shannon","TP1"
"BS-0","L",6.48100283061966,0.500102156190455,18,5.51107135262173,7.62163924270699,1,24.2194233229984,3.45572960984888e-15,"Shannon","TP1"
"control-0","R",6.33801047934989,0.48906824908415,18,5.3894788967438,7.45348068077955,1,23.9302956222957,4.26320309141245e-15,"Shannon","TP1"
"RW-0","R",6.2207352311392,0.480018784667803,18,5.28975478341183,7.31556535234645,1,23.6882561498149,5.0919213259654e-15,"Shannon","TP1"
"BS-0","R",6.02061473076909,0.46457662296095,18,5.11958384143177,7.08022426413015,1,23.2645015363706,6.9782894157685e-15,"Shannon","TP1"
"control-0","P",4.75620013492004,0.367008934405823,18,4.04439852842763,5.59327661812006,1,20.2094584815446,8.04603812031308e-14,"Shannon","TP1"
"RW-0","P",5.89397810468971,0.454804794216211,18,5.01189935179052,6.9312999843365,1,22.989008922058,8.58995841033231e-15,"Shannon","TP1"
"BS-0","P",5.53388928426159,0.427018786367952,18,4.70570056828049,6.50783664751017,1,22.1720471799611,1.61317765008696e-14,"Shannon","TP1"
"control-0","L",6.52322545288099,0.142238758382748,18,6.23113441609124,6.82900856691956,1,86.0064769950076,5.43427957465795e-25,"Shannon","TP2"
"RW-0","L",6.55625520006649,0.142958971146096,18,6.2626851873974,6.8635866185479,1,86.2381044869423,5.17804173223575e-25,"Shannon","TP2"
"BS-0","L",6.60092418300636,0.143932977137071,18,6.30535402338029,6.91034950745545,1,86.549505032198,4.85347717493391e-25,"Shannon","TP2"
"control-0","R",6.05250386586222,0.131974686634018,18,5.78149037075561,6.33622140608866,1,82.5716227268195,1.12975073621937e-24,"Shannon","TP2"
"RW-0","R",6.43989990168725,0.140421846943925,18,6.15153994039306,6.74177704210786,1,85.416888652941,6.14880190713306e-25,"Shannon","TP2"
"BS-0","R",6.39753153450609,0.13949800581869,18,6.11106870529578,6.69742261276359,1,85.1141697096695,6.55358961220511e-25,"Shannon","TP2"
"control-0","P",6.55656517934886,0.142965730236145,18,6.26298128671032,6.863911128438,1,86.240272745095,5.17570424613664e-25,"Shannon","TP2"
"RW-0","P",6.25022466708399,0.136285983472579,18,5.97035781036341,6.54321057964317,1,84.0458442491786,8.22214255887478e-25,"Shannon","TP2"
"BS-0","P",6.42454175023485,0.140086962857912,18,6.13686948223185,6.72569896101161,1,85.3073865039016,6.2920914248844e-25,"Shannon","TP2"
"control-0","L",2.82935993490559,1.71965363643181,18,0.789096518046143,10.1448649920172,1,1.7112034622109,0.104220942080328,"InvSimpson.c","TP1"
"RW-0","L",0.311020449564832,0.189034785041114,18,0.0867422878103856,1.1151852515,1,-1.92154967712266,0.070640748628234,"InvSimpson.c","TP1"
"BS-0","L",2.0520501899357,1.24721338127708,18,0.572308118086156,7.35776734409563,1,1.18271221332723,0.252310602089185,"InvSimpson.c","TP1"
"control-0","R",1.26655756467127,0.769799662095605,18,0.353237547424467,4.54132941507028,1,0.38879063281125,0.701991691077315,"InvSimpson.c","TP1"
"RW-0","R",1.18132989187984,0.717999226374341,18,0.329467909984141,4.23573972201426,1,0.274175496979068,0.787071462038907,"InvSimpson.c","TP1"
"BS-0","R",1.55088583140292,0.942611233996851,18,0.432535498346901,5.56080800590681,1,0.722004388299852,0.479567165254158,"InvSimpson.c","TP1"
"control-0","P",0.387480037011257,0.235506075586447,18,0.108066543335772,1.38933637042266,1,-1.55990165033907,0.136192071013671,"InvSimpson.c","TP1"
"RW-0","P",0.618572267524604,0.375961374203897,18,0.172517188937949,2.21793348538826,1,-0.790309316486039,0.439635762894036,"InvSimpson.c","TP1"
"BS-0","P",0.709378586092473,0.431152449050807,18,0.19784268708843,2.54352579724937,1,-0.564942710020829,0.579086352499527,"InvSimpson.c","TP1"
"control-0","L",1.99233328662424,0.744977424784451,18,0.908214494674014,4.37054456658466,1,1.84344941837273,0.0817921275627086,"InvSimpson.c","TP2"
"RW-0","L",3.21903182966821,1.20366710673629,18,1.46741079223512,7.06153040119984,1,3.12653537810068,0.00583062067860763,"InvSimpson.c","TP2"
"BS-0","L",3.61349739817503,1.35116649620354,18,1.64722977602309,7.92686220020993,1,3.43567857862882,0.00294891430234437,"InvSimpson.c","TP2"
"control-0","R",1.51177857029525,0.565287401311829,18,0.689151368145894,3.31636060123166,1,1.10527521862431,0.283595539493279,"InvSimpson.c","TP2"
"RW-0","R",3.30508760932066,1.23584526364593,18,1.50663972393824,7.25030936840793,1,3.19709109413207,0.00499432286044024,"InvSimpson.c","TP2"
"BS-0","R",2.95272903119256,1.10409060798822,18,1.34601540965953,6.4773468929696,1,2.895602772609,0.00963646406496128,"InvSimpson.c","TP2"
"control-0","P",3.56190499829579,1.33187495825729,18,1.62371113800207,7.81368490980219,1,3.39721976994638,0.0032112202697893,"InvSimpson.c","TP2"
"RW-0","P",3.1076794676551,1.16202999890241,18,1.41665029454357,6.8172587906013,1,3.03238650177074,0.00716225889920186,"InvSimpson.c","TP2"
"BS-0","P",2.9576724318644,1.10593905469486,18,1.34826888209473,6.48819113930721,1,2.90007637937368,0.0095438201678433,"InvSimpson.c","TP2"
