"contrast","species","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value","metric","time","amend"
"linear","L",0.139140017971812,0.0896685670297419,18,-0.0492466508178036,0.327526686761428,1.55171452584562,0.138135169382073,"Shannon","TP1","RW"
"quadratic","L",-0.213780935528809,0.155310513937408,18,-0.540076217341073,0.112514346283455,-1.3764743294518,0.185557480497091,"Shannon","TP1","RW"
"linear","R",-0.0259562006064113,0.0896685670297419,18,-0.214342869396027,0.162430468183204,-0.289468221319985,0.775530888251195,"Shannon","TP1","RW"
"quadratic","R",0.140672056243578,0.155310513937408,18,-0.185623225568686,0.466967338055843,0.905747155664365,0.377034612717025,"Shannon","TP1","RW"
"linear","P",-0.00274728633685093,0.0896685670297418,18,-0.191133955126466,0.185639382452765,-0.0306382317444606,0.975895214702167,"Shannon","TP1","RW"
"quadratic","P",0.226851609211206,0.155310513937408,18,-0.099443672601058,0.553146891023471,1.46063266072656,0.161352091194041,"Shannon","TP1","RW"
"linear","L",-0.00580473475840271,0.0301963702316702,18,-0.0692449545133969,0.0576354849965915,-0.192232864873099,0.849711897902404,"Shannon","TP2","RW"
"quadratic","L",-0.0553648303969988,0.0523016474454131,18,-0.165246514255984,0.054516853461986,-1.05856761882659,0.303796377212166,"Shannon","TP2","RW"
"linear","R",-0.0415441681055874,0.0301963702316702,18,-0.104984387860582,0.0218960516494068,-1.37580006427447,0.185762607033668,"Shannon","TP2","RW"
"quadratic","R",-0.0142661301020602,0.0523016474454131,18,-0.124147813961045,0.0956155537569246,-0.272766362033809,0.788137462753299,"Shannon","TP2","RW"
"linear","P",0.0524926284571449,0.0301963702316702,18,-0.0109475912978493,0.115932848212139,1.73837544229373,0.0992206365858936,"Shannon","TP2","RW"
"quadratic","P",0.111388547207144,0.0523016474454131,18,0.00150686334815905,0.221270231066129,2.12973305139956,0.0472487927867053,"Shannon","TP2","RW"
"linear","L",1.5293953492584,0.832708105944869,18,-0.22005946360854,3.27885016212535,1.83665240957755,0.0828323586299651,"InvSimpson.c","TP1","RW"
"quadratic","L",-1.37287582299331,1.44229274737096,18,-4.40302044442476,1.65726879843814,-0.95187043372146,0.353770570543855,"InvSimpson.c","TP1","RW"
"linear","R",-0.259787234743659,0.832708105944869,18,-2.0092420476106,1.48966757812329,-0.311978750883996,0.758641587504174,"InvSimpson.c","TP1","RW"
"quadratic","R",0.491037803180002,1.44229274737096,18,-2.53910681825145,3.52118242461145,0.340456404620404,0.737453992612238,"InvSimpson.c","TP1","RW"
"linear","P",0.332372848099557,0.832708105944869,18,-1.41708196476739,2.0818276609665,0.399146886798244,0.694480848375793,"InvSimpson.c","TP1","RW"
"quadratic","P",1.49314687803409,1.44229274737096,18,-1.53699774339736,4.52329149946554,1.03525922927632,0.314256951158807,"InvSimpson.c","TP1","RW"
"linear","L",0.112538561064993,0.334404593787771,18,-0.590019420381585,0.815096542511572,0.336534136060391,0.740359813344381,"InvSimpson.c","TP2","RW"
"quadratic","L",-0.502873963294795,0.57920574672485,18,-1.7197400824233,0.713992155833712,-0.868213007447392,0.396706063580006,"InvSimpson.c","TP2","RW"
"linear","R",-0.46597039945495,0.334404593787771,18,-1.16852838090153,0.236587581991628,-1.39343300932845,0.180457802427498,"InvSimpson.c","TP2","RW"
"quadratic","R",-0.0399961695995075,0.57920574672485,18,-1.25686228872801,1.176869949529,-0.0690534750831944,0.945708398398882,"InvSimpson.c","TP2","RW"
"linear","P",0.292657242241838,0.33440459378777,18,-0.409900739204741,0.995215223688416,0.875159156538299,0.393015709317631,"InvSimpson.c","TP2","RW"
"quadratic","P",0.795053338771125,0.579205746724851,18,-0.421812780357382,2.01191945789963,1.37266134403327,0.186719870531591,"InvSimpson.c","TP2","RW"
"linear","L",0.000112993669455649,0.0696362263859128,18,-0.146187289143923,0.146413276482834,0.00162262769423284,0.998723179143975,"Shannon","TP1","BS"
"quadratic","L",0.013639268718101,0.120613482147769,18,-0.239760254276367,0.267038791712569,0.113082455420621,0.911216844005591,"Shannon","TP1","BS"
"linear","R",0.0480296097002369,0.0696362263859128,18,-0.0982706731131418,0.194329892513616,0.689721603150414,0.499165681779082,"Shannon","TP1","BS"
