"spikeFac","species","emmean","SE","df","lower.CL","upper.CL","t.ratio","p.value","metric","time","amend"
"US","L",1.64904221189743,0.063405251806011,18,1.51583272091115,1.78225170288372,26.0079751270872,9.91479684542545e-16,"Shannon","TP1","RW"
"SL1","L",1.82550268864774,0.0634052518060109,18,1.69229319766146,1.95871217963403,28.7910328663766,1.65700589743474e-16,"Shannon","TP1","RW"
"SL2","L",1.78818222986925,0.0634052518060109,18,1.65497273888296,1.92139172085553,28.2024308544694,2.38489531757037e-16,"Shannon","TP1","RW"
"US","R",1.82788810412872,0.0634052518060109,18,1.69467861314244,1.961097595115,28.8286545997982,1.61927866163854e-16,"Shannon","TP1","RW"
"SL1","R",1.74457397570372,0.0634052518060109,18,1.61136448471744,1.87778346669001,27.5146604738873,3.68395830366829e-16,"Shannon","TP1","RW"
"SL2","R",1.80193190352231,0.0634052518060109,18,1.66872241253603,1.93514139450859,28.4192847153314,2.0837236764066e-16,"Shannon","TP1","RW"
"US","P",1.77393116946125,0.0634052518060109,18,1.64072167847497,1.90714066044753,27.9776693402088,2.74595870462955e-16,"Shannon","TP1","RW"
"SL1","P",1.65913172168722,0.063405251806011,18,1.52592223070094,1.7923412126735,26.1671024785668,8.90773993920908e-16,"Shannon","TP1","RW"
"SL2","P",1.7711838831244,0.0634052518060109,18,1.63797439213812,1.90439337411068,27.9343403373487,2.82196016493017e-16,"Shannon","TP1","RW"
"US","L",1.88041958630862,0.0213520581580336,18,1.8355605767199,1.92527859589734,88.0673690747289,3.55180720728431e-25,"Shannon","TP2","RW"
"SL1","L",1.90519963412792,0.0213520581580336,18,1.8603406245392,1.95005864371664,89.2279151745893,2.80755694333387e-25,"Shannon","TP2","RW"
"SL2","L",1.87461485155022,0.0213520581580336,18,1.8297558419615,1.91947386113894,87.7955107500916,3.75461045260985e-25,"Shannon","TP2","RW"
"US","R",1.8625129967792,0.0213520581580336,18,1.81765398719048,1.90737200636792,87.2287337826702,4.21775592636372e-25,"Shannon","TP2","RW"
"SL1","R",1.84887397777744,0.0213520581580336,18,1.80401496818872,1.89373298736616,86.5899654306539,4.81290965119465e-25,"Shannon","TP2","RW"
"SL2","R",1.82096882867361,0.0213520581580336,18,1.77610981908489,1.86582783826234,85.2830586726594,6.32440160936795e-25,"Shannon","TP2","RW"
"US","P",1.83261740983568,0.0213520581580336,18,1.78775840024696,1.8774764194244,85.8286070725305,5.64011906509803e-25,"Shannon","TP2","RW"
"SL1","P",1.80316945046068,0.0213520581580336,18,1.75831044087196,1.8480284600494,84.4494445038898,7.54440590205025e-25,"Shannon","TP2","RW"
"SL2","P",1.88511003829283,0.0213520581580336,18,1.84025102870411,1.92996904788155,88.2870411995186,3.39638721795272e-25,"Shannon","TP2","RW"
