"contrast","ratio","SE","df","lower.CL","upper.CL","null","t.ratio","p.value","metric"
"(L-BS-0) / (no_plant-Garden Soil)",0.960793370541737,0.085677982313607,50,0.72739374863485,1.26908418254823,1,-0.44851433689877,0.999633588881175,"Shannon"
"(L-BS-1) / (no_plant-Garden Soil)",0.950017849112842,0.0847170837867108,50,0.71923585832672,1.25485110785871,1,-0.574992595945486,0.998350478818996,"Shannon"
"(L-BS-2) / (no_plant-Garden Soil)",0.960194896967829,0.0856246139101055,50,0.726940658563945,1.26829367610886,1,-0.455501663494677,0.999597115675327,"Shannon"
"(L-control-0) / (no_plant-Garden Soil)",1.01263848243527,0.0903012288055726,50,0.766644446490276,1.33756489178692,1,0.140839874193688,0.99999975951899,"Shannon"
"(L-RW-0) / (no_plant-Garden Soil)",0.773439639359065,0.0689708628029816,50,0.585552706612621,1.02161405621789,1,-2.88096379178348,0.0895590260905824,"Shannon"
"(L-RW-1) / (no_plant-Garden Soil)",0.91999056420617,0.0820394246104108,50,0.696502916989628,1.2151889354413,1,-0.935156841506688,0.974400834437155,"Shannon"
"(L-RW-2) / (no_plant-Garden Soil)",0.885217716240222,0.0789385836342285,50,0.670177223028606,1.1692584859932,1,-1.36723014219918,0.847343251892135,"Shannon"
"(no_plant-Biosolids) / (no_plant-Garden Soil)",0.80391372126364,0.0716883647451226,50,0.60862390730198,1.06186638987103,1,-2.44760616855416,0.224885294231235,"Shannon"
"(no_plant-GH: Soil + BS) / (no_plant-Garden Soil)",0.73282223539088,0.065348838207986,50,0.554802238678422,0.967963701737263,1,-3.48589743780696,0.0189484088922144,"Shannon"
"(no_plant-GH: Soil only) / (no_plant-Garden Soil)",0.779319926997489,0.0694952327619453,50,0.590004532155456,1.02938115813549,1,-2.79602869305032,0.108811604412862,"Shannon"
"(P-BS-0) / (no_plant-Garden Soil)",0.818062772529853,0.0729500951039172,50,0.619335816600807,1.08055546257965,1,-2.2519540550592,0.319212886849047,"Shannon"
"(P-BS-1) / (no_plant-Garden Soil)",0.830044696328614,0.0740185735996986,50,0.628407045373882,1.09638203927733,1,-2.0888970577996,0.412622939580995,"Shannon"
"(P-BS-2) / (no_plant-Garden Soil)",0.892455150134361,0.0795839760278376,50,0.675656511637547,1.17881820315914,1,-1.27591854720738,0.885925431811025,"Shannon"
"(P-control-0) / (no_plant-Garden Soil)",0.705629009709056,0.0629239040020979,50,0.534214895996174,0.932044956205319,1,-3.90993866984448,0.00553796565064635,"Shannon"
"(P-RW-0) / (no_plant-Garden Soil)",0.877670282595643,0.0782655472601859,50,0.664463241001225,1.1592892991203,1,-1.46325153445588,0.800276659358373,"Shannon"
"(P-RW-1) / (no_plant-Garden Soil)",0.777886279158105,0.069367388359608,50,0.588919151564702,1.02748749415727,1,-2.81667713296683,0.10384270931404,"Shannon"
"(P-RW-2) / (no_plant-Garden Soil)",0.873783795424986,0.0779189728673154,50,0.661520874246039,1.15415575059137,1,-1.51301950821549,0.773520656091241,"Shannon"
"(R-BS-0) / (no_plant-Garden Soil)",0.894582581784558,0.0797736880480154,50,0.677267139406688,1.18162826611284,1,-1.24921844881471,0.896003763563125,"Shannon"
"(R-BS-1) / (no_plant-Garden Soil)",0.936395219256111,0.0835022966371369,50,0.708922490123351,1.2368573699688,1,-0.736958079747232,0.993012937973834,"Shannon"
"(R-BS-2) / (no_plant-Garden Soil)",0.936722004639501,0.0835314374629971,50,0.709169891544208,1.23728901133297,1,-0.73304527269103,0.993220341516183,"Shannon"
"(R-control-0) / (no_plant-Garden Soil)",0.937582334986212,0.0836081567353084,50,0.70982122713326,1.23842539681215,1,-0.722750519837767,0.993743209779793,"Shannon"
"(R-RW-0) / (no_plant-Garden Soil)",0.923817234674814,0.0823806648966,50,0.69939999794618,1.2202434738181,1,-0.888609294009177,0.980442821462971,"Shannon"
"(R-RW-1) / (no_plant-Garden Soil)",0.848296624536889,0.0756461747365966,50,0.642225144963543,1.1204904835072,1,-1.84498327068787,0.568172710646598,"Shannon"
"(R-RW-2) / (no_plant-Garden Soil)",0.901430345026911,0.0803843318721245,50,0.682451417657703,1.19067327858186,1,-1.16370544823786,0.924552333376706,"Shannon"
"(L-BS-0) / (no_plant-Garden Soil)",0.44656494034177,0.328129710376976,50,0.04508242759497,4.42345846443946,1,-1.09714983375085,0.942885232660113,"InvSimpson"
"(L-BS-1) / (no_plant-Garden Soil)",0.402272409563881,0.295584174480473,50,0.0406109283091914,3.98471786373092,1,-1.23930731079974,0.899603972039864,"InvSimpson"
"(L-BS-2) / (no_plant-Garden Soil)",0.488120263986409,0.358663984522412,50,0.0492775954197466,4.83508560197896,1,-0.976057470414754,0.968061547146097,"InvSimpson"
"(L-control-0) / (no_plant-Garden Soil)",0.648706355172351,0.476660411987332,50,0.0654893715235955,6.42577452570874,1,-0.58898109631217,0.998097172535066,"InvSimpson"
"(L-RW-0) / (no_plant-Garden Soil)",0.0710102516552781,0.0521773457889683,50,0.00716875473094601,0.703393550120875,1,-3.59959317024814,0.0137605654969795,"InvSimpson"
"(L-RW-1) / (no_plant-Garden Soil)",0.298010092175999,0.218973673034626,50,0.0300852511905942,2.95194527298854,1,-1.64759231109035,0.694586700686426,"InvSimpson"
"(L-RW-2) / (no_plant-Garden Soil)",0.322597872136574,0.237040431950142,50,0.0325674810068116,3.1955000475867,1,-1.53969803066911,0.758583702697379,"InvSimpson"
"(no_plant-Biosolids) / (no_plant-Garden Soil)",0.230764936569206,0.169562867482751,50,0.0232965972124392,2.28584696143329,1,-1.99562250776211,0.470655184205222,"InvSimpson"
"(no_plant-GH: Soil + BS) / (no_plant-Garden Soil)",0.104008268669191,0.0764238299789336,50,0.0105000299351051,1.03025610578455,1,-3.08019555656599,0.0553608225139601,"InvSimpson"
"(no_plant-GH: Soil only) / (no_plant-Garden Soil)",0.170327661662132,0.125154398031356,50,0.0171952246596585,1.68718425618209,1,-2.40890686195792,0.24186097075598,"InvSimpson"
"(P-BS-0) / (no_plant-Garden Soil)",0.157259500664896,0.115552094993637,50,0.0158759441502963,1.55773731094354,1,-2.51754622284149,0.196348087808254,"InvSimpson"
"(P-BS-1) / (no_plant-Garden Soil)",0.133735167806673,0.0982667422257441,50,0.0135010733599715,1.32471653411686,1,-2.73806730629461,0.123806015805126,"InvSimpson"
"(P-BS-2) / (no_plant-Garden Soil)",0.307169442439435,0.225703836282288,50,0.0310099224035925,3.04267341080551,1,-1.60639369171665,0.719636395837541,"InvSimpson"
"(P-control-0) / (no_plant-Garden Soil)",0.089073880752981,0.0654502493439362,50,0.00899234672694182,0.882323210316712,1,-3.29114709263209,0.0321599097680358,"InvSimpson"
"(P-RW-0) / (no_plant-Garden Soil)",0.144591009362247,0.106243463691613,50,0.0145970118152767,1.43224930232044,1,-2.63184911942765,0.15554842193706,"InvSimpson"
"(P-RW-1) / (no_plant-Garden Soil)",0.076643137644395,0.0563163121099267,50,0.0077374159755138,0.759190221459897,1,-3.49570468235207,0.0184383757291088,"InvSimpson"
"(P-RW-2) / (no_plant-Garden Soil)",0.19925287246106,0.146408240831423,50,0.0201153346004743,1.9737035437157,1,-2.19544238475909,0.350222652332982,"InvSimpson"
"(R-BS-0) / (no_plant-Garden Soil)",0.357031695168642,0.262341926442828,50,0.0360437062843115,3.53658501014025,1,-1.40167420264605,0.831191266044575,"InvSimpson"
"(R-BS-1) / (no_plant-Garden Soil)",0.346815878669006,0.254835486490949,50,0.0350123807903849,3.43539202366914,1,-1.44118301993302,0.811646319189781,"InvSimpson"
"(R-BS-2) / (no_plant-Garden Soil)",0.416858046208924,0.306301497529477,50,0.0420834037513374,4.12919619610378,1,-1.1908357184847,0.916109748349739,"InvSimpson"
"(R-control-0) / (no_plant-Garden Soil)",0.276433868970434,0.203119764158456,50,0.027907049472176,2.73822153754203,1,-1.74987477391523,0.629988222571311,"InvSimpson"
"(R-RW-0) / (no_plant-Garden Soil)",0.270682481177876,0.198893724359645,50,0.0273264250202651,2.6812510440819,1,-1.77848873750198,0.611492526736686,"InvSimpson"
"(R-RW-1) / (no_plant-Garden Soil)",0.179452384420226,0.131859117469456,50,0.018116400094414,1.77756939051231,1,-2.33788496664592,0.275200266128492,"InvSimpson"
"(R-RW-2) / (no_plant-Garden Soil)",0.218459307574894,0.160520862360675,50,0.0220542972062585,2.16395329308245,1,-2.07020181739799,0.424034307435112,"InvSimpson"
