"species_treat","response","SE","df","lower.CL","upper.CL","null","t.ratio","p.value","metric"
"no_plant-Garden Soil",6.72669792726119,0.413547757878715,50,5.9453002588108,7.61079559229373,1,31.0040462321583,2.59202201993841e-34,"Shannon"
"L-BS-0",6.46386883440383,0.397389401545222,50,5.7130023482037,7.31342256869791,1,30.3557496742814,7.0762607845737e-34,"Shannon"
"L-BS-1",6.41618467190365,0.394457847504664,50,5.67085735124991,7.25947122173645,1,30.235311343749,8.54585408111842e-34,"Shannon"
"L-BS-2",6.46372128491678,0.397380330414006,50,5.71287193860109,7.31325562661164,1,30.3553783730576,7.08037125610436e-34,"Shannon"
"L-control-0",6.82245869914944,0.419434993032628,50,6.02993711155007,7.71914231285153,1,31.2339726413285,1.8235698299548e-34,"Shannon"
"L-RW-0",5.20297938826471,0.319871723626232,50,4.59858240077567,5.88681296874038,1,26.8261195193313,2.40625180936159e-31,"Shannon"
"L-RW-1",6.2052488625616,0.381489815945493,50,5.48442461182343,7.02081187574572,1,29.6915750552036,2.02033945508996e-33,"Shannon"
"L-RW-2",5.99895092378466,0.368806914028573,50,5.30209099106843,6.78739996099633,1,29.1416123988292,4.89387969363192e-33,"Shannon"
"no_plant-Biosolids",5.42531153076176,0.333540385431514,50,4.79508763389646,6.13836648109361,1,27.5067453565484,7.43259561565456e-32,"Shannon"
"no_plant-GH: Soil + BS",4.92796054664763,0.302963958991192,50,4.35551074690855,5.57564808364954,1,25.9427840406553,1.14973541400346e-30,"Shannon"
"no_plant-GH: Soil only",5.24598657389129,0.322515743824681,50,4.63659371548034,5.93547263836479,1,26.9600182351928,1.90581988573572e-31,"Shannon"
"P-BS-0",5.50953102381717,0.338718079286563,50,4.86952388468008,6.2336550392335,1,27.7573071949818,4.85405203354336e-32,"Shannon"
"P-BS-1",5.591518812736,0.34375857116645,50,4.94198767418711,6.3264185777888,1,27.9975770405227,3.23627278674231e-32,"Shannon"
"P-BS-2",6.03813698886539,0.371216017206604,50,5.33672506047149,6.83173629579547,1,29.2475177751569,4.12251922650243e-33,"Shannon"
"P-control-0",4.76143421345807,0.292726158444327,50,4.20832871755083,5.38723500246991,1,25.3836250850797,3.16951835391489e-30,"Shannon"
