"contrast","treat.rn","species","ratio","SE","df","lower.CL","upper.CL","null","t.ratio","p.value","metric","time"
"TP2 / TP1","control-0","L",0.95599203762084,0.0772672291309314,36,0.811456386848655,1.12627220736252,1,-0.556834849309638,0.581085776616832,"Shannon","TP1"
"TP2 / TP1","RW-0","L",1.25760686692351,0.101644986693656,36,1.06747031790086,1.48161031291557,1,2.83591781260871,0.00745293975586075,"Shannon","TP1"
"TP2 / TP1","BS-0","L",1.01750392226982,0.0822388739756695,36,0.863668340192675,1.19874051606836,1,0.214694450146713,0.831217117176967,"Shannon","TP1"
"TP2 / TP1","control-0","R",0.955458811350883,0.0772241315791129,36,0.81100377862038,1.12564400346075,1,-0.563737840924693,0.576427723706406,"Shannon","TP1"
"TP2 / TP1","RW-0","R",1.03719478361222,0.0838303708033157,36,0.880382156385754,1.22193869031693,1,0.451842083430338,0.654093432294125,"Shannon","TP1"
"TP2 / TP1","BS-0","R",1.06223568654832,0.085854280112879,36,0.901637145779312,1.25143984923284,1,0.74700243388786,0.45991341359028,"Shannon","TP1"
"TP2 / TP1","control-0","P",1.37489736012157,0.1111248893039,36,1.16702775779236,1.61979244987726,1,3.93915855332085,0.00035992691969517,"Shannon","TP1"
"TP2 / TP1","RW-0","P",1.05794839594311,0.0855077635599078,36,0.897998047118472,1.24638891150164,1,0.696964556690076,0.490301464610498,"Shannon","TP1"
"TP2 / TP1","BS-0","P",1.16590245028162,0.0942330565790277,36,0.989630616671254,1.3735716141695,1,1.899128562596,0.0655840680402565,"Shannon","TP1"
"TP2 / TP1","control-0","L",0.95599203762084,0.0772672291309314,36,0.811456386848655,1.12627220736252,1,-0.556834849309638,0.581085776616832,"Shannon","TP2"
"TP2 / TP1","RW-0","L",1.25760686692351,0.101644986693656,36,1.06747031790086,1.48161031291557,1,2.83591781260871,0.00745293975586075,"Shannon","TP2"
"TP2 / TP1","BS-0","L",1.01750392226982,0.0822388739756695,36,0.863668340192675,1.19874051606836,1,0.214694450146713,0.831217117176967,"Shannon","TP2"
"TP2 / TP1","control-0","R",0.955458811350883,0.0772241315791129,36,0.81100377862038,1.12564400346075,1,-0.563737840924693,0.576427723706406,"Shannon","TP2"
"TP2 / TP1","RW-0","R",1.03719478361222,0.0838303708033157,36,0.880382156385754,1.22193869031693,1,0.451842083430338,0.654093432294125,"Shannon","TP2"
"TP2 / TP1","BS-0","R",1.06223568654832,0.085854280112879,36,0.901637145779312,1.25143984923284,1,0.74700243388786,0.45991341359028,"Shannon","TP2"
"TP2 / TP1","control-0","P",1.37489736012157,0.1111248893039,36,1.16702775779236,1.61979244987726,1,3.93915855332085,0.00035992691969517,"Shannon","TP2"
"TP2 / TP1","RW-0","P",1.05794839594311,0.0855077635599078,36,0.897998047118472,1.24638891150164,1,0.696964556690076,0.490301464610498,"Shannon","TP2"
"TP2 / TP1","BS-0","P",1.16590245028162,0.0942330565790277,36,0.989630616671254,1.3735716141695,1,1.899128562596,0.0655840680402565,"Shannon","TP2"
"TP2 / TP1","control-0","L",0.692469662736055,0.499389539329548,36,0.160398346225598,2.98952105862335,1,-0.509574680800779,0.613459223871579,"InvSimpson.c","TP1"
"TP2 / TP1","RW-0","L",10.2437300675482,7.38748845579252,36,2.37277883846076,44.2240987638203,1,3.22622996116389,0.00267138620427183,"InvSimpson.c","TP1"
"TP2 / TP1","BS-0","L",1.75232670362223,1.26372846691816,36,0.405895478796006,7.56512214754377,1,0.777823689475527,0.441755068020684,"InvSimpson.c","TP1"
"TP2 / TP1","control-0","R",1.20674037648223,0.87026703570049,36,0.279520058606788,5.20972392282226,1,0.260579852163298,0.795901322489123,"InvSimpson.c","TP1"
"TP2 / TP1","RW-0","R",2.83656726384082,2.04565209913995,36,0.657040622227461,12.2459914502941,1,1.44569535786184,0.156912677278935,"InvSimpson.c","TP1"
"TP2 / TP1","BS-0","R",1.89908065524645,1.36956326696824,36,0.439888435324368,8.19868640663832,1,0.889344220747866,0.379722623517158,"InvSimpson.c","TP1"
"TP2 / TP1","control-0","P",9.01535564348224,6.50161955673532,36,2.08824763547995,38.9209766109885,1,3.04910638896944,0.00428676020884531,"InvSimpson.c","TP1"
"TP2 / TP1","RW-0","P",4.94808284511994,3.56841742759604,36,1.14613584977658,21.3617991679982,1,2.21722531271666,0.0330094508514889,"InvSimpson.c","TP1"
"TP2 / TP1","BS-0","P",4.35367111527535,3.13974449661694,36,1.00845088886803,18.7956125471404,1,2.03976303868703,0.0487640273690893,"InvSimpson.c","TP1"
"TP2 / TP1","control-0","L",0.692469662736055,0.499389539329548,36,0.160398346225598,2.98952105862335,1,-0.509574680800779,0.613459223871579,"InvSimpson.c","TP2"
"TP2 / TP1","RW-0","L",10.2437300675482,7.38748845579252,36,2.37277883846076,44.2240987638203,1,3.22622996116389,0.00267138620427183,"InvSimpson.c","TP2"
"TP2 / TP1","BS-0","L",1.75232670362223,1.26372846691816,36,0.405895478796006,7.56512214754377,1,0.777823689475527,0.441755068020684,"InvSimpson.c","TP2"
"TP2 / TP1","control-0","R",1.20674037648223,0.87026703570049,36,0.279520058606788,5.20972392282226,1,0.260579852163298,0.795901322489123,"InvSimpson.c","TP2"
"TP2 / TP1","RW-0","R",2.83656726384082,2.04565209913995,36,0.657040622227461,12.2459914502941,1,1.44569535786184,0.156912677278935,"InvSimpson.c","TP2"
