"timepoint","treat.rn","species","response","SE","df","lower.CL","upper.CL","null","t.ratio","p.value","metric","time"
"TP1","control-0","L",6.821997637924,0.389885990376269,36,6.07537758937904,7.66037190070311,1,33.5977055753141,8.87376815288919e-29,"Shannon","TP1"
"TP2","control-0","L",6.52177542252352,0.372727902379629,36,5.80801260098646,7.3232545422866,1,32.8102221794184,2.03003907892422e-28,"Shannon","TP1"
"TP1","RW-0","L",5.21564101540183,0.298080631314298,36,4.64482549261936,5.85660564530731,1,28.8998182306805,1.66254573441124e-26,"Shannon","TP1"
"TP2","RW-0","L",6.55922595637726,0.374868248837757,36,5.84136443517949,7.36530747640148,1,32.9104116630472,1.82529397983313e-28,"Shannon","TP1"
"TP1","BS-0","L",6.47599512411942,0.370111499101536,36,5.76724263686141,7.27184817568936,1,32.6869640764539,2.31466719150618e-28,"Shannon","TP1"
"TP2","BS-0","L",6.58935043939175,0.376589902012977,36,5.86819200368823,7.39913404091458,1,32.9905878796176,1.67679133054412e-28,"Shannon","TP1"
"TP1","control-0","R",6.33238314448217,0.361903888679701,36,5.63934798650207,7.11058732046686,1,32.2945734228393,3.52570632476916e-28,"Shannon","TP1"
"TP2","control-0","R",6.0503312722453,0.345784259301169,36,5.38816472397726,6.79387330921992,1,31.4973277225807,8.4148739586206e-28,"Shannon","TP1"
"TP1","RW-0","R",6.21077522295175,0.354953838644515,36,5.5310492035987,6.9740346632487,1,31.9552822989968,5.09277209136598e-28,"Shannon","TP1"
"TP2","RW-0","R",6.4417836634336,0.368156269865226,36,5.7367753818751,7.23343237345237,1,32.5942835014349,2.55545922985802e-28,"Shannon","TP1"
"TP1","BS-0","R",6.02177668153444,0.344152327502013,36,5.36273523401171,6.76180956544177,1,31.4145530313707,9.22110403023758e-28,"Shannon","TP1"
"TP2","BS-0","R",6.39654608755043,0.365570883881305,36,5.69648874307731,7.18263542605607,1,32.4709740045006,2.9162931130824e-28,"Shannon","TP1"
"TP1","control-0","P",4.76496067122638,0.272323666615988,36,4.24346896799142,5.35053994022281,1,27.3185291760662,1.15653355389757e-25,"Shannon","TP1"
"TP2","control-0","P",6.55133184795226,0.374417090328948,36,5.83433428184921,7.35644323903736,1,32.8893406265105,1.86651851077931e-28,"Shannon","TP1"
"TP1","RW-0","P",5.90707466227641,0.337596958715608,36,5.26058655055528,6.63301149603266,1,31.078049402204,1.34069188452982e-27,"Shannon","TP1"
"TP2","RW-0","P",6.2493801636715,0.357160160948449,36,5.56542910287984,7.01738387249994,1,32.0637061307685,4.5263317466688e-28,"Shannon","TP1"
"TP1","BS-0","P",5.51318520118616,0.315085666453906,36,4.9098055430543,6.19071586360013,1,29.8705842537292,5.30106407480409e-27,"Shannon","TP1"
"TP2","BS-0","P",6.42783613491934,0.367359150567228,36,5.72435431305331,7.21777079436871,1,32.5563576236426,2.66127647683009e-28,"Shannon","TP1"
"TP1","control-0","L",6.821997637924,0.389885990376269,36,6.07537758937904,7.66037190070311,1,33.5977055753141,8.87376815288919e-29,"Shannon","TP2"
