"Sample_ID","n_seqs","NAME","ID","Source","Spiking_level","Treatment","Sampling_date","Sample_type","Species","Sample ID","Study ID","date sample was taken YYYY-MM-DD","Study Name","Sample Type","Date Received YYYY-MM-DD","Illumina Plate Number","GPrep Plate #:","Notebook Reference","pot_ID","type","treat","treat.rn","timepoint","species","species_tp","resp_norm_plant_height4","resp_norm_chlorophyll_content4_mean","resp_norm_leaf_number2","resp_norm_wet_shoot_weight","resp_norm_dry_shoot_weight","resp_norm_wet_root_weight","resp_norm_dry_root_weight","resp_norm_dry_total_weight","resp_norm_shoot_root_ratio","resp_norm_shoot_moisture","response_plant_height4","response_chlorophyll_content4_mean","response_leaf_number2","response_wet_shoot_weight","response_dry_shoot_weight","response_wet_root_weight","response_dry_root_weight","response_dry_total_weight","response_shoot_root_ratio","response_shoot_moisture"
"RD1",51255,"RD1",1385141,NA,NA,NA,"2024-09-01","Soil",NA,"S1","RD1","2024-09-01","Fate of Contaminants","Soil","2024-12-09","LR527","535","MF Notebook # 13 p.80","S1","Soil","GH: Soil only","GH: Soil only","other","no_plant","no_plant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD10",21288,"RD10",1385150,"BS","SL1","SL1-BS","2024-08-26","Soil","P","37-SL1-BS-P","RD10","2024-08-26","Fate of Contaminants","Soil","2024-12-09","LR527","535","MF Notebook # 13 p.80","37-SL1-BS-P","Soil","SL1-BS","BS-1","TP2","P","P_TP2",-0.284809671428104,-0.181516511287054,0.105287910258392,-0.00828800776646928,-0.150694501912527,0.28071413908887,-0.0439844524630784,-0.129102537417648,-0.131260259398063,0.15622586770237,11.9494400512588,0.633520387022886,9.65489384605631,1145.75312688837,119.799224634824,457.300843001953,48.1867723095609,168.11793059001,2.48614337281632,8.55161145908297
"RD100",53667,"RD100",1385240,"BS","US","US-BS","2024-07-11","Soil","R","31-US-BS-R","RD100","2024-07-11","Fate of Contaminants","Soil","2024-12-09","LR527","543","MF Notebook # 13 p.80","31-US-BS-R","Soil","US-BS","BS-0","TP1","R","R_TP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD101",44430,"RD101",1385241,"BS","US","US-BS","2024-07-11","Soil","R","32-US-BS-R","RD101","2024-07-11","Fate of Contaminants","Soil","2024-12-09","LR527","543","MF Notebook # 13 p.80","32-US-BS-R","Soil","US-BS","BS-0","TP1","R","R_TP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD102",55008,"RD102",1385242,"BS","US","US-BS","2024-07-11","Soil","R","33-US-BS-R","RD102","2024-07-11","Fate of Contaminants","Soil","2024-12-09","LR527","543","MF Notebook # 13 p.80","33-US-BS-R","Soil","US-BS","BS-0","TP1","R","R_TP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD103",62621,"RD103",1385243,"BS","SL1","SL1-BS","2024-07-11","Soil","R","40-SL1-BS-R","RD103","2024-07-11","Fate of Contaminants","Soil","2024-12-09","LR527","543","MF Notebook # 13 p.80","40-SL1-BS-R","Soil","SL1-BS","BS-1","TP1","R","R_TP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD104",62110,"RD104",1385244,"BS","SL1","SL1-BS","2024-07-11","Soil","R","41-SL1-BS-R","RD104","2024-07-11","Fate of Contaminants","Soil","2024-12-09","LR527","543","MF Notebook # 13 p.80","41-SL1-BS-R","Soil","SL1-BS","BS-1","TP1","R","R_TP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD105",117702,"RD105",1385245,"BS","SL1","SL1-BS","2024-07-11","Soil","R","42-SL1-BS-R","RD105","2024-07-11","Fate of Contaminants","Soil","2024-12-09","LR527","543","MF Notebook # 13 p.80","42-SL1-BS-R","Soil","SL1-BS","BS-1","TP1","R","R_TP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD106",34685,"RD106",1385246,"BS","SL2","SL2-BS","2024-07-11","Soil","R","49-SL2-BS-R","RD106","2024-07-11","Fate of Contaminants","Soil","2024-12-09","LR527","543","MF Notebook # 13 p.80","49-SL2-BS-R","Soil","SL2-BS","BS-2","TP1","R","R_TP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD107",66278,"RD107",1385247,"BS","SL2","SL2-BS","2024-07-11","Soil","R","50-SL2-BS-R","RD107","2024-07-11","Fate of Contaminants","Soil","2024-12-09","LR527","543","MF Notebook # 13 p.80","50-SL2-BS-R","Soil","SL2-BS","BS-2","TP1","R","R_TP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD108",92543,"RD108",1385248,"BS","SL2","SL2-BS","2024-07-11","Soil","R","51-SL2-BS-R","RD108","2024-07-11","Fate of Contaminants","Soil","2024-12-09","LR527","543","MF Notebook # 13 p.80","51-SL2-BS-R","Soil","SL2-BS","BS-2","TP1","R","R_TP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD109",64871,"RD109",1385249,"C",NA,"C","2024-07-11","Soil","R","58-C-R","RD109","2024-07-11","Fate of Contaminants","Soil","2024-12-09","LR527","543","MF Notebook # 13 p.80","58-C-R","Soil","C","control-0","TP1","R","R_TP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD11",23856,"RD11",1385151,"BS","SL1","SL1-BS","2024-08-26","Soil","P","38-SL1-BS-P","RD11","2024-08-26","Fate of Contaminants","Soil","2024-12-09","LR527","535","MF Notebook # 13 p.80","38-SL1-BS-P","Soil","SL1-BS","BS-1","TP2","P","P_TP2",0.134437030626657,-0.0111506760215907,0.140315258944243,0.0425255156632971,0.0912172360674163,0.335653239163599,0.095130060195029,0.0858875972341332,-0.0284630340762274,-0.0569469210804361,15.979139480908,0.712928246416878,9.89217488649741,1186.8270766616,141.669609449059,475.051090127912,53.0646712628851,195.133805757402,2.66975383202168,7.37694519290761
"RD110",41585,"RD110",1385250,"C",NA,"C","2024-07-11","Soil","R","59-C-R","RD110","2024-07-11","Fate of Contaminants","Soil","2024-12-09","LR527","543","MF Notebook # 13 p.80","59-C-R","Soil","C","control-0","TP1","R","R_TP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD111",92010,"RD111",1385251,"C",NA,"C","2024-07-11","Soil","R","60-C-R","RD111","2024-07-11","Fate of Contaminants","Soil","2024-12-09","LR527","543","MF Notebook # 13 p.80","60-C-R","Soil","C","control-0","TP1","R","R_TP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD112",55885,"RD112",1385252,"RW","US","US-RW","2024-07-11","Soil","L","7-US-RW-L","RD112","2024-07-11","Fate of Contaminants","Soil","2024-12-09","LR527","543","MF Notebook # 13 p.80","7-US-RW-L","Soil","US-RW","RW-0","TP1","L","L_TP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD113",74836,"RD113",1385253,"RW","US","US-RW","2024-07-11","Soil","L","8-US-RW-L","RD113","2024-07-11","Fate of Contaminants","Soil","2024-12-09","LR527","543","MF Notebook # 13 p.80","8-US-RW-L","Soil","US-RW","RW-0","TP1","L","L_TP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD114",51056,"RD114",1385254,"RW","US","US-RW","2024-07-11","Soil","L","9-US-RW-L","RD114","2024-07-11","Fate of Contaminants","Soil","2024-12-09","LR527","543","MF Notebook # 13 p.80","9-US-RW-L","Soil","US-RW","RW-0","TP1","L","L_TP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD115",80885,"RD115",1385255,"RW","SL1","SL1-RW","2024-07-11","Soil","L","16-SL1-RW-L","RD115","2024-07-11","Fate of Contaminants","Soil","2024-12-09","LR527","543","MF Notebook # 13 p.80","16-SL1-RW-L","Soil","SL1-RW","RW-1","TP1","L","L_TP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD116",91139,"RD116",1385256,"RW","SL1","SL1-RW","2024-07-11","Soil","L","17-SL1-RW-L","RD116","2024-07-11","Fate of Contaminants","Soil","2024-12-09","LR527","543","MF Notebook # 13 p.80","17-SL1-RW-L","Soil","SL1-RW","RW-1","TP1","L","L_TP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD117",93286,"RD117",1385257,"RW","SL1","SL1-RW","2024-07-11","Soil","L","18-SL1-RW-L","RD117","2024-07-11","Fate of Contaminants","Soil","2024-12-09","LR527","543","MF Notebook # 13 p.80","18-SL1-RW-L","Soil","SL1-RW","RW-1","TP1","L","L_TP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD118",68016,"RD118",1385258,"RW","SL2","SL2-RW","2024-07-11","Soil","L","25-SL2-RW-L","RD118","2024-07-11","Fate of Contaminants","Soil","2024-12-09","LR527","543","MF Notebook # 13 p.80","25-SL2-RW-L","Soil","SL2-RW","RW-2","TP1","L","L_TP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD119",60188,"RD119",1385259,"RW","SL2","SL2-RW","2024-07-11","Soil","L","26-SL2-RW-L","RD119","2024-07-11","Fate of Contaminants","Soil","2024-12-09","LR527","543","MF Notebook # 13 p.80","26-SL2-RW-L","Soil","SL2-RW","RW-2","TP1","L","L_TP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD12",28489,"RD12",1385152,"BS","SL1","SL1-BS","2024-08-26","Soil","P","39-SL1-BS-P","RD12","2024-08-26","Fate of Contaminants","Soil","2024-12-09","LR527","535","MF Notebook # 13 p.80","39-SL1-BS-P","Soil","SL1-BS","BS-1","TP2","P","P_TP2",-0.0587857030572248,0.00872095739058967,-0.00202145470406371,0.351748241104977,-0.250906660091272,-0.348343927911774,-0.161918369337153,-0.235022018033615,-0.113538500702734,0.657473233857617,13.9761498686368,0.72281603704514,8.96280949311434,1470.52618294927,111.760192635164,295.690011921533,44.4044188443554,156.217288262935,2.51687096788499,12.1042658317373
"RD120",67796,"RD120",1385260,"RW","SL2","SL2-RW","2024-07-11","Soil","L","27-SL2-RW-L","RD120","2024-07-11","Fate of Contaminants","Soil","2024-12-09","LR527","543","MF Notebook # 13 p.80","27-SL2-RW-L","Soil","SL2-RW","RW-2","TP1","L","L_TP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD121",95678,"RD121",1385261,"BS","US","US-BS","2024-07-11","Soil","L","34-US-BS-L","RD121","2024-07-11","Fate of Contaminants","Soil","2024-12-09","LR527","543","MF Notebook # 13 p.80","34-US-BS-L","Soil","US-BS","BS-0","TP1","L","L_TP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD122",66976,"RD122",1385262,"BS","US","US-BS","2024-07-11","Soil","L","35-US-BS-L","RD122","2024-07-11","Fate of Contaminants","Soil","2024-12-09","LR527","543","MF Notebook # 13 p.80","35-US-BS-L","Soil","US-BS","BS-0","TP1","L","L_TP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD123",97286,"RD123",1385263,"BS","US","US-BS","2024-07-11","Soil","L","36-US-BS-L","RD123","2024-07-11","Fate of Contaminants","Soil","2024-12-09","LR527","543","MF Notebook # 13 p.80","36-US-BS-L","Soil","US-BS","BS-0","TP1","L","L_TP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD124",71206,"RD124",1385264,"BS","SL1","SL1-BS","2024-07-11","Soil","L","43-SL1-BS-L","RD124","2024-07-11","Fate of Contaminants","Soil","2024-12-09","LR527","543","MF Notebook # 13 p.80","43-SL1-BS-L","Soil","SL1-BS","BS-1","TP1","L","L_TP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD125",48522,"RD125",1385265,"BS","SL1","SL1-BS","2024-07-11","Soil","L","44-SL1-BS-L","RD125","2024-07-11","Fate of Contaminants","Soil","2024-12-09","LR527","543","MF Notebook # 13 p.80","44-SL1-BS-L","Soil","SL1-BS","BS-1","TP1","L","L_TP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
