"contrast","species","ratio","SE","df","lower.CL","upper.CL","null","t.ratio","p.value","metric","time"
"(RW-0) / (control-0)","L",0.762058666246105,0.0832356794968133,18,0.585403882773268,0.99202179536229,1,-2.48782163966292,0.0431152437670912,"Shannon","TP1"
"(BS-0) / (control-0)","L",0.949256830179697,0.103682355147552,18,0.729207157860439,1.23570993500212,1,-0.476777259052295,0.838501804986727,"Shannon","TP1"
"(RW-0) / (control-0)","R",0.981955606164367,0.10725387130287,18,0.754325946309696,1.27827607839138,1,-0.166712915841554,0.971845144109945,"Shannon","TP1"
"(BS-0) / (control-0)","R",0.949568227773643,0.103716367476882,18,0.729446369575569,1.23611530169356,1,-0.473774370772201,0.84013719095828,"Shannon","TP1"
"(RW-0) / (control-0)","P",1.24000369955205,0.135439113919144,18,0.952555246103002,1.61419422253278,1,1.96946508567359,0.117749203619094,"Shannon","TP1"
"(BS-0) / (control-0)","P",1.15522693466232,0.12617939161207,18,0.887430801577137,1.50383474204136,1,1.32109969368084,0.34186661322548,"Shannon","TP1"
"(RW-0) / (control-0)","L",1.00806326076456,0.0318779778668827,18,0.933959400512483,1.08804680069141,1,0.253958449380882,0.942941262556283,"Shannon","TP2"
"(BS-0) / (control-0)","L",1.01380081660928,0.0320594165576344,18,0.939275182195747,1.09423959584982,1,0.433433115112114,0.86160157271497,"Shannon","TP2"
"(RW-0) / (control-0)","R",1.06641858497786,0.0337233479007786,18,0.988024959431503,1.15103225635163,1,2.03351772049097,0.104628110601432,"Shannon","TP2"
"(BS-0) / (control-0)","R",1.05816405548394,0.0334623149688682,18,0.980377229653314,1.14212278136466,1,1.78779353839116,0.162795909857553,"Shannon","TP2"
"(RW-0) / (control-0)","P",0.954080468695015,0.0301708803882183,18,0.883944943998097,1.02978081036149,1,-1.48648996389164,0.267210403054603,"Shannon","TP2"
"(BS-0) / (control-0)","P",0.980208292466934,0.0309971203875605,18,0.908152082157472,1.05798171418423,1,-0.632140869763648,0.748270329873174,"Shannon","TP2"
"(RW-0) / (control-0)","L",0.108041655296711,0.0932999214247065,18,0.0134298014036931,0.869186291618831,1,-2.57683435988826,0.0359412524829961,"InvSimpson.c","TP1"
"(BS-0) / (control-0)","L",0.697330497506717,0.602183300929199,18,0.0866796243405833,5.60996689189959,1,-0.417455484988432,0.869826031457725,"InvSimpson.c","TP1"
"(RW-0) / (control-0)","R",0.918923574636176,0.793541130718638,18,0.114224102533824,7.39266509686149,1,-0.0979119021458053,0.988450628826218,"InvSimpson.c","TP1"
"(BS-0) / (control-0)","R",1.20054182665831,1.03673400584879,18,0.149229834220605,9.65826093075597,1,0.211651785856334,0.957967226841455,"InvSimpson.c","TP1"
"(RW-0) / (control-0)","P",1.68865623967544,1.45824769198861,18,0.209903466173927,13.5851015124828,1,0.606716460741095,0.763658485742678,"InvSimpson.c","TP1"
"(BS-0) / (control-0)","P",1.80230387143097,1.55638868292193,18,0.224030102056034,14.4993874267958,1,0.68214035386918,0.717525054616564,"InvSimpson.c","TP1"
"(RW-0) / (control-0)","L",1.68712345604193,0.900679871245548,18,0.464887135978252,6.12274536256477,1,0.979712928979767,0.531467882707098,"InvSimpson.c","TP2"
"(BS-0) / (control-0)","L",1.85018752766563,0.987732497127104,18,0.509819466784643,6.71452172887602,1,1.15253506098532,0.430222604007505,"InvSimpson.c","TP2"
"(RW-0) / (control-0)","R",2.22933717056562,1.19014355977163,18,0.614294211038671,8.09049496276739,1,1.50172573699516,0.260960725119939,"InvSimpson.c","TP2"
"(BS-0) / (control-0)","R",1.94903528129045,1.04050289853956,18,0.537056980978376,7.07325044131188,1,1.2500287417016,0.377690072615402,"InvSimpson.c","TP2"
"(RW-0) / (control-0)","P",0.888200093601214,0.474170365588909,18,0.24474367670674,3.22336992272323,1,-0.222079318496967,0.954433730222571,"InvSimpson.c","TP2"
"(BS-0) / (control-0)","P",0.824848438076077,0.440349745801288,18,0.227287117975907,2.99346021831587,1,-0.360688758641656,0.897631044079846,"InvSimpson.c","TP2"
