"Sum Sq","Df","F value","Pr(>F)","metric","term","time","amend"
83.6346636463098,1,6805.85588124073,1.14808779286171e-24,"Shannon","(Intercept)","TP1","RW"
0.0145445886313949,2,0.591790351999421,0.563748610774388,"Shannon","species","TP1","RW"
0.0098126986244676,2,0.39925916918016,0.676612415205826,"Shannon","spikeFac","TP1","RW"
0.082797406020569,4,1.68443079743715,0.197331928629194,"Shannon","species:spikeFac","TP1","RW"
0.221195389955735,18,NA,NA,"Shannon","Residuals","TP1","RW"
93.1262725434085,1,68256.4328261038,1.1414481791532e-33,"Shannon","(Intercept)","TP2","RW"
0.0119967750974429,2,4.39648796845591,0.0278781505810228,"Shannon","species","TP2","RW"
0.000300441167786158,2,0.110103421017056,0.896340086598823,"Shannon","spikeFac","TP2","RW"
0.0144964376339692,4,2.65627275353366,0.0667241980212864,"Shannon","species:spikeFac","TP2","RW"
0.0245584604465337,18,NA,NA,"Shannon","Residuals","TP2","RW"
1.75699812302015,1,1.67883054276064,0.211449908735612,"InvSimpson.c","(Intercept)","TP1","RW"
1.25252793173354,2,0.598401933361361,0.560263327524807,"InvSimpson.c","species","TP1","RW"
1.33065730905746,2,0.635728662177898,0.541030224245411,"InvSimpson.c","spikeFac","TP1","RW"
4.76274296434433,4,1.13771299056873,0.370386369082823,"InvSimpson.c","species:spikeFac","TP1","RW"
18.8380931897733,18,NA,NA,"InvSimpson.c","Residuals","TP1","RW"
35.1620180258113,1,205.882665666571,2.70310789428215e-11,"InvSimpson.c","(Intercept)","TP2","RW"
0.494589263460453,2,1.44797371835365,0.261152352081884,"InvSimpson.c","species","TP2","RW"
0.0106615090797715,2,0.0312129398796226,0.969321497039989,"InvSimpson.c","spikeFac","TP2","RW"
0.956115046763253,4,1.39957492177381,0.274016896911076,"InvSimpson.c","species:spikeFac","TP2","RW"
3.07416033504062,18,NA,NA,"InvSimpson.c","Residuals","TP2","RW"
88.4851477373238,1,11461.4331467606,1.06353124179698e-26,"Shannon","(Intercept)","TP1","BS"
0.0701395047340465,2,4.54256598430857,0.0252856395199909,"Shannon","species","TP1","BS"
0.0100189120135072,2,0.64887211686065,0.534433447989384,"Shannon","spikeFac","TP1","BS"
0.00986056617883646,4,0.319308445931066,0.861322703394564,"Shannon","species:spikeFac","TP1","BS"
0.138964529032043,18,NA,NA,"Shannon","Residuals","TP1","BS"
92.8463126332233,1,113252.817501487,1.1986608554005e-35,"Shannon","(Intercept)","TP2","BS"
0.00972479087392557,2,5.93109157945556,0.0105040928523615,"Shannon","species","TP2","BS"
0.00263304544927559,2,1.60587861425325,0.228172192055867,"Shannon","spikeFac","TP2","BS"
0.00267039287596574,4,0.814328292803953,0.532462081980344,"Shannon","species:spikeFac","TP2","BS"
0.0147566626973857,18,NA,NA,"Shannon","Residuals","TP2","BS"
2.89310906763052,1,4.89306345575462,0.0401341169118745,"InvSimpson.c","(Intercept)","TP1","BS"
3.82339210907375,2,3.23321723595638,0.063141717872781,"InvSimpson.c","species","TP1","BS"
0.932017775177393,2,0.788152470098414,0.469760020980756,"InvSimpson.c","spikeFac","TP1","BS"
0.612389846794811,4,0.258930989981738,0.900373106893544,"InvSimpson.c","species:spikeFac","TP1","BS"
10.6428137889984,18,NA,NA,"InvSimpson.c","Residuals","TP1","BS"
32.8210244932191,1,716.492731111998,5.97976213453219e-16,"InvSimpson.c","(Intercept)","TP2","BS"
0.434211241080861,2,4.73948029967547,0.0222049517400169,"InvSimpson.c","species","TP2","BS"
0.051310464800651,2,0.560061357427156,0.580813187123599,"InvSimpson.c","spikeFac","TP2","BS"
0.178604299554844,4,0.974746251467823,0.445666713283994,"InvSimpson.c","species:spikeFac","TP2","BS"
0.824542127539878,18,NA,NA,"InvSimpson.c","Residuals","TP2","BS"
