"contrast","species","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value","metric","time","amend"
"linear","L",0.137054720453918,0.09071319898557,18,-0.0535266386356367,0.327636079543473,1.51085753767453,0.148181130062638,"Shannon","TP1","RW"
"quadratic","L",-0.219458413482811,0.157119869560113,18,-0.549555010401448,0.110638183435827,-1.39675786453506,0.179471335497025,"Shannon","TP1","RW"
"linear","R",-0.0256147358851184,0.09071319898557,18,-0.216196094974673,0.164966623204437,-0.282370549948228,0.780880604586695,"Shannon","TP1","RW"
"quadratic","R",0.144833409813668,0.157119869560113,18,-0.18526318710497,0.474930006732306,0.921801998812482,0.36882285925637,"Shannon","TP1","RW"
"linear","P",-0.00592501181728414,0.09071319898557,18,-0.196506370906839,0.184656347272271,-0.0653158733628902,0.948642462261349,"Shannon","TP1","RW"
"quadratic","P",0.231452751829555,0.157119869560113,18,-0.0986438450890827,0.561549348748193,1.47309663938464,0.157997028160714,"Shannon","TP1","RW"
"linear","L",-0.00521724777464802,0.0293492252394943,18,-0.0668776819443001,0.0564431863950041,-0.177764412248516,0.860893199394057,"Shannon","TP2","RW"
"quadratic","L",-0.0556878655082317,0.0508343492775869,18,-0.162486870306825,0.0511111392903618,-1.09547709963083,0.287749435507552,"Shannon","TP2","RW"
"linear","R",-0.0413306199919171,0.0293492252394943,18,-0.102991054161569,0.020329814177735,-1.40823546974929,0.176099373584927,"Shannon","TP2","RW"
"quadratic","R",-0.00791113434732466,0.0508343492775869,18,-0.114710139145918,0.0988878704512688,-0.155625762102805,0.878059991413404,"Shannon","TP2","RW"
"linear","P",0.0521449774076464,0.0293492252394943,18,-0.00951545676200572,0.113805411577298,1.77670711857418,0.0925204752459113,"Shannon","TP2","RW"
"quadratic","P",0.111565008758165,0.050834349277587,18,0.00476600395957109,0.218364013556758,2.1946776214042,0.0415467232338187,"Shannon","TP2","RW"
"linear","L",1.49602481917183,0.839466135001907,18,-0.267628085889635,3.2596777242333,1.78211455685277,0.0916076973775832,"InvSimpson.c","TP1","RW"
"quadratic","L",-1.43304587861738,1.45399799705678,18,-4.48778231710029,1.62169055986552,-0.985589994978119,0.337398134623661,"InvSimpson.c","TP1","RW"
"linear","R",-0.23843892031381,0.839466135001907,18,-2.00209182537527,1.52521398474766,-0.284036377850154,0.779624000344552,"InvSimpson.c","TP1","RW"
"quadratic","R",0.542158088607365,1.45399799705678,18,-2.51257834987554,3.59689452709027,0.372874027134024,0.71359676052078,"InvSimpson.c","TP1","RW"
"linear","P",0.275412305568066,0.839466135001907,18,-1.4882405994934,2.03906521062953,0.328080304951718,0.746636488667837,"InvSimpson.c","TP1","RW"
"quadratic","P",1.54790209322015,1.45399799705678,18,-1.50683434526276,4.60263853170306,1.06458337381032,0.301137748911702,"InvSimpson.c","TP1","RW"
"linear","L",0.0985649409591255,0.328341285959538,18,-0.591254503434353,0.788384385352604,0.300190518749664,0.767471146860486,"InvSimpson.c","TP2","RW"
"quadratic","L",-0.520215885278531,0.568703789504422,18,-1.71501821101697,0.674586440459908,-0.914739614680353,0.372420165885809,"InvSimpson.c","TP2","RW"
"linear","R",-0.484344579424086,0.328341285959538,18,-1.17416402381757,0.205474864969392,-1.47512542630345,0.157456378064507,"InvSimpson.c","TP2","RW"
"quadratic","R",0.0357584940935161,0.568703789504422,18,-1.15904383164492,1.23056081983196,0.0628771862495881,0.950557272233111,"InvSimpson.c","TP2","RW"
"linear","P",0.298795359599607,0.328341285959538,18,-0.391024084793872,0.988614803993086,0.910014586579977,0.37484004449251,"InvSimpson.c","TP2","RW"
"quadratic","P",0.812516217032504,0.568703789504422,18,-0.382286108705935,2.00731854277094,1.42871602410201,0.170209920543308,"InvSimpson.c","TP2","RW"
"linear","L",-0.00240908438215596,0.0706880081554687,18,-0.150919078696718,0.146100909932407,-0.0340805243352947,0.973188024094708,"Shannon","TP1","BS"
"quadratic","L",0.0132399513803968,0.122435221611115,18,-0.243986904204191,0.270466806964984,0.10813841969797,0.915082196078328,"Shannon","TP1","BS"
"linear","R",0.0482963060498432,0.0706880081554687,18,-0.100213688264719,0.196806300364406,0.683231955604436,0.503160582841087,"Shannon","TP1","BS"
