"spikeFac","species","emmean","SE","df","lower.CL","upper.CL","t.ratio","p.value","metric","time","amend"
"US","L",1.64819165062972,0.0641439181458212,18,1.51343027924974,1.78295302200969,25.6952131748923,1.22603984338572e-15,"Shannon","TP1","RW"
"SL1","L",1.82644821759808,0.0641439181458212,18,1.69168684621811,1.96120958897805,28.474222816354,2.01397925598303e-16,"Shannon","TP1","RW"
"SL2","L",1.78524637108364,0.0641439181458212,18,1.65048499970366,1.92000774246361,27.8318883954852,3.01062576846037e-16,"Shannon","TP1","RW"
"US","R",1.8274382830841,0.0641439181458212,18,1.69267691170413,1.96219965446408,28.4896578804199,1.99483039068148e-16,"Shannon","TP1","RW"
"SL1","R",1.74221421023471,0.0641439181458212,18,1.60745283885474,1.87697558161468,27.16101947926,4.62573286043526e-16,"Shannon","TP1","RW"
"SL2","R",1.80182354719898,0.0641439181458212,18,1.66706217581901,1.93658491857896,28.0903256190684,2.55827935953891e-16,"Shannon","TP1","RW"
"US","P",1.77706596518127,0.0641439181458212,18,1.6423045938013,1.91182733656124,27.7043563372818,3.26423639664013e-16,"Shannon","TP1","RW"
"SL1","P",1.65837708335785,0.0641439181458212,18,1.52361571197788,1.79313845473782,25.8540034861573,1.10040182697864e-15,"Shannon","TP1","RW"
"SL2","P",1.77114095336398,0.0641439181458212,18,1.63637958198401,1.90590232474396,27.6119857433338,3.46193562044134e-16,"Shannon","TP1","RW"
"US","L",1.88104125795465,0.0207530361894178,18,1.83744074682238,1.92464176908692,90.639328182438,2.11787652167304e-25,"Shannon","TP2","RW"
"SL1","L",1.90627656682144,0.0207530361894178,18,1.86267605568918,1.94987707795371,91.8553097205833,1.66700754330684e-25,"Shannon","TP2","RW"
"SL2","L",1.87582401018,0.0207530361894178,18,1.83222349904774,1.91942452131227,90.3879313397289,2.2262173942952e-25,"Shannon","TP2","RW"
"US","R",1.8638723585552,0.0207530361894178,18,1.82027184742294,1.90747286968747,89.8120323958002,2.49706104339267e-25,"Shannon","TP2","RW"
"SL1","R",1.84716261573291,0.0207530361894178,18,1.80356210460064,1.89076312686517,89.0068613996249,2.93546950878261e-25,"Shannon","TP2","RW"
"SL2","R",1.82254173856329,0.0207530361894178,18,1.77894122743102,1.86614224969555,87.8204866954659,3.73547871612302e-25,"Shannon","TP2","RW"
"US","P",1.83248601209522,0.0207530361894178,18,1.78888550096295,1.87608652322748,88.2996586798043,3.38768107816759e-25,"Shannon","TP2","RW"
"SL1","P",1.80277599641996,0.0207530361894178,18,1.75917548528769,1.84637650755222,86.8680601703578,4.54358364565622e-25,"Shannon","TP2","RW"
"SL2","P",1.88463098950286,0.0207530361894178,18,1.84103047837059,1.92823150063513,90.8123019832567,2.04657379737877e-25,"Shannon","TP2","RW"
"US","L",-1.16986322554193,0.59359219663631,18,-2.41695415437025,0.0772277032863879,-1.97081975162604,0.0643211575968965,"InvSimpson.c","TP1","RW"
"SL1","L",0.294672123352679,0.59359219663631,18,-0.952418805475638,1.541763052181,0.496421828020125,0.625604566349524,"InvSimpson.c","TP1","RW"
"SL2","L",0.326161593629901,0.59359219663631,18,-0.920929335198415,1.57325252245822,0.549470824377663,0.589435227646134,"InvSimpson.c","TP1","RW"
"US","R",0.16035618755963,0.59359219663631,18,-1.08673474126869,1.40744711638795,0.270145376688433,0.790121364098901,"InvSimpson.c","TP1","RW"
"SL1","R",-0.229942316900957,0.59359219663631,18,-1.47703324572927,1.01714861192736,-0.387374224600599,0.70302141857221,"InvSimpson.c","TP1","RW"
"SL2","R",-0.0780827327541792,0.59359219663631,18,-1.3251736615825,1.16900819607414,-0.131542721074583,0.896805144950778,"InvSimpson.c","TP1","RW"
"US","P",-0.431215509175264,0.59359219663631,18,-1.67830643800358,0.815875419653053,-0.726450771453565,0.476903903360017,"InvSimpson.c","TP1","RW"
"SL1","P",-1.06746040300131,0.59359219663631,18,-2.31455133182962,0.179630525827009,-1.7983059902914,0.0889213657264013,"InvSimpson.c","TP1","RW"
"SL2","P",-0.155803203607198,0.59359219663631,18,-1.40289413243551,1.09128772522112,-0.262475154643344,0.795935621140671,"InvSimpson.c","TP1","RW"
"US","L",1.18810483662504,0.232172349845501,18,0.700328829700079,1.67588084355001,5.11733993051141,7.206901838269e-05,"InvSimpson.c","TP2","RW"
"SL1","L",1.49749524974387,0.232172349845501,18,1.00971924281891,1.98527125666884,6.44992933370568,4.54467599372754e-06,"InvSimpson.c","TP2","RW"
"SL2","L",1.28666977758417,0.232172349845501,18,0.798893770659205,1.77444578450914,5.541873433423,2.91848205373654e-05,"InvSimpson.c","TP2","RW"
"US","R",1.21401873576932,0.232172349845501,18,0.726242728844356,1.70179474269429,5.22895485434502,5.67144437358717e-05,"InvSimpson.c","TP2","RW"
"SL1","R",0.95396719901052,0.232172349845501,18,0.466191192085555,1.44174320593549,4.10887515091844,0.000659078475451756,"InvSimpson.c","TP2","RW"
"SL2","R",0.729674156345235,0.232172349845501,18,0.24189814942027,1.2174501632702,3.14281247026529,0.00562631110784899,"InvSimpson.c","TP2","RW"
"US","P",1.13627379470697,0.232172349845501,18,0.648497787782006,1.62404980163194,4.89409611206117,0.000116819747434778,"InvSimpson.c","TP2","RW"
