"","Estimate","Std. Error","t value","Pr(>|t|)","metric","trait"
"(Intercept)...1",1.71084839122832,0.0360093015112764,47.5112906783979,3.25788252326967e-21,"Shannon_TP1","resp_norm_plant_height4"
"trait...2",-0.0173527808317275,0.0914888424235466,-0.189671006562669,0.851578546551805,"Shannon_TP1","resp_norm_plant_height4"
"(Intercept)...3",1.72328184648054,0.0357683893968526,48.1789053278475,2.5043573992509e-21,"Shannon_TP1","resp_norm_chlorophyll_content4_mean"
"trait...4",0.486380315764046,0.630116706491768,0.771889255995152,0.449674811950448,"Shannon_TP1","resp_norm_chlorophyll_content4_mean"
"(Intercept)...5",1.69743031688712,0.0379022724282144,44.784394394874,9.9209700000994e-21,"Shannon_TP1","resp_norm_leaf_number2"
"trait...6",-0.0954180771317594,0.110792695962079,-0.861230754457117,0.399849532579779,"Shannon_TP1","resp_norm_leaf_number2"
"(Intercept)...7",1.71183738559906,0.0364903417515778,46.9120677809228,4.13832946709695e-21,"Shannon_TP1","resp_norm_wet_shoot_weight"
"trait...8",-0.0074643333067147,0.0746476260338566,-0.0999942490244665,0.921396454661388,"Shannon_TP1","resp_norm_wet_shoot_weight"
"(Intercept)...9",1.70935928344105,0.0372274034252532,45.9166937837384,6.19892891769431e-21,"Shannon_TP1","resp_norm_dry_shoot_weight"
"trait...10",-0.0173270438899898,0.0705314703544762,-0.245664010730356,0.808576463421915,"Shannon_TP1","resp_norm_dry_shoot_weight"
"(Intercept)...11",1.71725596485881,0.0352887047363613,48.6630489185783,2.07406632544331e-21,"Shannon_TP1","resp_norm_wet_root_weight"
"trait...12",0.0143936936835961,0.0373543687101472,0.385328254247435,0.704274177171641,"Shannon_TP1","resp_norm_wet_root_weight"
"(Intercept)...13",1.71229195557866,0.0348074232648525,49.1932982958749,1.69070335075825e-21,"Shannon_TP1","resp_norm_dry_root_weight"
"trait...14",-0.00898117327887082,0.0809713497169854,-0.110917914920058,0.912844739854958,"Shannon_TP1","resp_norm_dry_root_weight"
"(Intercept)...15",1.71141902134462,0.0365610739372775,46.8098673545709,4.31195464464863e-21,"Shannon_TP1","resp_norm_dry_total_weight"
"trait...16",-0.0106567066428945,0.0828672517678328,-0.128599735306187,0.899025874942534,"Shannon_TP1","resp_norm_dry_total_weight"
"(Intercept)...17",1.71117261585159,0.0358039376266937,47.792861044865,2.91449249205317e-21,"Shannon_TP1","resp_norm_shoot_root_ratio"
"trait...18",-0.0140856964867137,0.0817757906117154,-0.172247756718059,0.865064241264328,"Shannon_TP1","resp_norm_shoot_root_ratio"
"(Intercept)...19",1.71059229902233,0.0343125460960643,49.8532605022433,1.31494537909898e-21,"Shannon_TP1","resp_norm_shoot_moisture"
"trait...20",0.0679158737912463,0.170139855008616,0.399176746611233,0.694214124241215,"Shannon_TP1","resp_norm_shoot_moisture"
"(Intercept)...21",1.8520033219292,0.00893182703648178,207.34876687208,2.4319067670843e-33,"Shannon_TP2","resp_norm_plant_height4"
"trait...22",0.0233920468561143,0.0226930954503285,1.03080017916972,0.315578467994932,"Shannon_TP2","resp_norm_plant_height4"
"(Intercept)...23",1.84867544861454,0.00924941319334474,199.869484687388,4.88606126438032e-33,"Shannon_TP2","resp_norm_chlorophyll_content4_mean"
"trait...24",-0.00700900129311951,0.16294303088986,-0.0430150418513891,0.966138383677096,"Shannon_TP2","resp_norm_chlorophyll_content4_mean"
"(Intercept)...25",1.85188475255799,0.00973004344118345,190.326462954902,1.23727403407943e-32,"Shannon_TP2","resp_norm_leaf_number2"
"trait...26",0.0185293103789388,0.028442034622557,0.651476261274342,0.522541740705448,"Shannon_TP2","resp_norm_leaf_number2"
"(Intercept)...27",1.85224725788575,0.00905625470986736,204.526851024586,3.1547872075431e-33,"Shannon_TP2","resp_norm_wet_shoot_weight"
"trait...28",0.0186423004595563,0.0185262149489269,1.00626601337345,0.326931747542199,"Shannon_TP2","resp_norm_wet_shoot_weight"
"(Intercept)...29",1.85172986522528,0.00936143070774375,197.80415227488,5.95155405582587e-33,"Shannon_TP2","resp_norm_dry_shoot_weight"
"trait...30",0.013092809866593,0.0177362752082465,0.738193883037261,0.469417182167695,"Shannon_TP2","resp_norm_dry_shoot_weight"
"(Intercept)...31",1.84957619579753,0.00900222518056709,205.457668376278,2.89412812538957e-33,"Shannon_TP2","resp_norm_wet_root_weight"
"trait...32",0.00268768189477723,0.00952918054428282,0.282047536227,0.780956340040167,"Shannon_TP2","resp_norm_wet_root_weight"
"(Intercept)...33",1.84852201745713,0.00886163578858669,208.598283833548,2.1696588055236e-33,"Shannon_TP2","resp_norm_dry_root_weight"
"trait...34",-0.0029228647475192,0.0206145282585958,-0.14178664245205,0.888741159565859,"Shannon_TP2","resp_norm_dry_root_weight"
"(Intercept)...35",1.85083049452401,0.00923501007762715,200.414561431595,4.63976769232452e-33,"Shannon_TP2","resp_norm_dry_total_weight"
"trait...36",0.0119632420872496,0.0209315488514939,0.571541177966664,0.574332573798071,"Shannon_TP2","resp_norm_dry_total_weight"
"(Intercept)...37",1.85179296996784,0.00888764230285708,208.355929150361,2.21809393127522e-33,"Shannon_TP2","resp_norm_shoot_root_ratio"
"trait...38",0.0205557768670977,0.0202992750006469,1.0126360112094,0.323956783274267,"Shannon_TP2","resp_norm_shoot_root_ratio"
"(Intercept)...39",1.84787552970213,0.00870031575539707,212.391777684142,1.54077687542172e-33,"Shannon_TP2","resp_norm_shoot_moisture"
"trait...40",0.0245251618154018,0.0431407933706856,0.568491209808551,0.57635970936453,"Shannon_TP2","resp_norm_shoot_moisture"
"(Intercept)...41",4.16619032601079,0.244178705282465,17.0620542900797,5.59693632848532e-13,"InvSimpson_TP1","resp_norm_plant_height4"
"trait...42",0.149084642042617,0.620384904821811,0.240309912255904,0.812663789862083,"InvSimpson_TP1","resp_norm_plant_height4"
"(Intercept)...43",4.27272824028907,0.233199431490433,18.3222069324143,1.55626205607752e-13,"InvSimpson_TP1","resp_norm_chlorophyll_content4_mean"
"trait...44",6.12403220642586,4.10817652693734,1.49069353915796,0.152457387406815,"InvSimpson_TP1","resp_norm_chlorophyll_content4_mean"
"(Intercept)...45",4.06128383566087,0.259038497641115,15.6783021544835,2.52190725216842e-12,"InvSimpson_TP1","resp_norm_leaf_number2"
"trait...46",-0.511719475460993,0.757199283129576,-0.675805546653463,0.50730711254712,"InvSimpson_TP1","resp_norm_leaf_number2"
"(Intercept)...47",4.17105788445548,0.247171332234075,16.8751685187561,6.81509058128012e-13,"InvSimpson_TP1","resp_norm_wet_shoot_weight"
"trait...48",0.136836357106166,0.505633882535551,0.270623393392838,0.789598658708416,"InvSimpson_TP1","resp_norm_wet_shoot_weight"
"(Intercept)...49",4.15094066547613,0.252968923459776,16.4088956410338,1.1233984340057e-12,"InvSimpson_TP1","resp_norm_dry_shoot_weight"
"trait...50",0.0226585603765572,0.479277856738824,0.0472764599031011,0.962786289270138,"InvSimpson_TP1","resp_norm_dry_shoot_weight"
"(Intercept)...51",4.17496924913911,0.239316336422913,17.4454001408463,3.75913783910637e-13,"InvSimpson_TP1","resp_norm_wet_root_weight"
"trait...52",0.103379253384692,0.253324987014667,0.408089445115443,0.687770124661278,"InvSimpson_TP1","resp_norm_wet_root_weight"
"(Intercept)...53",4.13222765838054,0.235870829227706,17.5190279862515,3.48556793278901e-13,"InvSimpson_TP1","resp_norm_dry_root_weight"
"trait...54",-0.133898701848351,0.548698455961758,-0.244029667649881,0.80982353079364,"InvSimpson_TP1","resp_norm_dry_root_weight"
"(Intercept)...55",4.15387056072003,0.248123556428973,16.7411374417773,7.8581709142646e-13,"InvSimpson_TP1","resp_norm_dry_total_weight"
"trait...56",0.0474072608612607,0.562382747711511,0.0842971464792862,0.933702054079125,"InvSimpson_TP1","resp_norm_dry_total_weight"
"(Intercept)...57",4.17006961132293,0.242534410617517,17.1937235656809,4.8774445607768e-13,"InvSimpson_TP1","resp_norm_shoot_root_ratio"
"trait...58",0.167107194959609,0.553945864434951,0.301667014212779,0.766182873614757,"InvSimpson_TP1","resp_norm_shoot_root_ratio"
"(Intercept)...59",4.12115010511914,0.231883000203537,17.7725408999443,2.69288706784379e-13,"InvSimpson_TP1","resp_norm_shoot_moisture"
"trait...60",0.642428608476306,1.14979925777405,0.558731103827648,0.582871089762503,"InvSimpson_TP1","resp_norm_shoot_moisture"
"(Intercept)...61",5.73138273260917,0.0708728866191815,80.8684816720586,1.39895806190314e-25,"InvSimpson_TP2","resp_norm_plant_height4"
"trait...62",0.0338679419782336,0.180066762860526,0.188085471411882,0.852803888543712,"InvSimpson_TP2","resp_norm_plant_height4"
"(Intercept)...63",5.72240691000345,0.0714401046032102,80.1007633147602,1.67608296332544e-25,"InvSimpson_TP2","resp_norm_chlorophyll_content4_mean"
"trait...64",-0.210910908271326,1.25853034433704,-0.167585079867445,0.868680578000124,"InvSimpson_TP2","resp_norm_chlorophyll_content4_mean"
"(Intercept)...65",5.72502003792208,0.0760349863451465,75.2945494319473,5.41198545019434e-25,"InvSimpson_TP2","resp_norm_leaf_number2"
"trait...66",-0.0106103925563796,0.222258998865402,-0.0477388659651307,0.96242259543096,"InvSimpson_TP2","resp_norm_leaf_number2"
"(Intercept)...67",5.73655577264615,0.0715891281275933,80.1316613665401,1.66388038537876e-25,"InvSimpson_TP2","resp_norm_wet_shoot_weight"
"trait...68",0.0532128920004133,0.146448572637097,0.363355484059761,0.720350703130523,"InvSimpson_TP2","resp_norm_wet_shoot_weight"
"(Intercept)...69",5.72813213247188,0.073381724898434,78.0593825015705,2.73338081816709e-25,"InvSimpson_TP2","resp_norm_dry_shoot_weight"
"trait...70",0.00610915506622752,0.139029867195177,0.043941314118147,0.965409707003483,"InvSimpson_TP2","resp_norm_dry_shoot_weight"
"(Intercept)...71",5.73644270045784,0.0693248754796529,82.7472485275723,9.05325147498131e-26,"InvSimpson_TP2","resp_norm_wet_root_weight"
"trait...72",0.0343894833025037,0.0733828849428895,0.468630843953156,0.644665447959783,"InvSimpson_TP2","resp_norm_wet_root_weight"
"(Intercept)...73",5.7283479864945,0.0685116336058009,83.6113180347444,7.43548871761247e-26,"InvSimpson_TP2","resp_norm_dry_root_weight"
"trait...74",0.0154016463484067,0.159376331944081,0.0966369733858005,0.924026760396632,"InvSimpson_TP2","resp_norm_dry_root_weight"
"(Intercept)...75",5.72968346345708,0.0719677195857505,79.6146313435718,1.8809833851322e-25,"InvSimpson_TP2","resp_norm_dry_total_weight"
"trait...76",0.0173137023171165,0.163117942003026,0.106142231225522,0.916582159846979,"InvSimpson_TP2","resp_norm_dry_total_weight"
"(Intercept)...77",5.72568661734732,0.0705185318295483,81.1940701089324,1.29640401038213e-25,"InvSimpson_TP2","resp_norm_shoot_root_ratio"
