"","x"
"RD21",12162
"RD20",13136
"RD46",15241
"RD63",15379
"RD18",16373
"RD16",16706
"RD22",19225
"RD17",19655
"RD30",20005
"RD45",20143
"RD40",20984
"RD10",21288
"RD19",21331
"RD73",22867
"RD11",23856
"RD44",26044
"RD76",26242
"RD43",26452
"RD42",26475
"RD39",26528
"RD71",26746
"RD12",28489
"RD70",29344
"RD9",29652
"RD27",30244
"RD38",30769
"RD60",31334
"RD32",31814
"RD34",32097
"RD33",32230
"RD36",32904
"RD41",33381
"RD14",33512
"RD143",33762
"RD35",34032
"RD106",34685
"RD77",34826
"RD95",35429
"RD13",36293
"RD56",36388
"RD55",37606
"RD62",37858
"RD66",38014
"RD31",38023
"RD24",38203
"RD8",38744
"RD28",38938
"RD25",39197
"RD57",39216
"RD50",40984
"RD69",41573
"RD110",41585
"RD4",41707
"RD37",42638
"RD48",42737
"RD89",42981
"RD51",43879
"RD101",44430
"RD58",44493
"RD5",44783
"RD144",45298
"RD7",45535
"RD49",46418
"RD3",46839
"RD6",46847
"RD68",47807
"RD26",47821
"RD99",48263
"RD125",48522
"RD64",49394
"RD74",49740
"RD47",49955
"RD61",50438
"RD114",51056
"RD1",51255
"RD140",51658
"RD91",52343
"RD2",53224
"RD100",53667
"RD52",53682
"RD102",55008
"RD88",55680
"RD112",55885
"RD142",56380
"RD15",58517
"RD119",60188
"RD59",60272
"RD78",60646
"RD86",61446
"RD75",61534
"RD29",61608
"RD104",62110
"RD87",62190
"RD103",62621
"RD67",62754
"RD54",62773
"RD109",64871
"RD98",64912
"RD65",65294
"RD96",65460
"RD141",65707
"RD84",65812
"RD107",66278
"RD122",66976
"RD94",67008
"RD92",67706
"RD120",67796
"RD72",67869
"RD118",68016
"RD23",68061
"RD124",71206
"RD93",71871
"RD82",74219
"RD53",74227
"RD113",74836
"RD83",75817
"RD79",76720
"RD90",79159
"RD80",79180
"RD115",80885
"RD85",81136
"RD116",91139
"RD81",91638
"RD111",92010
"RD108",92543
"RD117",93286
"RD121",95678
"RD123",97286
"RD139",98666
"RD97",112983
"RD105",117702
"RD128",129398
"RD129",144628
"RD132",145697
"RD126",145995
"RD127",160753
"RD131",165795
"RD130",167693
