trait,crop,amend,log2FC_CL,stat.f,Est_CL_linear,stat.f_linear,Est_CL_quadratic,stat.f_quadratic
dry_total_weight,lettuce,RW,0.488 [-0.751 to 1.73],"t = 0.951, df = 18, P > 0.1",-0.0712 [-0.495 to 0.352],"t = -0.353, df = 18, P > 0.1",-0.666 [-1.4 to 0.0676],"t = -1.91, df = 18, P = 0.0726."
dry_total_weight,lettuce,BS,0.162 [-1.08 to 1.4],"t = 0.315, df = 18, P > 0.1",0.572 [-0.372 to 1.52],"t = 1.28, df = 17, P > 0.1",0.00086 [-1.63 to 1.64],"t = 0.00111, df = 17, P > 0.1"
dry_total_weight,radish,RW,0.201 [-1.04 to 1.44],"t = 0.391, df = 18, P > 0.1",-0.0954 [-0.519 to 0.328],"t = -0.473, df = 18, P > 0.1",0.845 [0.112 to 1.58],"t = 2.42, df = 18, P = 0.0263*"
dry_total_weight,radish,BS,0.0444 [-1.2 to 1.28],"t = 0.0865, df = 18, P > 0.1",0.0514 [-0.893 to 0.995],"t = 0.115, df = 17, P > 0.1",-0.0539 [-1.69 to 1.58],"t = -0.0696, df = 17, P > 0.1"
dry_total_weight,pea,RW,0.558 [-0.682 to 1.8],"t = 1.09, df = 18, P > 0.1",-0.162 [-0.586 to 0.261],"t = -0.805, df = 18, P > 0.1",0.0333 [-0.701 to 0.767],"t = 0.0955, df = 18, P > 0.1"
dry_total_weight,pea,BS,-0.317 [-1.56 to 0.922],"t = -0.618, df = 18, P > 0.1",-1.19 [-2.24 to -0.134],"t = -2.38, df = 17, P = 0.0294*",-0.188 [-1.89 to 1.51],"t = -0.233, df = 17, P > 0.1"
per_plant_weight,lettuce,RW,0.0611 [-0.681 to 0.803],"t = 0.199, df = 18, P > 0.1",-0.0155 [-0.444 to 0.413],"t = -0.0761, df = 18, P > 0.1",-1.05 [-1.79 to -0.305],"t = -2.96, df = 18, P = 0.00833**"
per_plant_weight,lettuce,BS,-0.365 [-1.11 to 0.377],"t = -1.19, df = 18, P > 0.1",0.928 [0.312 to 1.54],"t = 3.18, df = 17, P = 0.00549**",-0.297 [-1.36 to 0.77],"t = -0.587, df = 17, P > 0.1"
per_plant_weight,radish,RW,0.201 [-0.541 to 0.943],"t = 0.654, df = 18, P > 0.1",-0.0954 [-0.524 to 0.333],"t = -0.467, df = 18, P > 0.1",0.845 [0.103 to 1.59],"t = 2.39, df = 18, P = 0.0279*"
per_plant_weight,radish,BS,0.0444 [-0.697 to 0.786],"t = 0.145, df = 18, P > 0.1",0.0514 [-0.565 to 0.667],"t = 0.176, df = 17, P > 0.1",-0.0539 [-1.12 to 1.01],"t = -0.107, df = 17, P > 0.1"
per_plant_weight,pea,RW,-0.0214 [-0.763 to 0.72],"t = -0.0696, df = 18, P > 0.1",-0.168 [-0.597 to 0.261],"t = -0.825, df = 18, P > 0.1",-0.739 [-1.48 to 0.00366],"t = -2.09, df = 18, P = 0.051."
per_plant_weight,pea,BS,0.137 [-0.605 to 0.879],"t = 0.446, df = 18, P > 0.1",0.0403 [-0.648 to 0.729],"t = 0.123, df = 17, P > 0.1",-1.67 [-2.78 to -0.564],"t = -3.18, df = 17, P = 0.00547**"
shoot_moisture,lettuce,RW,-0.408 [-1.22 to 0.4],"t = -1.22, df = 18, P > 0.1",-0.0474 [-0.382 to 0.288],"t = -0.297, df = 18, P > 0.1",0.131 [-0.449 to 0.712],"t = 0.476, df = 18, P > 0.1"
shoot_moisture,lettuce,BS,-0.163 [-0.971 to 0.646],"t = -0.486, df = 18, P > 0.1",-0.368 [-0.832 to 0.0951],"t = -1.68, df = 17, P > 0.1",-0.393 [-1.2 to 0.41],"t = -1.03, df = 17, P > 0.1"
shoot_moisture,radish,RW,-0.0143 [-0.822 to 0.794],"t = -0.0427, df = 18, P > 0.1",-0.0732 [-0.408 to 0.262],"t = -0.459, df = 18, P > 0.1",-0.819 [-1.4 to -0.238],"t = -2.96, df = 18, P = 0.00831**"
shoot_moisture,radish,BS,0.794 [-0.014 to 1.6],"t = 2.37, df = 18, P = 0.0544.",-0.135 [-0.599 to 0.328],"t = -0.616, df = 17, P > 0.1",0.158 [-0.645 to 0.96],"t = 0.415, df = 17, P > 0.1"
shoot_moisture,pea,RW,0.121 [-0.687 to 0.929],"t = 0.362, df = 18, P > 0.1",0.126 [-0.209 to 0.461],"t = 0.789, df = 18, P > 0.1",0.728 [0.148 to 1.31],"t = 2.64, df = 18, P = 0.0168*"
shoot_moisture,pea,BS,-0.404 [-1.21 to 0.404],"t = -1.21, df = 18, P > 0.1",-0.25 [-0.768 to 0.268],"t = -1.02, df = 17, P > 0.1",-0.169 [-1 to 0.666],"t = -0.427, df = 17, P > 0.1"
shoot_root_ratio,lettuce,RW,0.968 [-0.491 to 2.43],"t = 1.6, df = 18, P > 0.1",-0.265 [-1.17 to 0.636],"t = -0.618, df = 18, P > 0.1",0.754 [-0.807 to 2.32],"t = 1.01, df = 18, P > 0.1"
shoot_root_ratio,lettuce,BS,1.24 [-0.216 to 2.7],"t = 2.06, df = 18, P > 0.1",0.186 [-0.774 to 1.15],"t = 0.409, df = 17, P > 0.1",0.198 [-1.46 to 1.86],"t = 0.251, df = 17, P > 0.1"
shoot_root_ratio,radish,RW,-0.721 [-2.18 to 0.738],"t = -1.19, df = 18, P > 0.1",0.00302 [-0.898 to 0.904],"t = 0.00705, df = 18, P > 0.1",-0.482 [-2.04 to 1.08],"t = -0.648, df = 18, P > 0.1"
shoot_root_ratio,radish,BS,0.451 [-1.01 to 1.91],"t = 0.745, df = 18, P > 0.1",-0.251 [-1.21 to 0.708],"t = -0.552, df = 17, P > 0.1",-0.196 [-1.86 to 1.47],"t = -0.249, df = 17, P > 0.1"
shoot_root_ratio,pea,RW,0.0659 [-1.39 to 1.53],"t = 0.109, df = 18, P > 0.1",-0.427 [-1.33 to 0.474],"t = -0.996, df = 18, P > 0.1",-1.11 [-2.67 to 0.451],"t = -1.49, df = 18, P > 0.1"
shoot_root_ratio,pea,BS,0.698 [-0.762 to 2.16],"t = 1.15, df = 18, P > 0.1",-0.868 [-1.94 to 0.205],"t = -1.71, df = 17, P > 0.1",-0.821 [-2.55 to 0.908],"t = -1, df = 17, P > 0.1"
germination_perc,lettuce,RW,0.463 [-0.98 to 1.91],"t = 0.775, df = 18, P > 0.1",-0.029 [-0.338 to 0.28],"t = -0.197, df = 18, P > 0.1",0.355 [-0.181 to 0.89],"t = 1.39, df = 18, P > 0.1"
germination_perc,lettuce,BS,-0.839 [-2.28 to 0.603],"t = -1.4, df = 18, P > 0.1",0.305 [-0.683 to 1.29],"t = 0.649, df = 18, P > 0.1",-1.04 [-2.75 to 0.674],"t = -1.27, df = 18, P > 0.1"
germination_perc,radish,RW,0.052 [-1.39 to 1.49],"t = 0.087, df = 18, P > 0.1",-0.018 [-0.327 to 0.291],"t = -0.123, df = 18, P > 0.1",0.36 [-0.175 to 0.896],"t = 1.42, df = 18, P > 0.1"
germination_perc,radish,BS,-0.109 [-1.55 to 1.33],"t = -0.182, df = 18, P > 0.1",0.0744 [-0.914 to 1.06],"t = 0.158, df = 18, P > 0.1",0.034 [-1.68 to 1.75],"t = 0.0417, df = 18, P > 0.1"
germination_perc,pea,RW,0.308 [-1.13 to 1.75],"t = 0.516, df = 18, P > 0.1",-0.0155 [-0.325 to 0.293],"t = -0.105, df = 18, P > 0.1",0.707 [0.172 to 1.24],"t = 2.78, df = 18, P = 0.0124*"
germination_perc,pea,BS,-1.27 [-2.71 to 0.174],"t = -2.12, df = 18, P = 0.0885.",-2 [-2.99 to -1.01],"t = -4.25, df = 18, P < 0.001",0.833 [-0.879 to 2.55],"t = 1.02, df = 18, P > 0.1"
survival_perc.corr,lettuce,RW,0.384 [-0.66 to 1.43],"t = 0.888, df = 18, P > 0.1",-0.0287 [-0.416 to 0.359],"t = -0.156, df = 18, P > 0.1",0.35 [-0.32 to 1.02],"t = 1.1, df = 18, P > 0.1"
survival_perc.corr,lettuce,BS,-0.0512 [-1.1 to 0.993],"t = -0.118, df = 18, P > 0.1",-0.0888 [-0.987 to 0.809],"t = -0.208, df = 18, P > 0.1",-0.235 [-1.79 to 1.32],"t = -0.318, df = 18, P > 0.1"
survival_perc.corr,radish,RW,-4.81e-16 [-1.04 to 1.04],"t = -1.04e-15, df = 18, P > 0.1",-1.65e-17 [-0.387 to 0.387],"t = -8.94e-17, df = 18, P > 0.1",0.437 [-0.234 to 1.11],"t = 1.37, df = 18, P > 0.1"
survival_perc.corr,radish,BS,0 [-1.04 to 1.04],"t = 1.39e-16, df = 18, P > 0.1",-1.11e-16 [-0.898 to 0.898],"t = -2.6e-16, df = 18, P > 0.1",-5.55e-17 [-1.56 to 1.56],"t = -7.5e-17, df = 18, P > 0.1"
survival_perc.corr,pea,RW,0.567 [-0.478 to 1.61],"t = 1.31, df = 18, P > 0.1",0.00573 [-0.382 to 0.393],"t = 0.0311, df = 18, P > 0.1",0.756 [0.0848 to 1.43],"t = 2.37, df = 18, P = 0.0294*"
survival_perc.corr,pea,BS,-1.24 [-2.28 to -0.195],"t = -2.87, df = 18, P = 0.0197*",-1.81 [-2.7 to -0.908],"t = -4.23, df = 18, P < 0.001",0.763 [-0.792 to 2.32],"t = 1.03, df = 18, P > 0.1"
dry_pod_weight.corr,pea,RW,1.15 [-2.32 to 4.62],"t = 0.961, df = 6, P > 0.1",-0.128 [-2.23 to 1.98],"t = -0.149, df = 6, P > 0.1",2.36 [-1.29 to 6],"t = 1.58, df = 6, P > 0.1"
dry_pod_weight.corr,pea,BS,0.0662 [-3.4 to 3.53],"t = 0.0553, df = 6, P > 0.1",-0.272 [-3.82 to 3.27],"t = -0.213, df = 4, P > 0.1",-0.152 [-5.17 to 4.86],"t = -0.0844, df = 4, P > 0.1"
per_pod_weight,pea,RW,0.154 [-1.3 to 1.61],"t = 0.306, df = 6, P > 0.1",0.168 [-0.725 to 1.06],"t = 0.459, df = 6, P > 0.1",0.689 [-0.857 to 2.24],"t = 1.09, df = 6, P > 0.1"
per_pod_weight,pea,BS,0.232 [-1.22 to 1.69],"t = 0.463, df = 6, P > 0.1",0.537 [-0.578 to 1.65],"t = 1.34, df = 4, P > 0.1",-0.578 [-2.15 to 0.999],"t = -1.02, df = 4, P > 0.1"
NDVI_mean,pea,RW,-0.0267 [-0.288 to 0.234],"t = -0.316, df = 5, P > 0.1",NA,NA,NA,NA
NDVI_mean,pea,BS,0.023 [-0.269 to 0.315],"t = 0.242, df = 5, P > 0.1",NA,NA,NA,NA
pods,pea,RW,0.666 [-0.0945 to 1.43],"z = 1.95, P = 0.0962.",-0.273 [-0.713 to 0.166],"z = -1.22, P > 0.1",0.946 [0.0474 to 1.85],"z = 2.06, P = 0.0391*"
pods,pea,BS,-0.0506 [-0.9 to 0.799],"z = -0.132, P > 0.1",-1.83 [-3.02 to -0.637],"z = -3.01, P = 0.00262**",-0.58 [-2.14 to 0.983],"z = -0.727, P > 0.1"
flowers,pea,RW,0.7 [-0.74 to 2.14],"z = 1.08, P > 0.1",-5.41e-16 [-0.769 to 0.769],"z = -1.38e-15, P > 0.1",-0.148 [-1.45 to 1.15],"z = -0.224, P > 0.1"
flowers,pea,BS,-0.678 [-2.51 to 1.15],"z = -0.824, P > 0.1",-0.511 [-2.15 to 1.13],"z = -0.611, P > 0.1",-1.18 [-3.39 to 1.03],"z = -1.05, P > 0.1"
germination_perc,all,RW,0.274 [-0.559 to 1.11],"t = 0.795, df = 18, P > 0.1",-0.0208 [-0.199 to 0.158],"t = -0.245, df = 18, P > 0.1",0.474 [0.165 to 0.783],"t = 3.22, df = 18, P = 0.00471**"
germination_perc,all,BS,-0.739 [-1.57 to 0.0942],"t = -2.14, df = 18, P = 0.0854.",-0.539 [-1.11 to 0.0312],"t = -1.99, df = 18, P = 0.0625.",-0.0568 [-1.05 to 0.932],"t = -0.121, df = 18, P > 0.1"
survival_perc.corr,all,RW,0.317 [-0.286 to 0.92],"t = 1.27, df = 18, P > 0.1",-0.00766 [-0.231 to 0.216],"t = -0.072, df = 18, P > 0.1",0.514 [0.127 to 0.902],"t = 2.79, df = 18, P = 0.0121*"
survival_perc.corr,all,BS,-0.43 [-1.03 to 0.173],"t = -1.72, df = 18, P > 0.1",-0.632 [-1.15 to -0.113],"t = -2.56, df = 18, P = 0.0197*",0.176 [-0.722 to 1.07],"t = 0.412, df = 18, P > 0.1"
