"Term","Time","Species","Prop_exp","Fstat","Rstat"
"timepoint","all_timepoints","P",24.5,"F [1, 27] =17.8, P < 0.001","R_sqr = NANA"
"direct.survival_perc.corr","all_timepoints","P",8.56,"F [1, 27] =6.23, P < 0.001","R_sqr = 0.363, P < 0.001"
"treat.rn","all_timepoints","P",16.9,"F [6, 27] =2.05, P < 0.001","R_sqr = NANA"
"timepoint:treat.rn","all_timepoints","P",12.9,"F [6, 27] =1.56, P = 0.01*","R_sqr = NANA"
"Residual","all_timepoints","P",37.1,"F [27, 27] =NANA","R_sqr = NANA"
"treat.rn","TP2","P",48.7,"F [6, 13] =2.34, P < 0.001","R_sqr = NANA"
"direct.survival_perc.corr","TP2","P",6.17,"F [1, 13] =1.78, P = 0.042*","R_sqr = 0.734, P < 0.001"
"Residual","TP2","P",45.1,"F [13, 13] =NANA","R_sqr = NANA"
"direct.survival_perc.corr","TP1","P",19.5,"F [1, 13] =5.53, P < 0.001","R_sqr = 0.786, P < 0.001"
"treat.rn","TP1","P",34.6,"F [6, 13] =1.64, P = 0.007**","R_sqr = NANA"
"Residual","TP1","P",45.9,"F [13, 13] =NANA","R_sqr = NANA"
"timepoint","all_timepoints","R",20.7,"F [1, 28] =13.7, P < 0.001","R_sqr = NANA"
"treat.rn","all_timepoints","R",24.9,"F [6, 28] =2.74, P < 0.001","R_sqr = NANA"
"timepoint:treat.rn","all_timepoints","R",12.1,"F [6, 28] =1.33, P = 0.051.","R_sqr = NANA"
"Residual","all_timepoints","R",42.4,"F [28, 28] =NANA","R_sqr = NANA"
"treat.rn","TP2","R",44.7,"F [6, 13] =2.13, P < 0.001","R_sqr = NANA"
"direct.shoot_root_ratio","TP2","R",9.73,"F [1, 13] =2.78, P < 0.001","R_sqr = 0.658, P < 0.001"
"Residual","TP2","R",45.6,"F [13, 13] =NANA","R_sqr = NANA"
"treat.rn","TP1","R",48.4,"F [6, 13] =2.31, P < 0.001","R_sqr = NANA"
"direct.per_plant_weight","TP1","R",6.22,"F [1, 13] =1.78, P = 0.05.","R_sqr = 0.0991, P > 0.1"
"Residual","TP1","R",45.4,"F [13, 13] =NANA","R_sqr = NANA"
"timepoint","all_timepoints","L",22.5,"F [1, 28] =17.1, P < 0.001","R_sqr = NANA"
"treat.rn","all_timepoints","L",25.3,"F [6, 28] =3.22, P < 0.001","R_sqr = NANA"
"timepoint:treat.rn","all_timepoints","L",15.6,"F [6, 28] =1.98, P < 0.001","R_sqr = NANA"
"Residual","all_timepoints","L",36.7,"F [28, 28] =NANA","R_sqr = NANA"
"treat.rn","TP2","L",45.9,"F [6, 14] =1.98, P < 0.001","R_sqr = NANA"
"Residual","TP2","L",54.1,"F [14, 14] =NANA","R_sqr = NANA"
"treat.rn","TP1","L",57.6,"F [6, 14] =3.18, P < 0.001","R_sqr = NANA"
"Residual","TP1","L",42.4,"F [14, 14] =NANA","R_sqr = NANA"
"timepoint","all_timepoints","all_species",17.9,"F [1, 83] =40.4, P < 0.001","R_sqr = NANA"
"treat.rn","all_timepoints","all_species",13.9,"F [6, 83] =5.22, P < 0.001","R_sqr = NANA"
"species","all_timepoints","all_species",5.96,"F [2, 83] =6.72, P < 0.001","R_sqr = NANA"
"direct.survival_perc.corr","all_timepoints","all_species",0.964,"F [1, 83] =2.17, P = 0.015*","R_sqr = 0.106, P = 0.002**"
"timepoint:species","all_timepoints","all_species",3.42,"F [2, 83] =3.85, P < 0.001","R_sqr = NANA"
"timepoint:treat.rn","all_timepoints","all_species",6.43,"F [6, 83] =2.42, P < 0.001","R_sqr = NANA"
"treat.rn:species","all_timepoints","all_species",8.37,"F [12, 83] =1.57, P < 0.001","R_sqr = NANA"
"timepoint:treat.rn:species","all_timepoints","all_species",6.27,"F [12, 83] =1.18, P = 0.089.","R_sqr = NANA"
"Residual","all_timepoints","all_species",36.8,"F [83, 83] =NANA","R_sqr = NANA"
"species","TP2","all_species",12.9,"F [2, 42] =5.8, P < 0.001","R_sqr = NANA"
"treat.rn","TP2","all_species",20.9,"F [6, 42] =3.14, P < 0.001","R_sqr = NANA"
"species:treat.rn","TP2","all_species",19.6,"F [12, 42] =1.47, P < 0.001","R_sqr = NANA"
"Residual","TP2","all_species",46.6,"F [42, 42] =NANA","R_sqr = NANA"
"treat.rn","TP1","all_species",28,"F [6, 41] =4.46, P < 0.001","R_sqr = NANA"
"species","TP1","all_species",10.2,"F [2, 41] =4.85, P < 0.001","R_sqr = NANA"
"direct.survival_perc.corr","TP1","all_species",1.91,"F [1, 41] =1.82, P = 0.054.","R_sqr = 0.126, P = 0.023*"
"treat.rn:species","TP1","all_species",16.9,"F [12, 41] =1.34, P = 0.015*","R_sqr = NANA"
"Residual","TP1","all_species",43,"F [41, 41] =NANA","R_sqr = NANA"
