trait,amend,log2FC_CL,stat.f,Est_CL_linear,stat.f_linear,Est_CL_quadratic,stat.f_quadratic
plant_height4,RW,-0.281 [-0.748 to 0.185],"t = -1.75, df = 6, P > 0.1",0.0976 [-0.527 to 0.722],"t = 0.382, df = 6, P > 0.1",-0.00777 [-1.09 to 1.07],"t = -0.0176, df = 6, P > 0.1"
plant_height4,BS,0.143 [-0.323 to 0.61],"t = 0.892, df = 6, P > 0.1",-0.35 [-0.931 to 0.23],"t = -1.48, df = 6, P > 0.1",-0.0635 [-1.07 to 0.941],"t = -0.155, df = 6, P > 0.1"
chlorophyll_content4_mean,RW,-0.0421 [-0.157 to 0.0725],"t = -1.06, df = 6, P > 0.1",0.0271 [-0.0449 to 0.099],"t = 0.921, df = 6, P > 0.1",-0.0222 [-0.147 to 0.102],"t = -0.436, df = 6, P > 0.1"
chlorophyll_content4_mean,BS,-0.0275 [-0.142 to 0.0871],"t = -0.696, df = 6, P > 0.1",0.0173 [-0.0796 to 0.114],"t = 0.437, df = 6, P > 0.1",0.0637 [-0.104 to 0.231],"t = 0.929, df = 6, P > 0.1"
leaf_num2,RW,-0.15 [-1.05 to 0.746],"z = -0.372, P > 0.1",-0.0138 [-0.578 to 0.55],"t = -0.0479, df = Inf, P > 0.1",0.0418 [-0.942 to 1.03],"t = 0.0832, df = Inf, P > 0.1"
leaf_num2,BS,-0.0919 [-0.979 to 0.795],"z = -0.23, P > 0.1",-0.111 [-0.678 to 0.455],"t = -0.385, df = Inf, P > 0.1",-0.358 [-1.28 to 0.567],"t = -0.759, df = Inf, P > 0.1"
dry_total_weight,RW,-0.219 [-0.89 to 0.452],"t = -0.946, df = 6, P > 0.1",0.171 [-0.61 to 0.952],"t = 0.536, df = 6, P > 0.1",0.262 [-1.09 to 1.61],"t = 0.474, df = 6, P > 0.1"
dry_total_weight,BS,-0.185 [-0.856 to 0.486],"t = -0.798, df = 6, P > 0.1",-0.131 [-0.729 to 0.467],"t = -0.536, df = 6, P > 0.1",-0.27 [-1.31 to 0.766],"t = -0.637, df = 6, P > 0.1"
shoot_root_ratio,RW,-0.448 [-0.981 to 0.0857],"t = -2.44, df = 6, P =0.0917.",0.00317 [-0.59 to 0.596],"t = 0.0131, df = 6, P > 0.1",-0.485 [-1.51 to 0.542],"t = -1.16, df = 6, P > 0.1"
shoot_root_ratio,BS,0.519 [-0.0144 to 1.05],"t = 2.82, df = 6, P =0.0553.",-0.551 [-0.831 to -0.27],"t = -4.8, df = 6, P =0.003**",0.254 [-0.232 to 0.74],"t = 1.28, df = 6, P > 0.1"
shoot_moisture,RW,0.0223 [-0.374 to 0.418],"t = 0.163, df = 6, P > 0.1",0.00514 [-0.303 to 0.313],"t = 0.0408, df = 6, P > 0.1",0.108 [-0.426 to 0.641],"t = 0.494, df = 6, P > 0.1"
shoot_moisture,BS,-0.00335 [-0.399 to 0.393],"t = -0.0246, df = 6, P > 0.1",0.0177 [-0.317 to 0.352],"t = 0.13, df = 6, P > 0.1",-0.337 [-0.916 to 0.243],"t = -1.42, df = 6, P > 0.1"
