"Sum Sq","Df","F value","Pr(>F)","trait","term","LR Chisq","Pr(>Chisq)","pval","sig","stat","stat_sig"
644.25310976574,1,2612.04165101056,6.12922664635531e-21,"wet_shoot_weight","(Intercept)",NA,NA,6.12922664635531e-21,"***",2610,"2610***"
14.5508972794615,2,29.4973739182646,2.08594396232871e-06,"wet_shoot_weight","species",NA,NA,2.08594396232871e-06,"***",29.5,"29.5***"
0.174820912904752,2,0.354394491119293,0.70638498089189,"wet_shoot_weight","contam",NA,NA,0.70638498089189,"ns",0.354,"0.354ns"
1.88072202233462,4,1.90628659056729,0.153135930866637,"wet_shoot_weight","species:contam",NA,NA,0.153135930866637,"ns",1.91,"1.91ns"
4.4396520137023,18,NA,NA,"wet_shoot_weight","Residuals",NA,NA,NA,NA,NA,"NANA"
104.049452825293,1,570.025895861625,4.43840716730572e-15,"dry_shoot_weight","(Intercept)",NA,NA,4.43840716730572e-15,"***",570,"570***"
4.49656400805822,2,12.3170178092924,0.000426230528613356,"dry_shoot_weight","species",NA,NA,0.000426230528613356,"***",12.3,"12.3***"
0.391202787248232,2,1.07158525686419,0.363330690421302,"dry_shoot_weight","contam",NA,NA,0.363330690421302,"ns",1.07,"1.07ns"
0.407853276993423,4,0.558597194135752,0.695551660384933,"dry_shoot_weight","species:contam",NA,NA,0.695551660384933,"ns",0.559,"0.559ns"
3.28562292424328,18,NA,NA,"dry_shoot_weight","Residuals",NA,NA,NA,NA,NA,"NANA"
127.323607454936,1,327.018861664324,5.43987680135959e-13,"wet_root_weight","(Intercept)",NA,NA,5.43987680135959e-13,"***",327,"327***"
29.5526414371176,2,37.951607542068,3.49404414567747e-07,"wet_root_weight","species",NA,NA,3.49404414567747e-07,"***",38,"38***"
0.475591595045885,2,0.610756422700603,0.553814663131057,"wet_root_weight","contam",NA,NA,0.553814663131057,"ns",0.611,"0.611ns"
2.74979526567971,4,1.76564844408527,0.179784911181759,"wet_root_weight","species:contam",NA,NA,0.179784911181759,"ns",1.77,"1.77ns"
7.00823470097376,18,NA,NA,"wet_root_weight","Residuals",NA,NA,NA,NA,NA,"NANA"
