"trait","Amendment","Species","Spiking level (SL)","Species x SL","sig_contrasts"
"wet_shoot_weight","RW","F [2, 18] = 129, p < 0.001","F [2, 18] = 0.868, p > 0.1","F [4, 18] = 2.13, p > 0.1",NA
"dry_shoot_weight","RW","F [2, 18] = 51.1, p < 0.001","F [2, 18] = 0.564, p > 0.1","F [4, 18] = 1.8, p > 0.1",NA
"wet_root_weight","RW","F [2, 18] = 53.1, p < 0.001","F [2, 18] = 0.0981, p > 0.1","F [4, 18] = 1.73, p > 0.1",NA
"dry_root_weight","RW","F [2, 18] = 25, p < 0.001","F [2, 18] = 0.301, p > 0.1","F [4, 18] = 1.52, p > 0.1",NA
"shoot_root_ratio","RW","F [2, 18] = 32.3, p < 0.001","F [2, 18] = 0.642, p > 0.1","F [4, 18] = 0.943, p > 0.1",NA
"dry_total_weight","RW","F [2, 18] = 41.9, p < 0.001","F [2, 18] = 0.505, p > 0.1","F [4, 18] = 2.37, p = 0.0908.",NA
"per_plant_weight","RW","F [2, 18] = 69.8, p < 0.001","F [2, 18] = 1.49, p > 0.1","F [4, 18] = 4.2, p = 0.0142*",NA
"shoot_moisture","RW","F [2, 18] = 34.2, p < 0.001","F [2, 18] = 0.0038, p > 0.1","F [4, 18] = 4.22, p = 0.0139*",NA
"germination_perc","RW","F [2, 18] = 3.28, p = 0.0609.","F [2, 18] = 5.96, p = 0.0103*","F [4, 18] = 0.35, p > 0.1",NA
"survival_perc.corr","RW","F [2, 18] = 8.53, p = 0.00247**","F [2, 18] = 4.02, p = 0.036*","F [4, 18] = 0.219, p > 0.1",NA
"wet_pod_weight.corr","RW","N/A (Pea only)","F [2, 6] = 1.06, p > 0.1","N/A (Pea only)",NA
"dry_pod_weight.corr","RW","N/A (Pea only)","F [2, 6] = 1.26, p > 0.1","N/A (Pea only)",NA
"pods","RW","N/A (Pea only)","X2 = 6.31, df = 2, p = 0.0426*","N/A (Pea only)",NA
"flowers","RW","N/A (Pea only)","X2 = 0.0496, df = 2, p > 0.1","N/A (Pea only)",NA
"wet_shoot_weight","BS","F [2, 17] = 67.7, p < 0.001","F [2, 17] = 1.34, p > 0.1","F [4, 17] = 1.56, p > 0.1","pea_linear: t = -2.76, df = 17, p = 0.0135*; Est. [95% CL] = -1.47 [-2.59 to -0.344]"
"dry_shoot_weight","BS","F [2, 17] = 31.9, p < 0.001","F [2, 17] = 0.35, p > 0.1","F [4, 17] = 1.89, p > 0.1","pea_linear: t = -2.49, df = 17, p = 0.0236*; Est. [95% CL] = -1.24 [-2.29 to -0.188]"
"wet_root_weight","BS","F [2, 17] = 58.6, p < 0.001","F [2, 17] = 0.449, p > 0.1","F [4, 17] = 0.338, p > 0.1",NA
"dry_root_weight","BS","F [2, 17] = 27.9, p < 0.001","F [2, 17] = 0.06, p > 0.1","F [4, 17] = 0.251, p > 0.1",NA
"shoot_root_ratio","BS","F [2, 17] = 18.8, p < 0.001","F [2, 17] = 0.793, p > 0.1","F [4, 17] = 0.755, p > 0.1",NA
"dry_total_weight","BS","F [2, 17] = 32.2, p < 0.001","F [2, 17] = 0.256, p > 0.1","F [4, 17] = 1.78, p > 0.1","pea_linear: t = -2.38, df = 17, p = 0.0294*; Est. [95% CL] = -1.19 [-2.24 to -0.134]"
"per_plant_weight","BS","F [2, 17] = 22, p < 0.001","F [2, 17] = 4.69, p = 0.0239*","F [4, 17] = 2.77, p = 0.0608.","lettuce_linear: t = 3.18, df = 17, p = 0.00549**; Est. [95% CL] = 0.928 [0.312 to 1.54]"
"shoot_moisture","BS","F [2, 17] = 67.4, p < 0.001","F [2, 17] = 1.94, p > 0.1","F [4, 17] = 0.406, p > 0.1",NA
"germination_perc","BS","F [2, 18] = 35.1, p < 0.001","F [2, 18] = 2.02, p > 0.1","F [4, 18] = 3.7, p = 0.0229*","pea_linear: t = -4.06, df = 18, p < 0.001; Est. [95% CL] = -2 [-3.03 to -0.963]"
"survival_perc.corr","BS","F [2, 18] = 59, p < 0.001","F [2, 18] = 3.57, p = 0.0496*","F [4, 18] = 2.79, p = 0.0578.","pea_linear: t = -4.13, df = 18, p < 0.001; Est. [95% CL] = -1.81 [-2.72 to -0.887]"
"wet_pod_weight.corr","BS","N/A (Pea only)","F [2, 4] = 0.0251, p > 0.1","N/A (Pea only)",NA
"dry_pod_weight.corr","BS","N/A (Pea only)","F [2, 4] = 0.0228, p > 0.1","N/A (Pea only)",NA
"pods","BS","N/A (Pea only)","X2 = 14.9, df = 2, p < 0.001","N/A (Pea only)","pea_linear: z = -3.01, p = 0.00262**; Est. [95% CL] = -1.83 [-3.02 to -0.637]"
"flowers","BS","N/A (Pea only)","X2 = 1.3, df = 2, p > 0.1","N/A (Pea only)",NA
