"contrast","trait","crop","stat","log2FC_CL","log2FC","sig"
"RW / control","wet_shoot_weight","lettuce","Stat = 0.306, df = 18, p = 0.922","0.179 (-1.23 - 1.59)",0.178992274808992,"ns"
"BS / control","wet_shoot_weight","lettuce","Stat = 0.169, df = 18, p = 0.971","0.099 (-1.31 - 1.51)",0.0990494693916171,"ns"
"RW / control","wet_shoot_weight","radish","Stat = -0.00705, df = 18, p = 1","-0.00412 (-1.42 - 1.41)",-0.00412440771403473,"ns"
"BS / control","wet_shoot_weight","radish","Stat = 1.53, df = 18, p = 0.251","0.893 (-0.52 - 2.31)",0.892569432870334,"ns"
"RW / control","wet_shoot_weight","pea","Stat = 1.15, df = 18, p = 0.432","0.673 (-0.74 - 2.09)",0.672759009677639,"ns"
"BS / control","wet_shoot_weight","pea","Stat = -1.11, df = 18, p = 0.453","-0.651 (-2.06 - 0.761)",-0.651152607534575,"ns"
"RW / control","dry_shoot_weight","lettuce","Stat = 1.13, df = 18, p = 0.443","0.569 (-0.646 - 1.78)",0.568860684953786,"ns"
"BS / control","dry_shoot_weight","lettuce","Stat = 0.504, df = 18, p = 0.823","0.254 (-0.961 - 1.47)",0.253881618315461,"ns"
"RW / control","dry_shoot_weight","radish","Stat = 0.0259, df = 18, p = 0.999","0.013 (-1.2 - 1.23)",0.0130470078962581,"ns"
"BS / control","dry_shoot_weight","radish","Stat = 0.258, df = 18, p = 0.941","0.13 (-1.09 - 1.35)",0.129908049457435,"ns"
"RW / control","dry_shoot_weight","pea","Stat = 1.12, df = 18, p = 0.447","0.565 (-0.65 - 1.78)",0.565197462831985,"ns"
"BS / control","dry_shoot_weight","pea","Stat = -0.585, df = 18, p = 0.777","-0.294 (-1.51 - 0.921)",-0.294456401141059,"ns"
"RW / control","wet_root_weight","lettuce","Stat = -0.692, df = 18, p = 0.711","-0.509 (-2.28 - 1.27)",-0.508665841970468,"ns"
