"contrast","trait","crop","amend","stat","Est_CL","estimate","sig"
"linear","wet_shoot_weight","lettuce","RW","Stat = -0.853, df = 18, p = 0.405","-0.133 (-0.461 to 0.195)",-0.133195526121569,"ns"
"linear","wet_shoot_weight","radish","RW","Stat = -0.923, df = 18, p = 0.368","-0.144 (-0.472 to 0.184)",-0.144112213029527,"ns"
"linear","wet_shoot_weight","pea","RW","Stat = -0.473, df = 18, p = 0.642","-0.074 (-0.402 to 0.254)",-0.073954629642242,"ns"
"linear","dry_shoot_weight","lettuce","RW","Stat = -0.456, df = 18, p = 0.654","-0.0886 (-0.497 to 0.32)",-0.0885819903868988,"ns"
"linear","dry_shoot_weight","radish","RW","Stat = -0.383, df = 18, p = 0.707","-0.0744 (-0.483 to 0.334)",-0.0743730672113879,"ns"
"linear","dry_shoot_weight","pea","RW","Stat = -0.972, df = 18, p = 0.344","-0.189 (-0.597 to 0.219)",-0.188974775970528,"ns"
"linear","wet_root_weight","lettuce","RW","Stat = 0.527, df = 18, p = 0.605","0.177 (-0.528 to 0.881)",0.176639287048348,"ns"
"linear","wet_root_weight","radish","RW","Stat = -0.49, df = 18, p = 0.63","-0.164 (-0.868 to 0.54)",-0.164088094401822,"ns"
"linear","wet_root_weight","pea","RW","Stat = 0.638, df = 18, p = 0.531","0.214 (-0.49 to 0.918)",0.213873108761749,"ns"
"linear","dry_root_weight","lettuce","RW","Stat = 0.369, df = 18, p = 0.716","0.177 (-0.829 to 1.18)",0.176748020762323,"ns"
"linear","dry_root_weight","radish","RW","Stat = -0.162, df = 18, p = 0.873","-0.0774 (-1.08 to 0.928)",-0.0773966628252888,"ns"
"linear","dry_root_weight","pea","RW","Stat = 0.497, df = 18, p = 0.625","0.238 (-0.768 to 1.24)",0.238099619889175,"ns"
"linear","shoot_root_ratio","lettuce","RW","Stat = -0.618, df = 18, p = 0.544","-0.265 (-1.17 to 0.636)",-0.265330011149222,"ns"
"linear","shoot_root_ratio","radish","RW","Stat = 0.00705, df = 18, p = 0.994","0.00302 (-0.898 to 0.904)",0.00302359561390075,"ns"
"linear","shoot_root_ratio","pea","RW","Stat = -0.996, df = 18, p = 0.333","-0.427 (-1.33 to 0.474)",-0.427074395859703,"ns"
"linear","dry_total_weight","lettuce","RW","Stat = -0.353, df = 18, p = 0.728","-0.0712 (-0.495 to 0.352)",-0.0712107659174763,"ns"
"linear","dry_total_weight","radish","RW","Stat = -0.473, df = 18, p = 0.642","-0.0954 (-0.519 to 0.328)",-0.0954029238036258,"ns"
"linear","dry_total_weight","pea","RW","Stat = -0.805, df = 18, p = 0.431","-0.162 (-0.586 to 0.261)",-0.162440094513383,"ns"
"linear","per_plant_weight","lettuce","RW","Stat = -0.0761, df = 18, p = 0.94","-0.0155 (-0.444 to 0.413)",-0.0155260710297544,"ns"
"linear","per_plant_weight","radish","RW","Stat = -0.467, df = 18, p = 0.646","-0.0954 (-0.524 to 0.333)",-0.0954029238036258,"ns"
"linear","per_plant_weight","pea","RW","Stat = -0.825, df = 18, p = 0.42","-0.168 (-0.597 to 0.261)",-0.168339953546517,"ns"
"linear","shoot_moisture","lettuce","RW","Stat = -0.297, df = 18, p = 0.77","-0.0474 (-0.382 to 0.288)",-0.0474148454653934,"ns"
"linear","shoot_moisture","radish","RW","Stat = -0.459, df = 18, p = 0.652","-0.0732 (-0.408 to 0.262)",-0.0731842300151583,"ns"
"linear","shoot_moisture","pea","RW","Stat = 0.789, df = 18, p = 0.441","0.126 (-0.209 to 0.461)",0.125727680763319,"ns"
"linear","germination_perc","lettuce","RW","Stat = -0.989, df = 18, p = 0.336","-0.152 (-0.474 to 0.171)",-0.151578719038317,"ns"
"linear","germination_perc","radish","RW","Stat = -0.0115, df = 18, p = 0.991","-0.00176 (-0.324 to 0.32)",-0.00175901903361485,"ns"
"linear","germination_perc","pea","RW","Stat = -0.101, df = 18, p = 0.921","-0.0155 (-0.338 to 0.307)",-0.0155066718782979,"ns"
"linear","survival_perc.corr","lettuce","RW","Stat = -0.298, df = 18, p = 0.769","-0.0551 (-0.443 to 0.333)",-0.055130831564497,"ns"
"linear","survival_perc.corr","radish","RW","Stat = -1.88e-17, df = 18, p = 1","-3.47e-18 (-0.388 to 0.388)",-3.46944695195361e-18,"ns"
"linear","survival_perc.corr","pea","RW","Stat = 0.031, df = 18, p = 0.976","0.00573 (-0.383 to 0.394)",0.00572628784000203,"ns"
"linear","wet_pod_weight.corr","pea","RW","Stat = -0.197, df = 6, p = 0.85","-0.163 (-2.19 to 1.86)",-0.163348764774753,"ns"
"linear","dry_pod_weight.corr","pea","RW","Stat = -0.149, df = 6, p = 0.886","-0.128 (-2.23 to 1.98)",-0.128309497121966,"ns"
"linear","pods","pea","RW","Stat = -1.22, df = Inf, p = 0.223","-0.273 (-0.713 to 0.166)",-0.273293334999681,"ns"
"linear","flowers","pea","RW","Stat = -1.38e-15, df = Inf, p = 1","-5.41e-16 (-0.769 to 0.769)",-5.4052034449822e-16,"ns"
"linear","wet_shoot_weight","lettuce","BS","Stat = 0.48, df = 17, p = 0.637","0.228 (-0.775 to 1.23)",0.228376995285457,"ns"
"linear","wet_shoot_weight","radish","BS","Stat = -0.256, df = 17, p = 0.801","-0.122 (-1.13 to 0.882)",-0.121832830260553,"ns"
"linear","wet_shoot_weight","pea","BS","Stat = -2.76, df = 17, p = 0.0135","-1.47 (-2.59 to -0.344)",-1.46621847181722,"*"
"linear","dry_shoot_weight","lettuce","BS","Stat = 1.29, df = 17, p = 0.213","0.577 (-0.364 to 1.52)",0.577199117592703,"ns"
"linear","dry_shoot_weight","radish","BS","Stat = 0.0209, df = 17, p = 0.984","0.00932 (-0.931 to 0.95)",0.00932384670243483,"ns"
"linear","dry_shoot_weight","pea","BS","Stat = -2.49, df = 17, p = 0.0236","-1.24 (-2.29 to -0.188)",-1.23970062133354,"*"
"linear","wet_root_weight","lettuce","BS","Stat = 0.12, df = 17, p = 0.906","0.0712 (-1.19 to 1.33)",0.0712265822183946,"ns"
"linear","wet_root_weight","radish","BS","Stat = 0.131, df = 17, p = 0.897","0.078 (-1.18 to 1.33)",0.0780326172328094,"ns"
"linear","wet_root_weight","pea","BS","Stat = -1.06, df = 17, p = 0.306","-0.702 (-2.11 to 0.702)",-0.702410123310058,"ns"
"linear","dry_root_weight","lettuce","BS","Stat = 0.614, df = 17, p = 0.547","0.391 (-0.954 to 1.74)",0.391200815004189,"ns"
"linear","dry_root_weight","radish","BS","Stat = 0.409, df = 17, p = 0.688","0.26 (-1.08 to 1.61)",0.260416047780456,"ns"
"linear","dry_root_weight","pea","BS","Stat = -0.522, df = 17, p = 0.608","-0.372 (-1.88 to 1.13)",-0.372160009040485,"ns"
"linear","shoot_root_ratio","lettuce","BS","Stat = 0.409, df = 17, p = 0.688","0.186 (-0.774 to 1.15)",0.185998302588514,"ns"
"linear","shoot_root_ratio","radish","BS","Stat = -0.552, df = 17, p = 0.588","-0.251 (-1.21 to 0.708)",-0.251092201078021,"ns"
"linear","shoot_root_ratio","pea","BS","Stat = -1.71, df = 17, p = 0.106","-0.868 (-1.94 to 0.205)",-0.867540612293059,"ns"
"linear","dry_total_weight","lettuce","BS","Stat = 1.28, df = 17, p = 0.218","0.572 (-0.372 to 1.52)",0.572288593319146,"ns"
"linear","dry_total_weight","radish","BS","Stat = 0.115, df = 17, p = 0.91","0.0514 (-0.893 to 0.995)",0.0514077728961103,"ns"
"linear","dry_total_weight","pea","BS","Stat = -2.38, df = 17, p = 0.0294","-1.19 (-2.24 to -0.134)",-1.18942611039143,"*"
"linear","per_plant_weight","lettuce","BS","Stat = 3.18, df = 17, p = 0.00549","0.928 (0.312 to 1.54)",0.928235469986264,"**"
"linear","per_plant_weight","radish","BS","Stat = 0.176, df = 17, p = 0.862","0.0514 (-0.565 to 0.667)",0.0514077728961107,"ns"
"linear","per_plant_weight","pea","BS","Stat = 0.123, df = 17, p = 0.903","0.0403 (-0.648 to 0.729)",0.0402698042940802,"ns"
"linear","shoot_moisture","lettuce","BS","Stat = -1.68, df = 17, p = 0.112","-0.368 (-0.832 to 0.0951)",-0.368320970516995,"ns"
"linear","shoot_moisture","radish","BS","Stat = -0.616, df = 17, p = 0.546","-0.135 (-0.599 to 0.328)",-0.135293245165984,"ns"
"linear","shoot_moisture","pea","BS","Stat = -1.02, df = 17, p = 0.323","-0.25 (-0.768 to 0.268)",-0.249780158485729,"ns"
"linear","germination_perc","lettuce","BS","Stat = 0.425, df = 18, p = 0.676","0.21 (-0.825 to 1.24)",0.209536219807458,"ns"
"linear","germination_perc","radish","BS","Stat = 0.151, df = 18, p = 0.882","0.0744 (-0.96 to 1.11)",0.0743811837714036,"ns"
"linear","germination_perc","pea","BS","Stat = -4.06, df = 18, p = 0.00074","-2 (-3.03 to -0.963)",-1.99827907719554,"***"
"linear","survival_perc.corr","lettuce","BS","Stat = -0.421, df = 18, p = 0.679","-0.184 (-1.1 to 0.734)",-0.183846633782227,"ns"
"linear","survival_perc.corr","radish","BS","Stat = 2.54e-16, df = 18, p = 1","1.11e-16 (-0.918 to 0.918)",1.11022302462516e-16,"ns"
"linear","survival_perc.corr","pea","BS","Stat = -4.13, df = 18, p = 0.000627","-1.81 (-2.72 to -0.887)",-1.80575096366239,"***"
"linear","wet_pod_weight.corr","pea","BS","Stat = -0.206, df = 4, p = 0.847","-0.27 (-3.91 to 3.37)",-0.270133360447391,"ns"
"linear","dry_pod_weight.corr","pea","BS","Stat = -0.213, df = 4, p = 0.842","-0.272 (-3.82 to 3.27)",-0.272390943052466,"ns"
"linear","pods","pea","BS","Stat = -3.01, df = Inf, p = 0.00262","-1.83 (-3.02 to -0.637)",-1.82812711287918,"**"
"linear","flowers","pea","BS","Stat = -0.611, df = Inf, p = 0.541","-0.511 (-2.15 to 1.13)",-0.510825623766042,"ns"
