"trait","Species","Amendment","Species x Amendment","sig_contrasts"
"dry_total_weight","F [2, 18] = 12.8, P < 0.001","F [2, 18] = 1.44, P > 0.1","F [4, 18] = 0.302, P > 0.1",NA
"per_plant_weight","F [2, 18] = 37.2, P < 0.001","F [2, 18] = 0.32, P > 0.1","F [4, 18] = 0.599, P > 0.1",NA
"shoot_moisture","F [2, 18] = 27.5, P < 0.001","F [2, 18] = 0.419, P > 0.1","F [4, 18] = 2.75, P = 0.0602.","radish_BS / control: t = 2.37, df = 18, P = 0.0544.; log2FC [95% CL] = 0.794 [-0.014 to 1.6]"
"shoot_root_ratio","F [2, 18] = 26, P < 0.001","F [2, 18] = 3.08, P = 0.0705.","F [4, 18] = 0.988, P > 0.1",NA
"germination_perc","F [2, 18] = 2.1, P > 0.1","F [2, 18] = 4.61, P = 0.0241*","F [4, 18] = 0.887, P > 0.1","pea_BS / control: t = -2.12, df = 18, P = 0.0885.; log2FC [95% CL] = -1.27 [-2.71 to 0.174] | all_BS / control: t = -2.14, df = 18, P = 0.0854.; log2FC [95% CL] = -0.739 [-1.57 to 0.0942]"
"survival_perc.corr","F [2, 18] = 10.6, P < 0.001","F [2, 18] = 4.51, P = 0.0259*","F [4, 18] = 2.61, P = 0.0703.","pea_BS / control: t = -2.87, df = 18, P = 0.0197*; log2FC [95% CL] = -1.24 [-2.28 to -0.195]"
"dry_pod_weight.corr","N/A (Pea only)","F [2, 6] = 0.582, P > 0.1","N/A (Pea only)",NA
"per_pod_weight","N/A (Pea only)","F [2, 6] = 0.111, P > 0.1","N/A (Pea only)",NA
"NDVI_mean","N/A (Pea only)","F [2, 5] = 0.142, P > 0.1","N/A (Pea only)",NA
"pods","N/A (Pea only)","X2 = 5.7, df = 2, P = 0.0578.","N/A (Pea only)","pea_RW / control: z = 1.95, P = 0.0962.; log2FC [95% CL] = 0.666 [-0.0945 to 1.43]"
"flowers","N/A (Pea only)","X2 = 3.76, df = 2, P > 0.1","N/A (Pea only)",NA
