contrast,amend,crop,trait,Est_CL,stat.f
linear,RW,lettuce,dry_total_weight,-0.0712 [-0.495 to 0.352],"t = -0.353, df = 18, p > 0.1"
quadratic,RW,lettuce,dry_total_weight,-0.666 [-1.4 to 0.0676],"t = -1.91, df = 18, p = 0.0726."
linear,RW,radish,dry_total_weight,-0.0954 [-0.519 to 0.328],"t = -0.473, df = 18, p > 0.1"
quadratic,RW,radish,dry_total_weight,0.845 [0.112 to 1.58],"t = 2.42, df = 18, p = 0.0263*"
linear,RW,pea,dry_total_weight,-0.162 [-0.586 to 0.261],"t = -0.805, df = 18, p > 0.1"
quadratic,RW,pea,dry_total_weight,0.0333 [-0.701 to 0.767],"t = 0.0955, df = 18, p > 0.1"
linear,BS,lettuce,dry_total_weight,0.572 [-0.372 to 1.52],"t = 1.28, df = 17, p > 0.1"
quadratic,BS,lettuce,dry_total_weight,0.00086 [-1.63 to 1.64],"t = 0.00111, df = 17, p > 0.1"
linear,BS,radish,dry_total_weight,0.0514 [-0.893 to 0.995],"t = 0.115, df = 17, p > 0.1"
quadratic,BS,radish,dry_total_weight,-0.0539 [-1.69 to 1.58],"t = -0.0696, df = 17, p > 0.1"
linear,BS,pea,dry_total_weight,-1.19 [-2.24 to -0.134],"t = -2.38, df = 17, p = 0.0294*"
quadratic,BS,pea,dry_total_weight,-0.188 [-1.89 to 1.51],"t = -0.233, df = 17, p > 0.1"
linear,RW,lettuce,per_plant_weight,-0.0155 [-0.444 to 0.413],"t = -0.0761, df = 18, p > 0.1"
quadratic,RW,lettuce,per_plant_weight,-1.05 [-1.79 to -0.305],"t = -2.96, df = 18, p = 0.00833**"
linear,RW,radish,per_plant_weight,-0.0954 [-0.524 to 0.333],"t = -0.467, df = 18, p > 0.1"
quadratic,RW,radish,per_plant_weight,0.845 [0.103 to 1.59],"t = 2.39, df = 18, p = 0.0279*"
linear,RW,pea,per_plant_weight,-0.168 [-0.597 to 0.261],"t = -0.825, df = 18, p > 0.1"
quadratic,RW,pea,per_plant_weight,-0.739 [-1.48 to 0.00366],"t = -2.09, df = 18, p = 0.051."
linear,BS,lettuce,per_plant_weight,0.928 [0.312 to 1.54],"t = 3.18, df = 17, p = 0.00549**"
quadratic,BS,lettuce,per_plant_weight,-0.297 [-1.36 to 0.77],"t = -0.587, df = 17, p > 0.1"
linear,BS,radish,per_plant_weight,0.0514 [-0.565 to 0.667],"t = 0.176, df = 17, p > 0.1"
