"amend","species","response","SE","df","lower.CL","upper.CL","null","t.ratio","p.value","trait","rate","asymp.LCL","asymp.UCL","z.ratio"
"control","lettuce",10.8915510314391,2.74045278542702,18,6.419682385665,18.4784661832074,1,9.49072586329353,1.98406281330237e-08,"dry_total_weight",NA,NA,NA,NA
"RW","lettuce",15.2789412149805,3.84437596537951,18,9.00569161419621,25.922056256383,1,10.8360001980977,2.56041879651613e-09,"dry_total_weight",NA,NA,NA,NA
"BS","lettuce",12.185222793741,3.06595705696693,18,7.18219654010532,20.6732931498039,1,9.93679479422661,9.84546818764853e-09,"dry_total_weight",NA,NA,NA,NA
"control","radish",8.42042699099771,2.11868654293175,18,4.96315599842932,14.285988740463,1,8.46801598225808,1.0804489932336e-07,"dry_total_weight",NA,NA,NA,NA
"RW","radish",9.67801242367915,2.4351110349032,18,5.70440020022848,16.4195921017492,1,9.02123130981158,4.25239630354702e-08,"dry_total_weight",NA,NA,NA,NA
"BS","radish",8.68360387147432,2.18490519379977,18,5.11827733780817,14.7324912699973,1,8.59033132673258,8.76284309929722e-08,"dry_total_weight",NA,NA,NA,NA
"control","pea",4.31313674325649,1.08524006983632,18,2.54224287227065,7.31761263604742,1,5.80918730656671,1.66975800248908e-05,"dry_total_weight",NA,NA,NA,NA
"RW","pea",6.34823344071912,1.59729628635463,18,3.74176664846321,10.7703316652352,1,7.34532249504219,8.08667499447029e-07,"dry_total_weight",NA,NA,NA,NA
"BS","pea",3.46184178705249,0.871043429962434,18,2.04047382031716,5.87331650092917,1,4.93536556259568,0.000106802305905164,"dry_total_weight",NA,NA,NA,NA
"control","lettuce",1.18830016002766,0.178928198962766,18,0.866041617331519,1.63047276489165,1,1.14576751201769,0.266896447621433,"per_plant_weight",NA,NA,NA,NA
"RW","lettuce",1.23972296183245,0.18667118311951,18,0.903518921417469,1.70103025588381,1,1.4271164139696,0.17066407463319,"per_plant_weight",NA,NA,NA,NA
"BS","lettuce",0.922584136114763,0.138918030493904,18,0.67238588720432,1.26588244103342,1,-0.5351269914203,0.599111552963743,"per_plant_weight",NA,NA,NA,NA
"control","radish",0.561361799399847,0.084527006821891,18,0.40912447630156,0.770247413877918,1,-3.83456734298836,0.00121416171176808,"per_plant_weight",NA,NA,NA,NA
"RW","radish",0.645200828245277,0.0971510617018895,18,0.470226957458434,0.88528337681531,1,-2.91013706214259,0.00933860632672845,"per_plant_weight",NA,NA,NA,NA
