"species","sample_ID","spiking_level","source","treat","plants","wet_shoot_weight","dry_shoot_weight","dry_shoot_weight_notes","wet_root_weight","dry_root_weight","pods","flowers","wet_pod_weight","dry_pod_weight","seeds_planted1","seeds_germinated","seeds_planted2","seeds_germinated2","planting_date1","planting_date2","fungus_presence","infected_peas","seeds_planted_total","seeds_germinated_total","germination_perc.r","germination_perc","survival_perc.r","survival_perc","dry_total_weight","shoot_root_ratio","shoot_moisture","per_plant_weight","infected_peas_perc","wet_pod_weight.corr","dry_pod_weight.corr","per_pod_weight","survival_perc.corr","infected_peas_perc.corr","NDVI_mean","spikeFac","amend","amend_spike"
"lettuce",61,0,NA,"controls",7,219.03,8.564,NA,10.65,0.5126,NA,NA,NA,NA,12,6,NA,NA,2024-07-04,NA,0,NA,12,6,50,50,58.3333333333333,58.3333333333333,9.0766,16.7069840031213,24.5756655768333,1.29665714285714,NA,NA,NA,NA,59.3333333333333,NA,NA,"0","control","control-0"
"lettuce",35,0,"biosolids","S0_BS",12,227,9.4395,NA,25.96,0.3752,NA,NA,NA,NA,12,4,8,NA,2024-07-04,2024-07-15,0,NA,20,4,20,20,60,60,9.8147,25.1585820895522,23.0478838921553,0.817891666666667,NA,NA,NA,NA,61,NA,NA,"0","BS","BS-0"
"lettuce",62,0,NA,"controls",11,280.15,9.9169,NA,14.01,1.0318,NA,NA,NA,NA,12,11,NA,NA,2024-07-04,NA,0,NA,12,11,91.6666666666667,91.6666666666667,91.6666666666667,91.6666666666667,10.9487,9.6112618724559,27.2497554679386,0.995336363636364,NA,NA,NA,NA,92.6666666666667,NA,NA,"0","control","control-0"
"lettuce",27,2,"effluents","S2_EF",11,206.75,10.0578,NA,11.26,0.5002,NA,NA,NA,NA,12,11,NA,NA,2024-07-04,NA,0,NA,12,11,91.6666666666667,91.6666666666667,91.6666666666667,91.6666666666667,10.558,20.1075569772091,19.5561852492593,0.959818181818182,NA,NA,NA,NA,92.6666666666667,NA,NA,"2","RW","RW-2"
"lettuce",63,0,NA,"controls",10,239.82,10.9447,NA,31.67,2.0565,NA,NA,NA,NA,12,10,NA,NA,2024-07-04,NA,0,NA,12,10,83.3333333333333,83.3333333333333,83.3333333333333,83.3333333333333,13.0012,5.32200340384148,20.9119756594516,1.30012,NA,NA,NA,NA,84.3333333333333,NA,NA,"0","control","control-0"
"lettuce",7,0,"effluents","S0_EF",12,216.72,11.804,NA,6.72,0.4472,NA,NA,NA,NA,12,12,NA,NA,2024-07-04,NA,0,NA,12,12,100,100,100,100,12.2512,26.3953488372093,17.3598780074551,1.02093333333333,NA,NA,NA,NA,101,NA,NA,"0","RW","RW-0"
"lettuce",43,1,"biosolids","S1_BS",12,353.18,12.4238,NA,15.44,0.7669,NA,NA,NA,NA,12,12,NA,NA,2024-07-04,NA,0,NA,12,12,100,100,100,100,13.1907,16.2000260790194,27.4276952301228,1.099225,NA,NA,NA,NA,101,NA,NA,"1","BS","BS-1"
"lettuce",36,0,"biosolids","S0_BS",16,347.71,12.761,NA,16.67,0.8995,NA,NA,NA,NA,12,16,NA,NA,2024-07-04,NA,0,NA,12,16,133.333333333333,100,133.333333333333,100,13.6605,14.1867704280156,26.2478645874148,0.85378125,NA,NA,NA,NA,101,NA,NA,"0","BS","BS-0"
"lettuce",54,2,"biosolids","S2_BS",9,218.42,13.0228,NA,10.33,0.2455,NA,NA,NA,NA,12,9,NA,NA,2024-07-04,NA,0,NA,12,9,75,75,75,75,13.2683,53.0460285132383,15.7721227385816,1.47425555555556,NA,NA,NA,NA,76,NA,NA,"2","BS","BS-2"
"lettuce",34,0,"biosolids","S0_BS",12,229.08,13.0828,NA,22.3,0.4117,NA,NA,NA,NA,12,6,6,NA,2024-07-04,2024-07-15,0,NA,18,6,33.3333333333333,33.3333333333333,66.6666666666667,66.6666666666667,13.4945,31.7775078940976,16.5100131470327,1.12454166666667,NA,NA,NA,NA,67.6666666666667,NA,NA,"0","BS","BS-0"
