pot_ID,treatment,num_seeds,num_plants,control,spiking_level,contam,t1,t2,t3,t4,leaf_num,leaf_num_notes,plant_height1,plant_height2,plant_height3,plant_height4,chlorophyll_content1a,chlorophyll_content1b,chlorophyll_content1b_notes,chlorophyll_content1c,chlorophyll_content1c_notes,chlorophyll_content1_mean,chlorophyll_content1_mean_notes,chlorophyll_content2a,chlorophyll_content2b,chlorophyll_content2b_notes,chlorophyll_content2c,chlorophyll_content2_mean,chlorophyll_content2_mean_notes,chlorophyll_content3a,chlorophyll_content3b,chlorophyll_content3b_notes,chlorophyll_content3c,chlorophyll_content3_mean,chlorophyll_content3_mean_notes,chlorophyll_content4a,chlorophyll_content4b,chlorophyll_content4c,chlorophyll_content4_mean,chlorophyll_content4_mean_notes,nitrogen_content,num_flowers,num_nod,num_flower_time,num_pods,wet_shoot_weight,dry_shoot_weight,leaf_number2,wet_root_weight,dry_root_weight
14,11SL1-RW-P,1,1,N,1,RW,Oct 25/24,Nov 1/24,Nov 8/24,Nov 15/24,1,,3,4.5,8,11,,,,,,,2 leaves,,,,,,1 leaf,,,,,,4 leaves,0.7535,0.7581,0.7175,0.743033333,,,,,,,808.1,68.6,7,199.5,33.8
29,28US-BS-P,1,1,N,0,BS,Oct 25/24,Nov 1/24,Nov 8/24,Nov 15/24,2,,4.5,9,12.5,16,,,,,,,2 leaves,0.7503,0.8001,,0.8096,0.786666667,,0.7903,0.7854,,0.7498,0.775166667,,0.6844,0.7147,0.7437,0.714266667,,,,,,,1263.9,106.1,8,344.1,34.2
4,2US-RW-P,1,1,N,0,RW,Oct 25/24,Nov 1/24,Nov 8/24,Nov 15/24,2,,4.5,5,6.4,10,0.7565,0.7531,,0.7759,,0.761833333,,0.8007,,,,,2 leaves,0.787,,6 leaves ,,0.787,,0.6982,0.634,0.7416,0.691266667,,,,,,,732.9,89.1,7,436.1,48.3
1,1US-RW-P,1,1,N,0,RW,Oct 25/24,Nov 1/24,Nov 8/24,Nov 15/24,2,,2,3,5.7,8,0.7765,0.7703,,0.774,,0.7736,,,,,,,2 leaves,,,,,,4 leaves,,,,,5 leaves,,,,,,539.9,51.6,7,275.2,38
54,48SL2-BS-P,1,1,N,2,BS,Oct 25/24,Nov 1/24,Nov 8/24,Nov 15/24,3,,7.5,9.5,12.7,13,,,,,,,4 leaves,0.7645,0.7531,,0.7661,0.761233333,,0.7078,0.6731,,0.7361,0.705666667,,0.5521,0.7199,0.7475,0.673166667,,,1,,,,898,116.5,8,366.9,54
37,37SL1-BS-P,1,1,N,1,BS,Oct 25/24,Nov 1/24,Nov 8/24,Nov 15/24,3,,6,8,11,12.5,,,,,,,3 leaves,0.7383,0.7872,,0.8048,0.776766667,,0.7574,0.7718,,0.5907,0.706633333,,0.5545,0.5663,0.6353,0.585366667,,,,,,,1537.4,146.3,10,618.3,59.2
28,28US-BS-P,1,1,N,0,BS,Oct 25/24,Nov 1/24,Nov 8/24,Nov 15/24,3,,8,10,13.5,16,,,,,,,3 leaves,0.7264,0.8074,,0.8148,0.782866667,,0.7428,0.7301,,0.7197,0.730866667,,0.7186,0.7237,0.6463,0.6962,,,,,,,1130.2,134.1,8,245.4,21.7
22,20SL2-RW-P,1,1,N,2,RW,Oct 25/24,Nov 1/24,Nov 8/24,Nov 15/24,3,,6,7,11.5,15.5,,,,,,,5 leaves,0.7386,,5 leaves,,0.7386,,0.7474,0.7158,,0.7352,0.7328,,0.7463,0.7064,0.6727,0.708466667,,,,,,,1108.2,112.3,10,723.2,54.2
55,55Control,1,1,Y,0,control,Oct 25/24,Nov 1/24,Nov 8/24,Nov 15/24,3,,7,11,13.5,16.5,,,,,,,4 leaves,0.7046,0.7477,,0.7674,0.7399,,0.7297,0.7433,,0.7263,0.7331,,0.6769,0.7418,0.727,0.715233333,,,,7,,,1145.3,127,9,505.4,36.6
47,46SL2-BS-P,1,1,N,2,BS,Oct 25/24,Nov 1/24,Nov 8/24,Nov 15/24,3,,8,8,13.4,14,0.5825,0.7804,,,3 leaves,0.68145,,0.7324,0.8069,,0.7348,0.758033333,,0.7461,0.7386,,0.7427,0.742466667,,0.6875,0.7201,0.6506,0.686066667,,,1,,,,1084,116.1,6,258.7,38.7
