"contrast","ratio","SE","df","lower.CL","upper.CL","null","t.ratio","p.value","trait"
"(10SL1-RW-P) / Saline Control",1.16805057383847,0.245844126980158,50,0.609102410329306,2.23992241683424,1,0.738030718510967,0.991080551518474,"plant_height4"
"(11SL1-RW-P) / Saline Control",0.544147005706842,0.114528727234173,50,0.283755909352729,1.04348827305532,1,-2.8912654655881,0.0819149257837352,"plant_height4"
"(12SL1-RW-P) / Saline Control",1.01787906171695,0.214236947358232,50,0.53079259049383,1.95194470088184,1,0.0841962520889192,0.999999979228128,"plant_height4"
"(19SL2-RW-P) / Saline Control",0.634288053314886,0.133501062551343,50,0.330761690264456,1.2163480427746,1,-2.16298622061806,0.351825490766411,"plant_height4"
"(1US-RW-P) / Saline Control",0.710947506235338,0.149635874433736,50,0.370737234640868,1.36335471432178,1,-1.62089802186822,0.691826320289304,"plant_height4"
"(20SL2-RW-P) / Saline Control",1.06287957752787,0.223708380163438,50,0.554258973936818,2.03824033430014,1,0.289735760897361,0.99996065661964,"plant_height4"
"(21SL2-RW-P) / Saline Control",1.09803150203483,0.231106941823047,50,0.572589620249964,2.10564973031563,1,0.444326092166002,0.999497049252878,"plant_height4"
"(28US-BS-P) / Saline Control",1.1756355303559,0.247440562147415,50,0.613057731614607,2.25446777515574,1,0.768783681925685,0.988897257794909,"plant_height4"
"(29US-BS-P) / Saline Control",0.981401493919346,0.206559372422336,50,0.511770662020771,1.88199317339538,1,-0.0891969768753847,0.999999970395817,"plant_height4"
"(2US-RW-P) / Saline Control",0.772720083378209,0.162637387929079,50,0.40294973166172,1.48181343810224,1,-1.2250376293534,0.893022814733715,"plant_height4"
"(30US-BS-P) / Saline Control",1.15782193503835,0.243691265766497,50,0.603768490131771,2.22030737802065,1,0.696241279405281,0.993501918087073,"plant_height4"
"(37SL1-BS-P) / Saline Control",0.821981542329468,0.173005637935449,50,0.428638065759229,1.57628010646598,1,-0.931409380614605,0.97007193479292,"plant_height4"
"(38SL1-BS-P) / Saline Control",1.09917767353716,0.231348180977131,50,0.573187313398153,2.10784769613929,1,0.449282990899681,0.999463241608103,"plant_height4"
"(39SL1-BS-P) / Saline Control",0.961395444101973,0.202348621653634,50,0.501338123021295,1.84362839667944,1,-0.187051542187775,0.999997237537023,"plant_height4"
"(3US-RW-P) / Saline Control",1.00550313025766,0.211632137144255,50,0.524338923289033,1.92821188748681,1,0.0260747013807739,0.999999999984634,"plant_height4"
"(46SL2-BS-P) / Saline Control",1.10613806834429,0.232813162222911,50,0.5768169449816,2.12119535822491,1,0.479274363603627,0.999217078360142,"plant_height4"
"(47SL2-BS-P) / Saline Control",0.45466184333788,0.0956944386228672,50,0.237092152398673,0.871886267411338,1,-3.74488923621485,0.00838078301916323,"plant_height4"
"(48SL2-BS-P) / Saline Control",0.92821709568867,0.195365446196165,50,0.484036635875171,1.7800036461515,1,-0.353913925392035,0.999869267231663,"plant_height4"
"55Control / Saline Control",1.04091577522884,0.219085573649483,50,0.542805527296771,1.99612125638484,1,0.190526635992342,0.9999969092754,"plant_height4"
"56Control / Saline Control",0.875613596124826,0.184293783961646,50,0.456605530498629,1.67912808432563,1,-0.631101544359148,0.996226314049762,"plant_height4"
"57Control / Saline Control",1.08760652291019,0.228912756101053,50,0.56715331461845,2.08565817775847,1,0.399001693097296,0.999733275216786,"plant_height4"
"No treatment / Saline Control",0.689712380004819,0.145166435193362,50,0.359663770134831,1.32263298845358,1,-1.76497256080684,0.600302274738239,"plant_height4"
"(10SL1-RW-P) / Saline Control",1.00703373655596,0.0364303271566742,44,0.89983313892982,1.12700555546105,1,0.193751087012853,0.999996521628698,"chlorophyll_content4_mean"
"(11SL1-RW-P) / Saline Control",0.978093147960128,0.0411117678226127,44,0.858191921688834,1.11474622623332,1,-0.526981115995947,0.998625672074962,"chlorophyll_content4_mean"
"(12SL1-RW-P) / Saline Control",0.99336863575076,0.035935980170182,44,0.887622713295631,1.11171247841274,1,-0.183919513475862,0.999997468139092,"chlorophyll_content4_mean"
"(19SL2-RW-P) / Saline Control",1.03770135317833,0.0436172538270532,44,0.910492952824076,1.18268251835245,1,0.880460805567808,0.977257693006058,"chlorophyll_content4_mean"
"(1US-RW-P) / Saline Control",1.0082337553893,0.0423786549869335,44,0.884637691055952,1.14909789146902,1,0.195087836144998,0.999996372744238,"chlorophyll_content4_mean"
"(20SL2-RW-P) / Saline Control",0.991055762936503,0.0358523099710253,44,0.88555605005601,1.10912406412619,1,-0.248355478087725,0.999984261859617,"chlorophyll_content4_mean"
"(21SL2-RW-P) / Saline Control",0.958389604565091,0.0346705830901641,44,0.856367264460154,1.07256626012842,1,-1.17484090312404,0.910309601736221,"chlorophyll_content4_mean"
"(28US-BS-P) / Saline Control",0.99069689977957,0.0358393277821104,44,0.885235388543663,1.10872244821519,1,-0.258366775697959,0.999980005759074,"chlorophyll_content4_mean"
"(29US-BS-P) / Saline Control",0.993676061056249,0.0359471015497829,44,0.887897412610642,1.11205652848236,1,-0.175366031889214,0.99999810680556,"chlorophyll_content4_mean"
"(2US-RW-P) / Saline Control",0.921699703342058,0.0333432937885441,44,0.823583070856614,1.03150534925061,1,-2.25387246442496,0.305477836222327,"chlorophyll_content4_mean"
"(30US-BS-P) / Saline Control",0.951522399020819,0.0344221559168248,44,0.850231085605101,1.0648809378617,1,-1.37362402379388,0.828942807877656,"chlorophyll_content4_mean"
"(37SL1-BS-P) / Saline Control",0.879569385085886,0.0318191926372399,44,0.785937602641998,0.984355883443798,1,-3.54719338100772,0.0159932467781579,"chlorophyll_content4_mean"
"(38SL1-BS-P) / Saline Control",0.989817963488206,0.035807531492193,44,0.884450016640748,1.10773880084837,1,-0.282902013054333,0.999965404934968,"chlorophyll_content4_mean"
"(39SL1-BS-P) / Saline Control",1.0035460109211,0.0363041556280568,44,0.896716688118081,1.12310232359927,1,0.0978480435132859,0.999999946891368,"chlorophyll_content4_mean"
"(3US-RW-P) / Saline Control",0.977899340185369,0.0353763648585264,44,0.873800152759333,1.0944002659134,1,-0.617774636633683,0.996609765324458,"chlorophyll_content4_mean"
"(46SL2-BS-P) / Saline Control",0.956481278156843,0.0346015477114568,44,0.854662082915879,1.07043058742386,1,-1.22993743380481,0.890727524454918,"chlorophyll_content4_mean"
"(47SL2-BS-P) / Saline Control",1.01907364289718,0.057112377743448,44,0.856008039355359,1.21320249565623,1,0.337131808876036,0.999900740192004,"chlorophyll_content4_mean"
"(48SL2-BS-P) / Saline Control",1.01219816498268,0.0366171548768718,44,0.904447804430393,1.13278524219488,1,0.335150613564566,0.999904180662882,"chlorophyll_content4_mean"
"55Control / Saline Control",1.00505779445129,0.0363588457209458,44,0.898067539504646,1.12479421174097,1,0.139458871240838,0.999999533630951,"chlorophyll_content4_mean"
"56Control / Saline Control",0.968200695552157,0.0350255078969984,44,0.865133946725844,1.08354618428207,1,-0.893299265411816,0.975525171571861,"chlorophyll_content4_mean"
"57Control / Saline Control",1.01923541080524,0.0368717334061616,44,0.910735922462652,1.14066086229505,1,0.526670015677883,0.99863033010485,"chlorophyll_content4_mean"
"No treatment / Saline Control",1.03530258808741,0.0435164275676273,44,0.90838824446644,1.17994861275429,1,0.82540135844786,0.983688460246087,"chlorophyll_content4_mean"
"(10SL1-RW-P) / Saline Control",1.15208039431533,0.256914107298103,50,0.577939547803395,2.29658835428456,1,0.63483967593486,0.996099754167727,"leaf_number2"
"(11SL1-RW-P) / Saline Control",0.550145174666009,0.122682459601852,50,0.275979571427086,1.0966743358693,1,-2.67969804685514,0.132235321004501,"leaf_number2"
"(12SL1-RW-P) / Saline Control",1.03258770950003,0.230267219980643,50,0.517996206549847,2.05838839035575,1,0.143802549439513,0.999999446231611,"leaf_number2"
"(19SL2-RW-P) / Saline Control",0.647801491746178,0.144459833514706,50,0.324968728791403,1.29134509117012,1,-1.94695366072151,0.482416680616654,"leaf_number2"
"(1US-RW-P) / Saline Control",0.949610398657882,0.211763266744222,50,0.476370752508027,1.8929791648449,1,-0.231854031763123,0.999989790137656,"leaf_number2"
"(20SL2-RW-P) / Saline Control",1.06949669873565,0.238497930326493,50,0.536511550317491,2.13196377213047,1,0.301291999514085,0.999950203141267,"leaf_number2"
"(21SL2-RW-P) / Saline Control",0.987634614225064,0.22024267273564,50,0.495445548033505,1.96877766908409,1,-0.0557958054169263,0.99999999834261,"leaf_number2"
"(28US-BS-P) / Saline Control",1.02832076946445,0.229315691688394,50,0.515855701940242,2.04988255617742,1,0.125233773167886,0.999999762577446,"leaf_number2"
"(29US-BS-P) / Saline Control",0.848860092324741,0.189295932746257,50,0.425829499683538,1.692140767319,1,-0.734801717430612,0.991289129694079,"leaf_number2"
"(2US-RW-P) / Saline Control",0.940735015859121,0.209784054998302,50,0.471918428914459,1.87528673567413,1,-0.273962936544989,0.999971936967276,"leaf_number2"
"(30US-BS-P) / Saline Control",1.07393449520662,0.239487559630435,50,0.538737764823295,2.14081019616842,1,0.319860775785713,0.999928659150138,"leaf_number2"
"(37SL1-BS-P) / Saline Control",1.15208039431533,0.256914107298103,50,0.577939547803395,2.29658835428456,1,0.63483967593486,0.996099754167727,"leaf_number2"
"(38SL1-BS-P) / Saline Control",1.18039420480291,0.26322809144497,50,0.592143131954749,2.35302987325498,1,0.743714523618786,0.990704143264751,"leaf_number2"
"(39SL1-BS-P) / Saline Control",1.06949669873565,0.238497930326493,50,0.536511550317491,2.13196377213047,1,0.301291999514085,0.999950203141267,"leaf_number2"
"(3US-RW-P) / Saline Control",0.987634614225064,0.22024267273564,50,0.495445548033505,1.96877766908409,1,-0.0557958054169258,0.99999999834261,"leaf_number2"
"(46SL2-BS-P) / Saline Control",0.971702237619268,0.216689750272058,50,0.487453093187105,1.93701763675519,1,-0.128725745785162,0.999999718991998,"leaf_number2"
"(47SL2-BS-P) / Saline Control",0.598217065234064,0.133402498682774,50,0.300094769319562,1.19250214840025,1,-2.30404146565252,0.277466533855951,"leaf_number2"
"(48SL2-BS-P) / Saline Control",0.992832786887421,0.221401866048642,50,0.498053204211589,1.97913984767756,1,-0.0322556769066863,0.999999999943009,"leaf_number2"
"55Control / Saline Control",1.03258770950003,0.230267219980642,50,0.517996206549847,2.05838839035574,1,0.143802549439511,0.999999446231611,"leaf_number2"
"56Control / Saline Control",1.02832076946445,0.229315691688394,50,0.515855701940242,2.04988255617742,1,0.125233773167887,0.999999762577446,"leaf_number2"
"57Control / Saline Control",1.15208039431533,0.256914107298103,50,0.577939547803395,2.29658835428456,1,0.634839675934859,0.996099754167727,"leaf_number2"
"No treatment / Saline Control",0.848860092324741,0.189295932746257,50,0.425829499683538,1.692140767319,1,-0.734801717430611,0.991289129694079,"leaf_number2"
"(10SL1-RW-P) / Saline Control",1.33541597672353,0.442963259446889,50,0.478599569915443,3.72615426964036,1,0.871989937318174,0.978548123581476,"wet_shoot_weight"
"(11SL1-RW-P) / Saline Control",0.491396179223494,0.162998239516832,50,0.176111417066822,1.37112181014265,1,-2.14198167999892,0.363734349118517,"wet_shoot_weight"
"(12SL1-RW-P) / Saline Control",1.00122814657376,0.332111709749373,50,0.358830034004186,2.79368421395807,1,0.00370026229469259,1,"wet_shoot_weight"
"(19SL2-RW-P) / Saline Control",0.707062067206837,0.234535548009276,50,0.253403888501458,1.97288514331511,1,-1.04501749874988,0.94767667696706,"wet_shoot_weight"
"(1US-RW-P) / Saline Control",0.746441464702772,0.247597864601183,50,0.267517065993407,2.08276379736219,1,-0.881622738060592,0.977310387947563,"wet_shoot_weight"
"(20SL2-RW-P) / Saline Control",1.20559891022198,0.399902376612125,50,0.432074447198424,3.36393124322145,1,0.563684126178894,0.998005839377373,"wet_shoot_weight"
"(21SL2-RW-P) / Saline Control",1.1835198302918,0.392578650236276,50,0.424161528420383,3.30232492774707,1,0.50796113023689,0.998903017715491,"wet_shoot_weight"
"(28US-BS-P) / Saline Control",1.25000060610497,0.414630611316609,50,0.44798756560012,3.48782340235199,1,0.67271970009785,0.994620058087098,"wet_shoot_weight"
"(29US-BS-P) / Saline Control",0.816827126466615,0.270945093252539,50,0.292742574775352,2.2791579087658,1,-0.60996431102483,0.996882454432662,"wet_shoot_weight"
"(2US-RW-P) / Saline Control",0.904318484398626,0.299966355360009,50,0.32409859193213,2.52328131495333,1,-0.30320278130084,0.999948271860546,"wet_shoot_weight"
"(30US-BS-P) / Saline Control",1.16689765004795,0.38706500110502,50,0.418204307259018,3.25594476683398,1,0.465319963765827,0.999340988582422,"wet_shoot_weight"
"(37SL1-BS-P) / Saline Control",1.11089206705741,0.368487706822845,50,0.398132473164372,3.09967477619339,1,0.317039446367147,0.999932354955626,"wet_shoot_weight"
"(38SL1-BS-P) / Saline Control",1.15071628738463,0.381697573073177,50,0.412405070656868,3.21079460042331,1,0.423222114194175,0.99962220530777,"wet_shoot_weight"
