"contam","response","SE","df","lower.CL","upper.CL","null","t.ratio","p.value","trait"
"control",14.495018903995,1.1424536932071,6,11.9525763695706,17.5782665201845,1,33.9242239887967,4.36833319860203e-08,"plant_height4"
"RW",11.9279701410579,0.940126648359174,6,9.83579083195667,14.4651786639983,1,31.4511657846128,6.864180019242e-08,"plant_height4"
"BS",16.0105365431108,1.26190222483001,6,13.2022705190533,19.4161511861423,1,35.1859060032195,3.51220144744728e-08,"plant_height4"
"control",0.718291621570575,0.013904670670872,6,0.685061344526817,0.753133799973572,1,-17.0926787575533,2.56603116685803e-06,"chlorophyll_content4_mean"
"RW",0.697651879784772,0.0135051270821052,6,0.665376457728956,0.73149288604,1,-18.5987974088226,1.55878377775426e-06,"chlorophyll_content4_mean"
"BS",0.704734240979821,0.0136422272473194,6,0.672131168123734,0.738918791395751,1,-18.0770212297303,1.84414755394724e-06,"chlorophyll_content4_mean"
"control",8.96280949311434,0.427584816982026,6,7.97530576261487,10.0725861052783,1,45.9702752752849,7.09919093967772e-09,"leaf_number2"
"RW",8.03774841334124,0.383453334237039,6,7.15216599087779,9.03298380358767,1,43.6868421502139,9.6298909779165e-09,"leaf_number2"
"BS",8.20185755717921,0.391282417102958,6,7.29819393017007,9.21741296982638,1,44.110508491209,9.08952551460325e-09,"leaf_number2"
"control",1142.23481890164,122.36111669303,6,878.853525768031,1484.54815649865,1,65.7249694105536,8.34332265619396e-10,"wet_shoot_weight"
"RW",908.498913094606,97.3223190898298,6,699.013425013066,1180.76455409802,1,63.5877486561513,1.01712100402294e-09,"wet_shoot_weight"
"BS",1093.3945361361,117.129135107543,6,841.275040155691,1421.07105832003,1,65.3170358559131,8.66049618035919e-10,"wet_shoot_weight"
"control",131.525727193669,15.4487302157537,6,98.6712336200871,175.319759155232,1,41.5400259367405,1.3018049470106e-08,"dry_shoot_weight"
"RW",103.234111410072,12.1256576204966,6,77.4467272817757,137.607903299161,1,39.4779830485184,1.7651977248005e-08,"dry_shoot_weight"
"BS",126.127090832175,14.8146179514751,6,94.621150636167,168.123542514894,1,41.1831965071712,1.37074740115349e-08,"dry_shoot_weight"
"control",355.340195502155,123.15611685972,6,152.171625408347,829.764775139108,1,16.9454826523583,2.70021676428863e-06,"wet_root_weight"
"RW",392.614995192483,136.075059452457,6,168.134263262002,916.806196782082,1,17.2333006894949,2.44503473421707e-06,"wet_root_weight"
"BS",146.235129883495,50.6831227451687,6,62.6240365932293,341.477719664508,1,14.3837561942851,7.07077834390138e-06,"wet_root_weight"
"control",49.3087895595265,6.69402870124751,6,35.3718454741862,68.7370617854824,1,28.7137562673776,1.18167133229016e-07,"dry_root_weight"
"RW",52.784843760329,7.16592847398829,6,37.8654060168202,73.5827242830741,1,29.215546899627,1.06569570657301e-07,"dry_root_weight"
"BS",32.9986072390893,4.47980220023431,6,23.6716748991645,46.0004661418407,1,25.75526370155,2.25860979056036e-07,"dry_root_weight"
"control",182.796713684035,20.7238253017468,6,138.513267855486,241.237818232296,1,45.9410249553802,7.12628670021294e-09,"dry_total_weight"
"RW",157.066941266289,17.8068182183442,6,119.016665389644,207.282097494344,1,44.6029160703032,8.5053275191027e-09,"dry_total_weight"
"BS",160.838744923728,18.2344309390212,6,121.87473017523,212.259767315552,1,44.8122307163098,8.27033558535313e-09,"dry_total_weight"
"control",2.6673890875964,0.240370119205817,6,2.13955566623677,3.32544025701503,1,10.8872757300323,3.5600808829533e-05,"shoot_root_ratio"
"RW",1.9557529028372,0.176241464201128,6,1.56874084267735,2.43824174962393,1,7.44359802383276,0.000302858607803293,"shoot_root_ratio"
"BS",3.82219437076024,0.344434683638645,6,3.06584354770207,4.76513872301839,1,14.8791421569718,5.79883797899728e-06,"shoot_root_ratio"
"control",7.67249043649741,0.513228059543413,6,6.51405720030998,9.03693469184504,1,30.4616686435584,8.30679027047502e-08,"shoot_moisture"
"RW",7.79204265410656,0.521225143823347,6,6.61555879100931,9.17774758587744,1,30.6928141394705,7.94044879313396e-08,"shoot_moisture"
"BS",7.65467239618417,0.512036175587282,6,6.49892942207962,9.01594796426549,1,30.4269106802366,8.3635658418803e-08,"shoot_moisture"
