trait,amend,log2FC_CL,stat.f
plant_height4,RW,-0.281 [-0.748 to 0.185],"t = -1.75, df = 6, P > 0.1"
plant_height4,BS,0.143 [-0.323 to 0.61],"t = 0.892, df = 6, P > 0.1"
chlorophyll_content4_mean,RW,-0.0421 [-0.157 to 0.0725],"t = -1.06, df = 6, P > 0.1"
chlorophyll_content4_mean,BS,-0.0275 [-0.142 to 0.0871],"t = -0.696, df = 6, P > 0.1"
leaf_num2,RW,-0.15 [-1.05 to 0.746],"z = -0.372, P > 0.1"
leaf_num2,BS,-0.0919 [-0.979 to 0.795],"z = -0.23, P > 0.1"
dry_total_weight,RW,-0.219 [-0.89 to 0.452],"t = -0.946, df = 6, P > 0.1"
dry_total_weight,BS,-0.185 [-0.856 to 0.486],"t = -0.798, df = 6, P > 0.1"
shoot_root_ratio,RW,-0.448 [-0.981 to 0.0857],"t = -2.44, df = 6, P =0.0917."
shoot_root_ratio,BS,0.519 [-0.0144 to 1.05],"t = 2.82, df = 6, P =0.0553."
shoot_moisture,RW,0.0223 [-0.374 to 0.418],"t = 0.163, df = 6, P > 0.1"
shoot_moisture,BS,-0.00335 [-0.399 to 0.393],"t = -0.0246, df = 6, P > 0.1"
