"treatment","SE","df","null","p.value","trait","amend","spikeFac","amend_spike","emmean","LCL","UCL","stat"
"Saline Control",0.617808276986722,48,1,7.83878001545965e-27,"plant_height1","saline","0","saline-0",7.01730435064105,5.87885190570676,8.3762205851324,22.1304407627179
"10SL1-RW-P",1.08970517381366,48,1,2.22743653540826e-20,"plant_height1","RW","1","RW-1",8.10283901904389,6.18307397298922,10.6186664522143,15.557306384709
"11SL1-RW-P",0.634456087148957,48,1,1.92621637489039e-15,"plant_height1","RW","1","RW-1",4.71769398031652,3.59995438557595,6.18247736168299,11.5353193458631
"12SL1-RW-P",0.984238821826779,48,1,1.62820725280396e-19,"plant_height1","RW","1","RW-1",7.31861142004593,5.58464948931532,9.59094625725445,14.8003865605382
"19SL2-RW-P",0.963291178687957,48,1,2.50021719749012e-19,"plant_height1","RW","2","RW-2",7.16284875665669,5.46579089324769,9.38682128767877,14.6404211986918
"1US-RW-P",0.50831905339859,48,1,3.66830357850673e-13,"plant_height1","RW","0","RW-0",3.77976314968462,2.8842428067436,4.95333105600904,9.88710719057043
"20SL2-RW-P",0.956693086829545,48,1,2.86922353263408e-19,"plant_height1","RW","2","RW-2",7.11378660898012,5.42835279437334,9.32252597335964,14.5893141748514
"21SL2-RW-P",1.12462462871307,48,1,1.21856070987705e-20,"plant_height1","RW","2","RW-2",8.36249339940477,6.38120974212011,10.9589401823759,15.7918476959101
"28US-BS-P",0.90624497388897,48,1,8.58472199414724e-19,"plant_height1","BS","0","BS-0",6.73866410080533,5.14210618234924,8.83093274490424,14.1864942944798
"29US-BS-P",0.954028189775242,48,1,3.03435821267178e-19,"plant_height1","BS","0","BS-0",7.0939709447507,5.41323195617497,9.29655779992232,14.5685726074438
"2US-RW-P",0.771778015872217,48,1,2.48571833117357e-17,"plant_height1","RW","0","RW-0",5.73879354831716,4.37912994958467,7.52061522936314,12.9922090433991
"30US-BS-P",1.09514020224609,48,1,2.02445683380076e-20,"plant_height1","BS","0","BS-0",8.14325284978471,6.21391275732334,10.6716282582781,15.59430114374
"37SL1-BS-P",0.799364579432909,48,1,1.17285154861101e-17,"plant_height1","BS","1","BS-1",5.94392195276313,4.53565830904852,7.78943336848293,13.2533559168392
"38SL1-BS-P",1.07183223507909,48,1,3.06352830216995e-20,"plant_height1","BS","1","BS-1",7.96993926886957,6.08166149467288,10.4445030367291,15.4343357818937
"39SL1-BS-P",0.98423882182678,48,1,1.62820725280402e-19,"plant_height1","BS","1","BS-1",7.31861142004594,5.58464948931532,9.59094625725445,14.8003865605382
"3US-RW-P",1.04746392119211,48,1,4.78568968345731e-20,"plant_height1","RW","0","RW-0",7.78874115277665,5.94339374025549,10.2070452331076,15.2633298546164
"46SL2-BS-P",1.02903735449629,48,1,6.7676786733178e-20,"plant_height1","BS","2","BS-2",7.65172473108955,5.83883993277955,10.0274869724842,15.1313578496618
"47SL2-BS-P",0.762129779234896,48,1,3.25994668687392e-17,"plant_height1","BS","2","BS-2",5.66705110809706,4.32438508622984,7.42659768299764,12.8986657592401
"48SL2-BS-P",0.98256209145583,48,1,1.68432150308175e-19,"plant_height1","BS","2","BS-2",7.3061435740628,5.57513558760552,9.57460730524499,14.7877082574935
"55Control",0.799364579432909,48,1,1.17285154861106e-17,"plant_height1","control","0","control-0",5.94392195276312,4.53565830904852,7.78943336848293,13.2533559168392
"56Control",1.00713626016789,48,1,1.03282212473781e-19,"plant_height1","control","0","control-0",7.4888723872185,5.71457137870081,9.81407106770518,14.9713924878154
"57Control",1.07024197720193,48,1,3.15272097914606e-20,"plant_height1","control","0","control-0",7.95811441579278,6.07263824478211,10.429006718664,15.4232952164628
"Saline Control",0.947213344468284,48,1,7.4570106522673e-31,"plant_height2","saline","0","saline-0",10.8328176371323,9.08633667660454,12.9149889703644,27.2484091663167
"10SL1-RW-P",1.57446399686276,48,1,1.87398556095631e-23,"plant_height2","RW","1","RW-1",11.7879413343611,9.01171464599993,15.4194364070346,18.4708955176243
"11SL1-RW-P",0.863275382061756,48,1,1.55230366919403e-18,"plant_height2","RW","1","RW-1",6.46330407009565,4.94110466772092,8.45444537441529,13.9717113780032
"12SL1-RW-P",1.48271199427834,48,1,5.2836636567417e-23,"plant_height2","RW","1","RW-1",11.1009982058231,8.48655632727215,14.5208676421168,18.0213633414807
"19SL2-RW-P",1.37877160257472,48,1,1.90207421003262e-22,"plant_height2","RW","2","RW-2",10.3228011545637,7.89163567358121,13.5029324824754,17.4772123409101
"1US-RW-P",0.830039032557022,48,1,3.52375841887984e-18,"plant_height2","RW","0","RW-0",6.21446501190772,4.75087072257629,8.12894680562528,13.6777659427595
"20SL2-RW-P",1.26373468381862,48,1,9.18448370511478e-22,"plant_height2","RW","2","RW-2",9.4615249029094,7.23320214467823,12.3763240260385,16.8249369183696
"21SL2-RW-P",1.44452460422727,48,1,8.34055704025447e-23,"plant_height2","RW","2","RW-2",10.8150909291046,8.26798425264773,14.1468812990715,17.8260094724582
"28US-BS-P",1.40741893267789,48,1,1.31989765040379e-22,"plant_height2","BS","0","BS-0",10.5372824302963,8.05560357934085,13.783488713445,17.6311780023651
"29US-BS-P",1.45622931276347,48,1,7.23940768549738e-23,"plant_height2","BS","0","BS-0",10.9027235569928,8.33497815886154,14.2615107915823,17.8864303878499
"2US-RW-P",1.04578364935297,48,1,3.28391293646265e-20,"plant_height2","RW","0","RW-0",7.82973528233773,5.98572202870313,10.241831193883,15.4076198944957
"30US-BS-P",1.48918680127804,48,1,4.89759789828279e-23,"plant_height2","BS","0","BS-0",11.1494747954535,8.52361599531504,14.584278348858,18.0539867042972
"37SL1-BS-P",1.04578364935297,48,1,3.28391293646267e-20,"plant_height2","BS","1","BS-1",7.82973528233773,5.98572202870313,10.241831193883,15.4076198944957
"38SL1-BS-P",1.42327850909379,48,1,1.08268517818487e-22,"plant_height2","BS","1","BS-1",10.6560223676661,8.146378584264,13.9388087020092,17.7150733548466
"39SL1-BS-P",1.23991362010959,48,1,1.30303861942182e-21,"plant_height2","BS","1","BS-1",9.28317766722556,7.09685820214428,12.1430335997466,16.6824627398578
"3US-RW-P",1.53301133267701,48,1,2.96330640751365e-23,"plant_height2","RW","0","RW-0",11.4775870966343,8.7744532149969,15.0134717609151,18.2711367967349
"46SL2-BS-P",1.27993817492265,48,1,7.2756160014768e-22,"plant_height2","BS","2","BS-2",9.58283971412557,7.32594560428696,12.535012126337,16.9203237537943
"47SL2-BS-P",1.02010295220413,48,1,5.34051826110738e-20,"plant_height2","BS","2","BS-2",7.63746505448923,5.83873415532092,9.99032853814496,15.2214720854297
