"spikeFac","emmean","SE","df","lower.CL","upper.CL","t.ratio","p.value","trait","amend","asymp.LCL","asymp.UCL","z.ratio"
"0",2.47888607419454,0.180523277622883,6,2.03716152677158,2.92061062161751,13.7316699920162,9.27339818513798e-06,"plant_height4","RW",NA,NA,NA
"1",2.5315622439497,0.180523277622883,6,2.08983769652673,2.97328679137266,14.0234670967928,8.20156166143978e-06,"plant_height4","RW",NA,NA,NA
"2",2.57647134359293,0.180523277622883,6,2.13474679616997,3.0181958910159,14.2722388908495,7.40021189741521e-06,"plant_height4","RW",NA,NA,NA
"0",2.77324703944588,0.167646894571836,6,2.36302986631041,3.18346421258136,16.5421915301722,3.11180526248521e-06,"plant_height4","BS",NA,NA,NA
"1",2.62977360161228,0.167646894571836,6,2.2195564284768,3.03999077474775,15.6863842204094,4.25298198235613e-06,"plant_height4","BS",NA,NA,NA
"2",2.42278301141946,0.167646894571835,6,2.01256583828399,2.83300018455494,14.4517022973027,6.87842058747619e-06,"plant_height4","BS",NA,NA,NA
"0",-0.360035040195073,0.0207838518183495,6,-0.410891293521833,-0.309178786868312,-17.3228255927618,2.3714627690727e-06,"chlorophyll_content4_mean","RW",NA,NA,NA
"1",-0.335405173231275,0.0207838518183495,6,-0.386261426558036,-0.284548919904515,-16.137777355358,3.59970605785702e-06,"chlorophyll_content4_mean","RW",NA,NA,NA
"2",-0.332966053623355,0.0207838518183495,6,-0.383822306950115,-0.282109800296595,-16.0204208793189,3.75757930764279e-06,"chlorophyll_content4_mean","RW",NA,NA,NA
"0",-0.349934510387528,0.0279906462654042,6,-0.418425154455552,-0.281443866319504,-12.501837473472,1.60138406956435e-05,"chlorophyll_content4_mean","BS",NA,NA,NA
"1",-0.373146043695202,0.0279906462654042,6,-0.441636687763226,-0.304655399627178,-13.3310978302206,1.10214642208629e-05,"chlorophyll_content4_mean","BS",NA,NA,NA
"2",-0.332632163527469,0.0279906462654042,6,-0.401122807595493,-0.264141519459445,-11.8836900146388,2.14850552116761e-05,"chlorophyll_content4_mean","BS",NA,NA,NA
"0",2.09323486381217,0.202721213519846,Inf,NA,NA,NA,5.39339262652046e-25,"leaf_num2","RW",1.69590858641102,2.49056114121332,10.3256823865019
"1",2.06545529973944,0.205556604574599,Inf,NA,NA,NA,9.36465291475503e-24,"leaf_num2","RW",1.66257175798889,2.46833884149,10.0481096387728
"2",2.07944154213568,0.204124145143425,Inf,NA,NA,NA,2.26321156564619e-24,"leaf_num2","RW",1.67936556927954,2.47951751499182,10.1871414607742
"0",2.13350876295068,0.198679853559356,Inf,NA,NA,NA,6.71804604347405e-27,"leaf_num2","BS",1.74410340552065,2.52291412038071,10.7384252843396
"1",2.25712271891729,0.186771841909396,Inf,NA,NA,NA,1.26894017036313e-33,"leaf_num2","BS",1.89105663544866,2.62318880238591,12.0849197386629
"2",2.02228312803603,0.210042012405163,Inf,NA,NA,NA,6.09071439251771e-22,"leaf_num2","BS",1.61060834848159,2.43395790759046,9.62799348986964
"0",5.05667209196754,0.22559201105412,6,4.50466832659559,5.6086758573395,22.4151204129052,5.1584835039383e-07,"dry_total_weight","RW",NA,NA,NA
"1",5.01131289456564,0.22559201105412,6,4.45930912919369,5.56331665993759,22.2140530205363,5.44198059718519e-07,"dry_total_weight","RW",NA,NA,NA
"2",5.22780672708475,0.22559201105412,6,4.67580296171279,5.7798104924567,23.1737227867993,4.23312036268778e-07,"dry_total_weight","RW",NA,NA,NA
"0",5.08040227873904,0.172845182697371,6,4.65746535278353,5.50333920469455,29.3927907012263,1.02794081819107e-07,"dry_total_weight","BS",NA,NA,NA
"1",5.1498663730457,0.172845182697371,6,4.72692944709019,5.57280329900122,29.7946769049528,9.47963690750806e-08,"dry_total_weight","BS",NA,NA,NA
"2",4.94946396929735,0.172845182697371,6,4.52652704334184,5.37240089525287,28.6352439336606,1.20111945231351e-07,"dry_total_weight","BS",NA,NA,NA
"0",0.670775235839756,0.171445251452325,6,0.251263818238532,1.09028665344098,3.91247485805276,0.00786991676219191,"shoot_root_ratio","RW",NA,NA,NA
"1",0.914988383303319,0.171445251452325,6,0.495476965702096,1.33449980090454,5.33691295356614,0.00176646915954085,"shoot_root_ratio","RW",NA,NA,NA
"2",0.673943802499635,0.171445251452325,6,0.254432384898411,1.09345522010086,3.9309563653155,0.00770426847005478,"shoot_root_ratio","RW",NA,NA,NA
"0",1.34082470029688,0.0811117518595808,6,1.14235139340454,1.53929800718922,16.5305848974646,3.12469030122465e-06,"shoot_root_ratio","BS",NA,NA,NA
"1",0.938578461507597,0.0811117518595808,6,0.740105154615259,1.13705176839994,11.5714238687934,2.50600657434236e-05,"shoot_root_ratio","BS",NA,NA,NA
"2",0.790191498016712,0.0811117518595808,6,0.591718191124373,0.98866480490905,9.74201000349095,6.72160283138613e-05,"shoot_root_ratio","BS",NA,NA,NA
"0",2.0531030404149,0.0890302141799497,6,1.83525395422801,2.2709521266018,23.0607447070174,4.35784460798505e-07,"shoot_moisture","RW",NA,NA,NA
"1",2.00175756831269,0.0890302141799496,6,1.7839084821258,2.21960665449958,22.4840250778988,5.06531544080638e-07,"shoot_moisture","RW",NA,NA,NA
"2",2.0582430914437,0.0890302141799497,6,1.8403940052568,2.27609217763059,23.1184784896005,4.2935812353266e-07,"shoot_moisture","RW",NA,NA,NA
"0",2.03531623213694,0.0966837462884911,6,1.79873962753053,2.27189283674334,21.0512760445156,7.48685017525728e-07,"shoot_moisture","BS",NA,NA,NA
"1",2.21267910030165,0.0966837462884911,6,1.97610249569525,2.44925570490805,22.8857402122102,4.55959874282768e-07,"shoot_moisture","BS",NA,NA,NA
"2",2.05305645010388,0.0966837462884911,6,1.81647984549748,2.28963305471029,21.2347631211749,7.11127276793375e-07,"shoot_moisture","BS",NA,NA,NA
