"contrast","ratio","SE","df","lower.CL","upper.CL","null","t.ratio","p.value","trait","asymp.LCL","asymp.UCL","z.ratio"
"RW / control",2.12259788503638,1.90532972422221,6,0.156993642787366,28.698116061063,1,0.838465729289135,0.639527149619998,"wet_pod_weight",NA,NA,NA
"BS / control",0.890847546420188,0.799660793931168,6,0.0658897299703545,12.0445075631655,1,-0.128761989104546,0.98226532814189,"wet_pod_weight",NA,NA,NA
"RW / control",2.21690788682304,1.83684421278844,6,0.200354206496259,24.529959538184,1,0.960838170872075,0.569033451918215,"dry_pod_weight",NA,NA,NA
"BS / control",1.04692255077042,0.867439572050144,6,0.0946161715465946,11.5841384130818,1,0.0553428615763452,0.995636991845587,"dry_pod_weight",NA,NA,NA
"RW / control",1,0.828614053652973,6,0.0903617065864355,11.0666347258886,1,-6.69927706228672e-17,1,"infected_peas_perc.corr",NA,NA,NA
"BS / control",2.75892417638112,2.28608334551235,6,0.249301096920374,30.5320060964328,1,1.22474487139159,0.429245046447671,"infected_peas_perc.corr",NA,NA,NA
"RW / control",1.58620689655173,0.376107979884256,Inf,NA,NA,1,NA,0.0962273354042036,"pods",0.936625600804263,2.68629462669798,1.94568995719054
"BS / control",0.965517241379312,0.255811131330149,Inf,NA,NA,1,NA,0.980571099752581,"pods",0.535928674069756,1.73945449927425,-0.132446442515465
"RW / control",1.625,0.730207589848455,Inf,NA,NA,1,NA,0.454148054908802,"flowers",0.598767332723812,4.41010198066036,1.08044645332843
"BS / control",0.625,0.356304820343475,Inf,NA,NA,1,NA,0.617697033675497,"flowers",0.176112697193188,2.2180399609206,-0.824440904266774
