"contam","species","response","SE","df","lower.CL","upper.CL","null","t.ratio","p.value","trait","rate","asymp.LCL","asymp.UCL","z.ratio"
"control","lettuce",245.052916817451,70.2647429316272,18,134.165031969235,447.590040112023,1,19.1867533693747,1.96979276206843e-13,"wet_shoot_weight",NA,NA,NA,NA
"RW","lettuce",277.422652570562,79.5462123831881,18,151.887272081916,506.713479703414,1,19.6194486546351,1.34166851740363e-13,"wet_shoot_weight",NA,NA,NA,NA
"BS","lettuce",262.468226992626,75.2582859933685,18,143.699811953703,479.399167222625,1,19.4261952025993,1.59115344081762e-13,"wet_shoot_weight",NA,NA,NA,NA
"control","pea",47.4955292774723,13.6185326762269,18,26.0035231845647,86.750756246994,1,13.4642207696204,7.74238916485179e-11,"wet_shoot_weight",NA,NA,NA,NA
"RW","pea",75.713508844288,21.7095568764784,18,41.4527011819409,138.290998127077,1,15.0905459946314,1.16548856304587e-11,"wet_shoot_weight",NA,NA,NA,NA
"BS","pea",30.2437935676769,8.6718918016106,18,16.5582992586903,55.2403984898508,1,11.8901267839113,5.85113666056369e-10,"wet_shoot_weight",NA,NA,NA,NA
"control","radish",151.073834362617,43.3178444600686,18,82.712036568307,275.936905630112,1,17.4997986367421,9.52855021536448e-13,"wet_shoot_weight",NA,NA,NA,NA
"RW","radish",150.64255798983,43.1941833183859,18,82.4759152884873,275.149177773199,1,17.4898283082782,9.62158851741046e-13,"wet_shoot_weight",NA,NA,NA,NA
"BS","radish",280.465485892425,80.4186929229883,18,153.553205445235,512.271225786483,1,19.6574927929992,1.29760647674277e-13,"wet_shoot_weight",NA,NA,NA,NA
"control","lettuce",9.75930336495728,2.40730322808039,18,5.81238959812425,16.3863761300521,1,9.23599894699322,2.99075536008504e-08,"dry_shoot_weight",NA,NA,NA,NA
"RW","lettuce",14.476479098993,3.57087730169116,18,8.62181790911244,24.3067586572533,1,10.8345238294829,2.56591077993904e-09,"dry_shoot_weight",NA,NA,NA,NA
"BS","lettuce",11.6371009181509,2.87049490708034,18,6.93075743211909,19.5392955395675,1,9.94941805789026,9.65528842797284e-09,"dry_shoot_weight",NA,NA,NA,NA
"control","pea",4.08093020019866,1.00663296109681,18,2.43049686635186,6.8520933021777,1,5.70129748623687,2.08963955011703e-05,"dry_shoot_weight",NA,NA,NA,NA
"RW","pea",6.03810354782988,1.48940407102901,18,3.59613887809063,10.13828878424,1,7.28952854483141,8.97653248342585e-07,"dry_shoot_weight",NA,NA,NA,NA
"BS","pea",3.32750684513749,0.820787885180589,18,1.98177733093238,5.58705644252557,1,4.87386135559517,0.000122076382714944,"dry_shoot_weight",NA,NA,NA,NA
"control","radish",6.81425239479175,1.68085478783644,18,4.05839313087633,11.4414829225523,1,7.77976891030354,3.63870320269544e-07,"dry_shoot_weight",NA,NA,NA,NA
"RW","radish",6.87615655724056,1.69612453451013,18,4.09526165483164,11.5454232195149,1,7.81643160701619,3.40547998491599e-07,"dry_shoot_weight",NA,NA,NA,NA
"BS","radish",7.45631822890077,1.83923157942596,18,4.44079099637219,12.5195447333721,1,8.14481654847927,1.89637222966606e-07,"dry_shoot_weight",NA,NA,NA,NA
"control","lettuce",16.7807719533411,6.04532111141613,18,7.87245948777184,35.7695467074089,1,7.8284838432288,3.33225402965847e-07,"wet_root_weight",NA,NA,NA,NA
"RW","lettuce",11.7947369423866,4.2490877320583,18,5.53333237624847,25.1414175185367,1,6.84978157029415,2.07425394072606e-06,"wet_root_weight",NA,NA,NA,NA
"BS","lettuce",21.2902968581095,7.66989036157064,18,9.98803868881205,45.3819568014046,1,8.48918010287408,1.04185460346498e-07,"wet_root_weight",NA,NA,NA,NA
"control","pea",2.43630734553041,0.877686692291934,18,1.14295879419483,5.19318238945513,1,2.47182911117606,0.0236509525877615,"wet_root_weight",NA,NA,NA,NA
"RW","pea",3.42605132270139,1.23424479204594,18,1.60728304490329,7.30290019732659,1,3.41817793096956,0.00306554383988158,"wet_root_weight",NA,NA,NA,NA
"BS","pea",0.975848045858741,0.351552050738015,18,0.457805173004254,2.08009752785706,1,-0.0678645419185713,0.946641641120051,"wet_root_weight",NA,NA,NA,NA
"control","radish",18.8048246822029,6.7744918984592,18,8.82201491665105,40.0839756755511,1,8.14459448888323,1.89711411193173e-07,"wet_root_weight",NA,NA,NA,NA
"RW","radish",25.1535764355585,9.06164788344109,18,11.8004411246456,53.6168437108728,1,8.9520457347115,4.76854940984852e-08,"wet_root_weight",NA,NA,NA,NA
"BS","radish",18.9419350787334,6.82388631112657,18,8.8863383008815,40.3762373632973,1,8.16476027592642,1.83095912257731e-07,"wet_root_weight",NA,NA,NA,NA
