"contam","response","SE","df","lower.CL","upper.CL","null","t.ratio","p.value","trait","rate","asymp.LCL","asymp.UCL","z.ratio"
"control",7.294503149118,4.6300228449523,6,1.54341649300481,34.4753191595747,1,3.13066725527045,0.0203073733218612,"wet_pod_weight",NA,NA,NA,NA
"RW",15.483296956709,9.82767669836584,6,3.27605258378228,73.1772395340673,1,4.31643686121619,0.00500213039284372,"wet_pod_weight",NA,NA,NA,NA
"BS",6.49829023274611,4.12464449129517,6,1.37494879589779,30.71225348536,1,2.94857030396066,0.0256605246339325,"wet_pod_weight",NA,NA,NA,NA
"control",1.07037502550575,0.627112771365564,6,0.25522980204565,4.48890641313711,1,0.116079949459421,0.911376899799611,"dry_pod_weight",NA,NA,NA,NA
"RW",2.37292283590211,1.39025124876777,6,0.565820961107285,9.95149203049419,1,1.47491032195247,0.190682444338956,"dry_pod_weight",NA,NA,NA,NA
"BS",1.12059975198344,0.656538502218746,6,0.267205835390262,4.69953735221122,1,0.194346574881226,0.852317760529344,"dry_pod_weight",NA,NA,NA,NA
"control",1,0.585918616324491,6,0.238427211980627,4.1941521342843,1,-9.47420847958086e-17,1,"infected_peas_perc.corr",NA,NA,NA,NA
"RW",1,0.585918616324491,6,0.238427211980627,4.1941521342843,1,-1.89484169591617e-16,1,"infected_peas_perc.corr",NA,NA,NA,NA
"BS",2.75892417638112,1.61650503596941,6,0.657802599440497,11.5713477226974,1,1.73205080756888,0.133974596215561,"infected_peas_perc.corr",NA,NA,NA,NA
"control",NA,1.79505491724261,Inf,NA,NA,1,NA,2.51494003368015e-34,"pods",9.66666666666665,6.71757596616166,13.9104410452744,12.2172348909331
"RW",NA,2.26077666104175,Inf,NA,NA,1,NA,1.53540091411205e-76,"pods",15.3333333333333,11.4850729047855,20.4710159926932,18.515958272779
"BS",NA,1.76383415884005,Inf,NA,NA,1,NA,3.11148619477274e-32,"pods",9.33333333333334,6.44428604982469,13.5175736206621,11.8190594221033
"control",NA,0.942809041582064,Inf,NA,NA,1,NA,0.00553369550673539,"flowers",2.66666666666667,1.33359371660163,5.3322920036188,2.77420406396291
"RW",NA,1.2018504230018,Inf,NA,NA,1,NA,1.24370239518592e-07,"flowers",4.33333333333334,2.51617745349691,7.4628193459412,5.28695349811873
"BS",NA,0.745355992499911,Inf,NA,NA,1,NA,0.253353933026602,"flowers",1.66666666666667,0.693713022106227,4.00421743467347,1.14224081938952
