"Sum Sq","Df","F value","Pr(>F)","trait","term"
0.134530497417279,2,3.60935714787962,0.0935160389380381,"plant_height4","contam"
0.111818109351947,6,NA,NA,"plant_height4","Residuals"
0.00131514670596242,2,0.58492897921685,0.586033031091099,"chlorophyll_content4_mean","contam"
0.00674516096495974,6,NA,NA,"chlorophyll_content4_mean","Residuals"
0.0201470737181512,2,1.4753820827194,0.301212789215939,"leaf_number2","contam"
0.0409664871644972,6,NA,NA,"leaf_number2","Residuals"
0.0886440584693788,2,1.28742609288491,0.342589323208426,"wet_shoot_weight","contam"
0.206561119801624,6,NA,NA,"wet_shoot_weight","Residuals"
0.100535385374143,2,1.21451684237406,0.360678606384044,"dry_shoot_weight","contam"
0.248334272197385,6,NA,NA,"dry_shoot_weight","Residuals"
1.77362665789324,2,2.460864249779,0.165798127809793,"wet_root_weight","contam"
2.16219971262437,6,NA,NA,"wet_root_weight","Residuals"
0.386626126914972,2,3.49633865192734,0.0984822120308752,"dry_root_weight","contam"
0.331740856997802,6,NA,NA,"dry_root_weight","Residuals"
0.039953733135669,2,0.518087407252243,0.620074523369201,"dry_total_weight","contam"
0.23135323833233,6,NA,NA,"dry_total_weight","Residuals"
0.674669591805976,2,13.8468717117601,0.00564684618275062,"shoot_root_ratio","contam"
0.146170833206965,6,NA,NA,"shoot_root_ratio","Residuals"
0.000560842929397926,2,0.0208901676545536,0.979397423545528,"shoot_moisture","contam"
0.0805416603646558,6,NA,NA,"shoot_moisture","Residuals"
