"","Sum Sq","Df","F value","Pr(>F)","trait"
"(Intercept)...1",0.000352265256235107,1,0.00125114317229533,0.972282896425582,"wet_shoot_weight"
"raw_norm...2",0.0710854064362745,1,0.252474575162828,0.62314879705702,"wet_shoot_weight"
"contam...3",0.306414402641994,2,0.544147174569237,0.592127477083422,"wet_shoot_weight"
"raw_norm:contam...4",0.126583814595564,2,0.22479434538477,0.801507987237612,"wet_shoot_weight"
"Residuals...5",3.94176597570671,14,NA,NA,"wet_shoot_weight"
"(Intercept)...6",0.00378744759867722,1,0.0121096048450705,0.913936645944929,"dry_shoot_weight"
"raw_norm...7",0.0958428953954149,1,0.306438454977239,0.588606303012123,"dry_shoot_weight"
"contam...8",0.330489410716066,2,0.528336837009904,0.600887243130614,"dry_shoot_weight"
"raw_norm:contam...9",0.243044319764831,2,0.388542758085811,0.68513277470358,"dry_shoot_weight"
"Residuals...10",4.37869501605297,14,NA,NA,"dry_shoot_weight"
"(Intercept)...11",0.0582045431652745,1,0.0599458002271924,0.810133852031933,"wet_root_weight"
"raw_norm...12",0.125243226367056,1,0.128990024134195,0.724840517172841,"wet_root_weight"
"contam...13",0.999920095101791,2,0.514916937788876,0.608438920573156,"wet_root_weight"
"raw_norm:contam...14",1.72005689629601,2,0.885757206202777,0.434292640253478,"wet_root_weight"
"Residuals...15",13.59333933696,14,NA,NA,"wet_root_weight"
"(Intercept)...16",0.0128825063323048,1,0.0744615575022196,0.788931989192514,"dry_root_weight"
"raw_norm...17",0.0842788875044596,1,0.487136358893111,0.496637009817609,"dry_root_weight"
"contam...18",0.750901046967554,2,2.17012357863316,0.151028866027767,"dry_root_weight"
"raw_norm:contam...19",0.42334412518451,2,1.22347554534497,0.323816103955912,"dry_root_weight"
"Residuals...20",2.42212350509713,14,NA,NA,"dry_root_weight"
"(Intercept)...21",0.00242527436746798,1,0.0125051850831371,0.912548404922365,"shoot_root_ratio"
"raw_norm...22",5.15890739594127e-05,1,0.000266003272365276,0.987217546584347,"shoot_root_ratio"
"contam...23",0.76121927012441,2,1.96249710742923,0.177289526666435,"shoot_root_ratio"
"raw_norm:contam...24",0.00162646889455687,2,0.00419319455794883,0.995816834773455,"shoot_root_ratio"
"Residuals...25",2.71518101641994,14,NA,NA,"shoot_root_ratio"
"(Intercept)...26",3.68569616862047e-05,1,0.000674583987443159,0.979645658377385,"shoot_moisture"
"raw_norm...27",0.00202205741967232,1,0.0370092241627213,0.850208896186667,"shoot_moisture"
"contam...28",0.0437012553833316,2,0.399926713489705,0.67778873990116,"shoot_moisture"
"raw_norm:contam...29",0.000107766420017863,2,0.000986211261078182,0.999014344282756,"shoot_moisture"
"Residuals...30",0.764912113557015,14,NA,NA,"shoot_moisture"
"(Intercept)...31",0.000975912898819153,1,0.00425279703052871,0.948926102504907,"dry_total_weight"
"raw_norm...32",0.0248938708966429,1,0.108481587194624,0.746755307863471,"dry_total_weight"
"contam...33",0.190089722548714,2,0.414182970922594,0.668718261490298,"dry_total_weight"
"raw_norm:contam...34",0.134067972801855,2,0.292118219418264,0.751121813333867,"dry_total_weight"
"Residuals...35",3.21265757227299,14,NA,NA,"dry_total_weight"
"(Intercept)...36",0.00142195942510881,1,0.00610001550619357,0.938851751326887,"per_plant_total_weight"
"raw_norm...37",0.0703650492679828,1,0.301856638135736,0.591377428477767,"per_plant_total_weight"
"contam...38",0.12763886900753,2,0.273776827380065,0.764480612834631,"per_plant_total_weight"
"raw_norm:contam...39",0.0857263037094924,2,0.183877181262239,0.83401524322447,"per_plant_total_weight"
"Residuals...40",3.26350513884933,14,NA,NA,"per_plant_total_weight"
"(Intercept)...41",0.00232540820355887,1,0.00730515688837051,0.933097864323809,"per_plant_shoot_weight"
"raw_norm...42",0.1416261169266,1,0.444911565228047,0.515605092514503,"per_plant_shoot_weight"
"contam...43",0.215776911236628,2,0.338926341418075,0.71822179207361,"per_plant_shoot_weight"
"raw_norm:contam...44",0.173681802448105,2,0.272806471912463,0.76519489068022,"per_plant_shoot_weight"
"Residuals...45",4.45653876395884,14,NA,NA,"per_plant_shoot_weight"
"(Intercept)...46",0.00333027349462744,1,0.01845766862188,0.893866914595711,"per_plant_root_weight"
"raw_norm...47",0.0514592835392569,1,0.285207327452012,0.601685981282245,"per_plant_root_weight"
"contam...48",0.807287204620368,2,2.23714955087097,0.143522653535988,"per_plant_root_weight"
"raw_norm:contam...49",0.276131720012444,2,0.7652145975701,0.483740048813813,"per_plant_root_weight"
"Residuals...50",2.5259868881553,14,NA,NA,"per_plant_root_weight"
