"contrast","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value","trait","amend"
"linear",0.0975852693983863,0.255298467538326,6,-0.527107576400292,0.722278115197065,0.382239934063594,0.715456145299659,"plant_height4","RW"
"quadratic",-0.00776707011191126,0.442189916870854,6,-1.08976681816001,1.07423267793619,-0.0175650095481026,0.986555396959136,"plant_height4","RW"
"linear",0.0270689865717175,0.0293928051198626,6,-0.0448526166144687,0.0989905897579038,0.920939204724809,0.392605189024609,"chlorophyll_content4_mean","RW"
"quadratic",-0.0221907473558774,0.0509098318445726,6,-0.14676261823616,0.102381123524405,-0.435883336319507,0.678166679342513,"chlorophyll_content4_mean","RW"
"linear",-0.0847285146591236,0.227247902859937,6,-0.640784101314943,0.471327071996696,-0.372846189526095,0.722079448834248,"leaf_number2","RW"
"quadratic",0.11440215746457,0.393604913666887,6,-0.848714370455828,1.07751868538497,0.29065225939072,0.781102122962728,"leaf_number2","RW"
"linear",0.129804585290699,0.290719442629535,6,-0.58156026423777,0.841169434819168,0.446494338722675,0.670903083547852,"wet_shoot_weight","RW"
"quadratic",0.156106686238964,0.50354084538246,6,-1.07601337586293,1.38822674834086,0.310017921426801,0.767032907593451,"wet_shoot_weight","RW"
"linear",0.125802190549214,0.372687129899929,6,-0.786130364372127,1.03773474547055,0.337554426907613,0.747195214292339,"dry_shoot_weight","RW"
"quadratic",0.0637512174435404,0.645513044313699,6,-1.51576230075632,1.6432647356434,0.0987605409451018,0.924545269146245,"dry_shoot_weight","RW"
"linear",0.331058566414786,0.537599806853606,6,-0.98440077214855,1.64651790497812,0.615808566510397,0.560639580834681,"wet_root_weight","RW"
"quadratic",1.36725552623603,0.931150179609661,6,-0.911186883446619,3.64569793591867,1.46835124577776,0.192389792850587,"wet_root_weight","RW"
"linear",0.122633623889336,0.272401480981776,6,-0.543908788194412,0.789176035973083,0.450194409543391,0.668379337252379,"dry_root_weight","RW"
"quadratic",0.549008945710793,0.471813205117442,6,-0.605476377417769,1.70349426883935,1.16361504882877,0.288756714071271,"dry_root_weight","RW"
"linear",0.171134635117203,0.319035281595759,6,-0.609516576352832,0.951785846587238,0.53641288280474,0.610968230036077,"dry_total_weight","RW"
"quadratic",0.261853029921014,0.552585317130898,6,-1.09027453133528,1.61398059117731,0.473868960689351,0.652344728714335,"dry_total_weight","RW"
"linear",0.00316856665987865,0.242460199808344,6,-0.590110169682135,0.596447303001892,0.0130683991120328,0.989996922935012,"shoot_root_ratio","RW"
"quadratic",-0.485257728267247,0.419953384881353,6,-1.51284664266187,0.542331186127379,-1.15550379098467,0.291816281220532,"shoot_root_ratio","RW"
"linear",0.00514005102879276,0.125907736354266,6,-0.302945081207297,0.313225183264882,0.0408239491680656,0.968760796380606,"shoot_moisture","RW"
"quadratic",0.10783099523322,0.218078596431576,6,-0.425788106856263,0.641450097322703,0.494459323370843,0.63856221724645,"shoot_moisture","RW"
"linear",-0.35046402802642,0.237088511993222,6,-0.930598717792961,0.229670661740121,-1.47819911255944,0.189831668430384,"plant_height4","BS"
"quadratic",-0.0635171523592114,0.410649348663164,6,-1.06833991026807,0.941305605549646,-0.154674913197808,0.88214951726374,"plant_height4","BS"
"linear",0.0173023468600583,0.0395847515681223,6,-0.0795580508766096,0.114162744596726,0.437096259914182,0.677334450685697,"chlorophyll_content4_mean","BS"
"quadratic",0.0637254134754064,0.0685628009209797,6,-0.104041716645832,0.231492543596645,0.929445889307403,0.388522259867139,"chlorophyll_content4_mean","BS"
"linear",-0.16169858140076,0.14935286274046,6,-0.527151871242819,0.203754708441299,-1.08266141293692,0.32053834757294,"leaf_number2","BS"
"quadratic",-0.454505719800417,0.258686746522337,6,-1.08748938560006,0.178477945999224,-1.75697335062804,0.129436047722377,"leaf_number2","BS"
"linear",-0.270526038869046,0.308526820781946,6,-1.02546397303647,0.484411895298377,-0.876831512357375,0.414302431893266,"wet_shoot_weight","BS"
"quadratic",-0.553929072781484,0.534384129092027,6,-1.86151993132055,0.75366178575758,-1.03657470838939,0.339892355042991,"wet_shoot_weight","BS"
"linear",-0.286408091264398,0.285318787196961,6,-0.984558013010951,0.411741830482155,-1.0038178490738,0.354217087897992,"dry_shoot_weight","BS"
