"","Estimate","Std. Error","t value","Pr(>|t|)","trait"
"(Intercept)...1",0.0109636925682192,0.309958352543212,0.0353715022623588,0.972282896425573,"wet_shoot_weight"
"raw_norm...2",0.357161827621409,0.710814390526411,0.502468481760625,0.62314879705702,"wet_shoot_weight"
"contamRW...3",-0.410388009675712,0.411243217415491,-0.99792043320458,0.335254447483023,"wet_shoot_weight"
"contamBS...4",-0.128322974918622,0.416415059456981,-0.308161225211114,0.762496977124585,"wet_shoot_weight"
"raw_norm:contamRW...5",-0.074587996868719,0.876789968177858,-0.0850694003989661,0.933410788304105,"wet_shoot_weight"
"raw_norm:contamBS...6",-0.33970384979231,0.723248526531391,-0.46969172743633,0.64580725561095,"wet_shoot_weight"
"(Intercept)...7",0.0370622936483368,0.336796296201895,0.110043649726241,0.913936645944924,"dry_shoot_weight"
"raw_norm...8",0.214195820312278,0.386936198005674,0.553568834904241,0.588606303012123,"dry_shoot_weight"
"contamRW...9",-0.417343952794756,0.407109585842104,-1.02513909597948,0.322685358836956,"dry_shoot_weight"
"contamBS...10",-0.311295923333929,0.438080696616778,-0.710590367797563,0.489007507716063,"dry_shoot_weight"
"raw_norm:contamRW...11",0.272706580190934,0.812429670914339,0.335667922964975,0.742098592531291,"dry_shoot_weight"
"raw_norm:contamBS...12",-0.243867910679424,0.417900087698264,-0.583555538412577,0.568802203058762,"dry_shoot_weight"
"(Intercept)...13",-0.145643104815092,0.594854220985901,-0.244838314459139,0.810133852031933,"wet_root_weight"
"raw_norm...14",-0.241940679261612,0.673644601282796,-0.359151812099278,0.724840517172842,"wet_root_weight"
"contamRW...15",-0.0179944250364237,0.688480380254081,-0.0261364383830123,0.979517413869909,"wet_root_weight"
"contamBS...16",-0.718232471464148,0.864191556321087,-0.831103319872396,0.419864407671733,"wet_root_weight"
"raw_norm:contamRW...17",0.96031971020948,0.896925474744475,1.07067949038137,0.302425472820628,"wet_root_weight"
"raw_norm:contamBS...18",0.140364101502245,0.716686230005813,0.195851539523936,0.847540615734044,"wet_root_weight"
"(Intercept)...19",-0.0694258482861246,0.254422278051092,-0.272876450985093,0.788931989192513,"dry_root_weight"
"raw_norm...20",-0.173958790134272,0.249241930087474,-0.697951544803154,0.49663700981761,"dry_root_weight"
"contamRW...21",0.0973862638896817,0.290141134454761,0.335651351445536,0.742110823072057,"dry_root_weight"
"contamBS...22",-0.509683156770083,0.361392674725844,-1.4103306248715,0.180272503408703,"dry_root_weight"
"raw_norm:contamRW...23",0.399008113132245,0.327500679033812,1.21834285751527,0.243227652296447,"dry_root_weight"
"raw_norm:contamBS...24",0.032166092398125,0.277655297641154,0.115849013764171,0.909417529427103,"dry_root_weight"
"(Intercept)...25",-0.0289482749085213,0.258867557681484,-0.11182658486754,0.912548404922365,"shoot_root_ratio"
"raw_norm...26",0.00785071136270442,0.481355037106295,0.0163096067507668,0.987217546584362,"shoot_root_ratio"
"contamRW...27",-0.328623375807505,0.298257283558274,-1.10181173746021,0.289125691611486,"shoot_root_ratio"
