ID,Sample_ID,Spiking_level,Amendment,species,Sample_Treatment,Study_ID,Sampling_Date,Study_Name,Sample_Type,Date_Received YYYY-MM-DD,Notes,Illumina Plate Number,GPrep Plate #:,GPrep by hand,Sample Follow up,Follow up Date,Notebook Reference,pot_ID,16S PCR single colonies,16S Sequencing single colonies,Date Collected,Date Plated,Dilutions Aerobic,Dilutions Anaerobic,Dilutions Microaerophilic,Freezer Location original sample,Freezer Location Plate Pools,Genomic Prep Original Sample,Genomic Prep Single Colonies,Illumina Sequecing Original Sample,Illumina Sequencing Plate Pools,MAC ID #,MALDI TOF single colonies,Microaerophilic Media,Number of Isolates,TRFLP original sample,TRFLP Plate Pools,Type of Media Aerobic,Type of Media Anaerobic,Types,Work Up,Isolates::Box Name,Isolates::Box Slot,Isolates::Column,Isolates::Isolation Media,Isolates::MacID,Isolates::Plate,Isolates::Putative ID,Isolates::Row
1385147,28-US-BS-P,SL-0,BS,P,BS-0,RD7,2024-08-26,Fate of Contaminants,Experimental soil,2024-12-09,,LR527,535,,,,MF Notebook # 13 p.80,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385219,28-US-BS-P,SL-0,BS,P,BS-0,RD79,2024-07-11,Fate of Contaminants,Experimental soil,2024-12-09,,LR527,543,,,,MF Notebook # 13 p.80,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385148,29-US-BS-P,SL-0,BS,P,BS-0,RD8,2024-08-26,Fate of Contaminants,Experimental soil,2024-12-09,,LR527,535,,,,MF Notebook # 13 p.80,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385220,29-US-BS-P,SL-0,BS,P,BS-0,RD80,2024-07-11,Fate of Contaminants,Experimental soil,2024-12-09,,LR527,543,,,,MF Notebook # 13 p.80,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385149,30-US-BS-P,SL-0,BS,P,BS-0,RD9,2024-08-26,Fate of Contaminants,Experimental soil,2024-12-09,,LR527,535,,,,MF Notebook # 13 p.80,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385221,30-US-BS-P,SL-0,BS,P,BS-0,RD81,2024-07-11,Fate of Contaminants,Experimental soil,2024-12-09,,LR527,543,,,,MF Notebook # 13 p.80,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385177,31-US-BS-R,SL-0,BS,R,BS-0,RD37,2024-08-06,Fate of Contaminants,Experimental soil,2024-12-09,,LR527,535,,,,MF Notebook # 13 p.80,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385240,31-US-BS-R,SL-0,BS,R,BS-0,RD100,2024-07-11,Fate of Contaminants,Experimental soil,2024-12-09,,LR527,543,,,,MF Notebook # 13 p.80,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385178,32-US-BS-R,SL-0,BS,R,BS-0,RD38,2024-08-06,Fate of Contaminants,Experimental soil,2024-12-09,,LR527,535,,,,MF Notebook # 13 p.80,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385241,32-US-BS-R,SL-0,BS,R,BS-0,RD101,2024-07-11,Fate of Contaminants,Experimental soil,2024-12-09,,LR527,543,,,,MF Notebook # 13 p.80,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385179,33-US-BS-R,SL-0,BS,R,BS-0,RD39,2024-08-06,Fate of Contaminants,Experimental soil,2024-12-09,,LR527,535,,,,MF Notebook # 13 p.80,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385242,33-US-BS-R,SL-0,BS,R,BS-0,RD102,2024-07-11,Fate of Contaminants,Experimental soil,2024-12-09,,LR527,543,,,,MF Notebook # 13 p.80,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385198,34-US-BS-L,SL-0,BS,L,BS-0,RD58,2024-08-18,Fate of Contaminants,Experimental soil,2024-12-09,,LR527,535,,,,MF Notebook # 13 p.80,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385261,34-US-BS-L,SL-0,BS,L,BS-0,RD121,2024-07-11,Fate of Contaminants,Experimental soil,2024-12-09,,LR527,543,,,,MF Notebook # 13 p.80,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385199,35-US-BS-L,SL-0,BS,L,BS-0,RD59,2024-08-18,Fate of Contaminants,Experimental soil,2024-12-09,,LR527,543,,,,MF Notebook # 13 p.80,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385262,35-US-BS-L,SL-0,BS,L,BS-0,RD122,2024-07-11,Fate of Contaminants,Experimental soil,2024-12-09,,LR527,543,,,,MF Notebook # 13 p.80,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385200,36-US-BS-L,SL-0,BS,L,BS-0,RD60,2024-08-18,Fate of Contaminants,Experimental soil,2024-12-09,,LR527,543,,,,MF Notebook # 13 p.80,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385263,36-US-BS-L,SL-0,BS,L,BS-0,RD123,2024-07-11,Fate of Contaminants,Experimental soil,2024-12-09,,LR527,543,,,,MF Notebook # 13 p.80,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385150,37-SL1-BS-P,SL-1,BS,P,BS-1,RD10,2024-08-26,Fate of Contaminants,Experimental soil,2024-12-09,,LR527,535,,,,MF Notebook # 13 p.80,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385222,37-SL1-BS-P,SL-1,BS,P,BS-1,RD82,2024-07-11,Fate of Contaminants,Experimental soil,2024-12-09,,LR527,543,,,,MF Notebook # 13 p.80,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
