species,sample_ID,spiking_level,source,treat,plants,wet_shoot_weight,dry_shoot_weight,wet_root_weight,dry_root_weight,pods,flowers,wet_pod_weight,dry_pod_weight,ndvi_1,ndvi_2,ndvi_3,
radish,4,0,effluents,S0_EF,15,156.93,6.9235,35.64,4.2911,NA,NA,NA,NA,NA,NA,NA,
radish,5,0,effluents,S0_EF,15,127.28,6.2749,28.28,3.0409,NA,NA,NA,NA,NA,NA,NA,
radish,6,0,effluents,S0_EF,15,171.15,7.4835,15.79,1.1932,NA,NA,NA,NA,NA,NA,NA,
radish,13,1,effluents,S1_EF,15,145.4,5.8337,15.86,1.2262,NA,NA,NA,NA,NA,NA,NA,
radish,14,1,effluents,S1_EF,15,142.21,2.9914,15.42,0.956,NA,NA,NA,NA,NA,NA,NA,
radish,15,1,effluents,S1_EF,15,153.98,5.899,25.51,2.0322,NA,NA,NA,NA,NA,NA,NA,
radish,22,2,effluents,S2_EF,15,101.16,5.2456,14.68,1.2304,NA,NA,NA,NA,NA,NA,NA,
radish,23,2,effluents,S2_EF,15,156.22,7.6455,23.7,2.81,NA,NA,NA,NA,NA,NA,NA,
radish,24,2,effluents,S2_EF,15,140.39,6.4854,27.96,3.5702,NA,NA,NA,NA,NA,NA,NA,
radish,31,0,biosolids,S0_BS,15,314.28,8.6894,26.89,1.8802,NA,NA,NA,NA,NA,NA,NA,
radish,32,0,biosolids,S0_BS,15,293.48,7.8937,16.94,1.0087,NA,NA,NA,NA,NA,NA,NA,
radish,33,0,biosolids,S0_BS,15,239.19,6.0437,14.92,0.9151,NA,NA,NA,NA,NA,NA,NA,
radish,40,1,biosolids,S1_BS,15,212.79,7.6472,18.73,1.0177,NA,NA,NA,NA,NA,NA,NA,
radish,41,1,biosolids,S1_BS,15,265.03,9.2045,25.4,2.1441,NA,NA,NA,NA,NA,NA,NA,
radish,42,1,biosolids,S1_BS,15,295.26,6.8007,14.93,0.9977,NA,NA,NA,NA,NA,NA,NA,
radish,49,2,biosolids,S2_BS,15,289.84,8.9714,29.4,2.6647,NA,NA,NA,NA,NA,NA,NA,
radish,50,2,biosolids,S2_BS,15,184.27,6.5692,15.49,0.9482,NA,NA,NA,NA,NA,NA,NA,
radish,51,2,biosolids,S2_BS,15,286.61,7.2335,18.86,1.5003,NA,NA,NA,NA,NA,NA,NA,
radish,58,0,NA,controls,15,165.93,7.2371,13.74,0.9321,NA,NA,NA,NA,NA,NA,NA,
radish,59,0,NA,controls,15,124.49,8.457,28.22,3.0007,NA,NA,NA,NA,NA,NA,NA,
radish,60,0,NA,controls,15,166.92,5.1698,17.15,1.2088,NA,NA,NA,NA,NA,NA,NA,
lettuce,7,0,effluents,S0_EF,12,216.72,11.804,6.72,0.4472,NA,NA,NA,NA,NA,NA,NA,
lettuce,8,0,effluents,S0_EF,13,261.96,13.1759,13.17,0.8011,NA,NA,NA,NA,NA,NA,NA,
lettuce,9,0,effluents,S0_EF,12,376.09,19.5065,18.54,1.3234,NA,NA,NA,NA,NA,NA,NA,
lettuce,16,1,effluents,S1_EF,12,338.56,14.3511,32.76,3.1346,NA,NA,NA,NA,NA,NA,NA,
