NAME,ID,Sample_ID,Source,Spiking_level,Treatment,Sampling_date,Sample_type,Species
RD1,1385141,S1,NA,NA,NA,2024-09-01,Soil,NA
RD2,1385142,S2,NA,NA,NA,2024-09-01,Soil,NA
RD3,1385143,S3,NA,NA,NA,2024-09-01,Soil,NA
RD4,1385144,BS1,NA,NA,NA,2024-09-01,Soil,NA
RD5,1385145,BS2,NA,NA,NA,2024-09-01,Soil,NA
RD6,1385146,BS3,NA,NA,NA,2024-09-01,Soil,NA
RD7,1385147,28-US-BS-P,BS,US,US-BS,2024-08-26,Soil,P
RD8,1385148,29-US-BS-P,BS,US,US-BS,2024-08-26,Soil,P
RD9,1385149,30-US-BS-P,BS,US,US-BS,2024-08-26,Soil,P
RD10,1385150,37-SL1-BS-P,BS,SL1,SL1-BS,2024-08-26,Soil,P
RD11,1385151,38-SL1-BS-P,BS,SL1,SL1-BS,2024-08-26,Soil,P
RD12,1385152,39-SL1-BS-P,BS,SL1,SL1-BS,2024-08-26,Soil,P
RD13,1385153,46-SL2-BS-P,BS,SL2,SL2-BS,2024-08-26,Soil,P
RD14,1385154,47-SL2-BS-P,BS,SL2,SL2-BS,2024-08-26,Soil,P
RD15,1385155,48-SL2-BS-P,BS,SL2,SL2-BS,2024-08-26,Soil,P
RD16,1385156,1-US-RW-P,RW,US,US-RW,2024-08-19,Soil,P
RD17,1385157,2-US-RW-P,RW,US,US-RW,2024-08-19,Soil,P
RD18,1385158,3-US-RW-P,RW,US,US-RW,2024-08-19,Soil,P
RD19,1385159,10-SL1-RW-P,RW,SL1,SL1-RW,2024-08-19,Soil,P
RD20,1385160,11-SL1-RW-P,RW,SL1,SL1-RW,2024-08-19,Soil,P
RD21,1385161,12-SL1-RW-P,RW,SL1,SL1-RW,2024-08-19,Soil,P
RD22,1385162,19-SL2-RW-P,RW,SL2,SL2-RW,2024-08-19,Soil,P
RD23,1385163,20-SL2-RW-P,RW,SL2,SL2-RW,2024-08-19,Soil,P
RD24,1385164,21-SL2-RW-P,RW,SL2,SL2-RW,2024-08-19,Soil,P
RD25,1385165,55-C-P,C,NA,C,2024-08-19,Soil,P
RD26,1385166,56-C-P,C,NA,C,2024-08-19,Soil,P
RD27,1385167,57-C-P,C,NA,C,2024-08-19,Soil,P
RD28,1385168,4-US-RW-R,RW,US,US-RW,2024-08-06,Soil,R
RD29,1385169,5-US-RW-R,RW,US,US-RW,2024-08-06,Soil,R
RD30,1385170,6-US-RW-R,RW,US,US-RW,2024-08-06,Soil,R
RD31,1385171,13-SL1-RW-R,RW,SL1,SL1-RW,2024-08-06,Soil,R
RD32,1385172,14-SL1-RW-R,RW,SL1,SL1-RW,2024-08-06,Soil,R
RD33,1385173,15-SL1-RW-R,RW,SL1,SL1-RW,2024-08-06,Soil,R
RD34,1385174,22-SL2-RW-R,RW,SL2,SL2-RW,2024-08-06,Soil,R
RD35,1385175,23-SL2-RW-R,RW,SL2,SL2-RW,2024-08-06,Soil,R
RD36,1385176,24-SL2-RW-R,RW,SL2,SL2-RW,2024-08-06,Soil,R
RD37,1385177,31-US-BS-R,BS,US,US-BS,2024-08-06,Soil,R
RD38,1385178,32-US-BS-R,BS,US,US-BS,2024-08-06,Soil,R
RD39,1385179,33-US-BS-R,BS,US,US-BS,2024-08-06,Soil,R
RD40,1385180,40-SL1-BS-R,BS,SL1,SL1-BS,2024-08-06,Soil,R
RD41,1385181,41-SL1-BS-R,BS,SL1,SL1-BS,2024-08-06,Soil,R
RD42,1385182,42-SL1-BS-R,BS,SL1,SL1-BS,2024-08-06,Soil,R
RD43,1385183,49-SL2-BS-R,BS,SL2,SL2-BS,2024-08-06,Soil,R
RD44,1385184,50-SL2-BS-R,BS,SL2,SL2-BS,2024-08-06,Soil,R
RD45,1385185,51-SL2-BS-R,BS,SL2,SL2-BS,2024-08-06,Soil,R
RD46,1385186,58-C-R,C,NA,C,2024-08-06,Soil,R
RD47,1385187,59-C-R,C,NA,C,2024-08-06,Soil,R
RD48,1385188,60-C-R,C,NA,C,2024-08-06,Soil,R
RD49,1385189,7-US-RW-L,RW,US,US-RW,2024-08-18,Soil,L
RD50,1385190,8-US-RW-L,RW,US,US-RW,2024-08-18,Soil,L
RD51,1385191,9-US-RW-L,RW,US,US-RW,2024-08-18,Soil,L
RD52,1385192,16-SL1-RW-L,RW,SL1,SL1-RW,2024-08-18,Soil,L
RD53,1385193,17-SL1-RW-L,RW,SL1,SL1-RW,2024-08-18,Soil,L
RD54,1385194,18-SL1-RW-L,RW,SL1,SL1-RW,2024-08-18,Soil,L
RD55,1385195,25-SL2-RW-L,RW,SL2,SL2-RW,2024-08-18,Soil,L
RD56,1385196,26-SL2-RW-L,RW,SL2,SL2-RW,2024-08-18,Soil,L
RD57,1385197,27-SL2-RW-L,RW,SL2,SL2-RW,2024-08-18,Soil,L
RD58,1385198,34-US-BS-L,BS,US,US-BS,2024-08-18,Soil,L
RD59,1385199,35-US-BS-L,BS,US,US-BS,2024-08-18,Soil,L
RD60,1385200,36-US-BS-L,BS,US,US-BS,2024-08-18,Soil,L
RD61,1385201,43-SL1-BS-L,BS,SL1,SL1-BS,2024-08-18,Soil,L
RD62,1385202,44-SL1-BS-L,BS,SL1,SL1-BS,2024-08-18,Soil,L
RD63,1385203,45-SL1-BS-L,BS,SL1,SL1-BS,2024-08-18,Soil,L
RD64,1385204,52-SL2-BS-L,BS,SL2,SL2-BS,2024-08-18,Soil,L
RD65,1385205,53-SL2-BS-L,BS,SL2,SL2-BS,2024-08-18,Soil,L
RD66,1385206,54-SL2-BS-L,BS,SL2,SL2-BS,2024-08-18,Soil,L
RD67,1385207,61-C-L,C,NA,C,2024-08-18,Soil,L
RD68,1385208,62-C-L,C,NA,C,2024-08-18,Soil,L
RD69,1385209,63-C-L,C,NA,C,2024-08-18,Soil,L
RD70,1385210,1-US-RW-P,RW,US,US-RW,2024-07-11,Soil,P
RD71,1385211,2-US-RW-P,RW,US,US-RW,2024-07-11,Soil,P
RD72,1385212,3-US-RW-P,RW,US,US-RW,2024-07-11,Soil,P
RD73,1385213,10-SL1-RW-P,RW,SL1,SL1-RW,2024-07-11,Soil,P
RD74,1385214,11-SL1-RW-P,RW,SL1,SL1-RW,2024-07-11,Soil,P
RD75,1385215,12-SL1-RW-P,RW,SL1,SL1-RW,2024-07-11,Soil,P
RD76,1385216,19-SL2-RW-P,RW,SL2,SL2-RW,2024-07-11,Soil,P
RD77,1385217,20-SL2-RW-P,RW,SL2,SL2-RW,2024-07-11,Soil,P
RD78,1385218,21-SL2-RW-P,RW,SL2,SL2-RW,2024-07-11,Soil,P
RD79,1385219,28-US-BS-P,BS,US,US-BS,2024-07-11,Soil,P
RD80,1385220,29-US-BS-P,BS,US,US-BS,2024-07-11,Soil,P
RD81,1385221,30-US-BS-P,BS,US,US-BS,2024-07-11,Soil,P
RD82,1385222,37-SL1-BS-P,BS,SL1,SL1-BS,2024-07-11,Soil,P
RD83,1385223,38-SL1-BS-P,BS,SL1,SL1-BS,2024-07-11,Soil,P
RD84,1385224,39-SL1-BS-P,BS,SL1,SL1-BS,2024-07-11,Soil,P
RD85,1385225,46-SL2-BS-P,BS,SL2,SL2-BS,2024-07-11,Soil,P
RD86,1385226,47-SL2-BS-P,BS,SL2,SL2-BS,2024-07-11,Soil,P
RD87,1385227,48-SL2-BS-P,BS,SL2,SL2-BS,2024-07-11,Soil,P
